#Mode:;3
#Device:;dragonrise_black
#Button:;291
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;12655;3196
1;19401;4447
2;15209;8668
3;22375;1549
4;20739;3151
5;21741;2179
6;8942;6949
7;17085;6814
8;15249;658
9;17462;6364
10;15103;811
11;19806;4033
12;23686;235
13;23648;325
14;19069;4834
15;20776;3160
16;17736;6148
17;13634;2251
18;16186;7741
19;14865;1081
20;18075;5779
21;13092;2809
22;22949;964
23;9464;6526
24;17139;6715
25;17266;6589
26;19117;4789
27;19578;4312
28;20500;3466
29;16591;7282
30;13569;2332
31;23397;586
32;15728;208
33;22420;1441
34;8820;7030
35;17473;6337
36;22988;928
37;17589;6319
38;22473;1351
39;14917;8974
40;22142;1720
41;18651;5338
42;15369;8560
43;13074;2872
44;21021;2953
45;15160;739
46;18231;5689
47;14339;1558
48;20864;3043
49;17746;6139
50;22419;1459
51;19561;4330
52;22826;1054
53;23458;505
54;13985;1945
55;21760;2152
56;9221;6679
57;20851;3016
58;12591;3403
59;22003;1936
60;11437;4456
61;22453;1495
62;19641;4249
63;22907;1018
64;21541;2314
65;15035;8821
66;17750;6130
67;6841;9091
68;18268;5635
69;10724;5203
70;16151;7759
71;13348;2575
72;22731;1144
73;21827;2080
74;16913;6958
75;19990;3997
76;16435;7471
77;22733;1180
78;11454;4438
79;23743;226
80;10764;5149
81;16613;7300
82;11450;4429
83;17722;6157
84;11057;4825
85;19340;4519
86;19509;4393
87;22415;1450
88;20302;3610
89;21083;2827
90;17877;6076
91;11075;4879
92;23657;244
93;14687;1225
94;15399;8515
95;14336;1576
96;16403;7507
97;22675;1243
98;17197;6769
99;17205;6724
100;22011;1891
101;17120;6796
102;16387;7534
103;19677;4231
104;13621;2323
105;18328;5581
106;13595;2296
107;21840;2053
108;11493;4402
109;20411;3502
110;18588;5311
111;20453;3439
112;22622;1378
113;15805;8011
114;20731;3079
115;7702;8164
116;20071;3844
117;8731;7210
118;19698;4240
119;14242;1711
120;19742;4105
121;19754;4132
122;15448;8398
123;20246;3691
124;18873;4978
125;21918;1981
126;14905;9073
127;22294;1639
128;7348;8596
129;15028;8848
130;8792;7093
131;19189;4690
132;8623;7273
133;17650;6256
134;20905;2998
135;18609;5329
136;21723;2197
137;21998;1909
138;16317;7615
139;11377;4582
140;18244;5662
141;6846;9019
142;21116;2764
143;14506;1423
144;20142;3736
145;14194;1702
146;23538;397
147;15194;8632
148;19570;4294
149;22082;1819
150;20762;3097
151;21048;2935
152;7907;7930
153;21487;2467
154;11924;3988
155;18714;5176
156;8614;7264
157;22787;1135
158;21445;2476
159;22202;1765
160;22800;1090
161;21218;2728
162;20153;3799
163;15372;8587
164;23189;667
165;14759;1153
166;20169;3808
167;7233;8758
168;21203;2692
169;11915;3898
170;20626;3322
171;21782;2125
172;17938;6013
173;20958;2971
174;16528;7399
175;19869;4024
176;15475;451
177;21846;2071
178;13224;2620
179;17944;5932
180;15170;766
181;17141;6751
182;17431;6490
183;15090;8722
184;23782;109
185;23581;361
186;17172;6733
187;17807;6094
188;21541;2359
189;6990;8866
190;17259;6625
191;14549;1369
192;16897;6994
193;11316;4555
194;19283;4609
195;16444;7462
196;16391;7408
197;20826;3034
198;16760;7138
199;23013;973
200;15671;217
201;19981;3961
202;14414;1486
203;21257;2665
204;12238;3682
205;23263;649
206;13616;2287
207;17397;6427
208;19368;4600
209;14961;8911
210;21088;2782
211;15438;8452
212;21481;2422
213;8987;6931
214;18635;5275
215;10731;5122
216;20964;2863
217;15140;820
218;20586;3313
219;17360;6454
220;19809;4087
221;22727;1198
222;22027;1864
223;16724;7147
224;16314;7678
225;16847;7057
226;15534;379
227;22184;1729
228;13877;2044
229;15573;8245
230;15201;703
231;14887;9055
232;22148;1828
233;18766;5140
234;18562;5374
235;17263;6607
236;18022;5896
237;9436;6472
238;18079;5824
239;9830;6049
240;19514;4339
241;15002;892
242;18759;5167
243;20166;3727
244;18546;5356
245;17124;6805
246;19687;4177
247;21739;2161
248;18602;5302
249;21498;2431
250;15149;712
251;16796;7102
252;13919;2008
253;23408;514
254;15547;370
255;16193;7705
256;19345;4573
257;16505;7345
258;15071;8884
259;20370;3556
260;17436;6445
261;8656;7246
262;18505;5347
263;8502;7372
264;23470;424
265;11677;4213
266;23788;163
267;11429;4483
268;19130;4762
269;17113;6868
270;21355;2494
271;15609;8290
272;17637;6238
273;19883;4051
274;14165;1801
275;20724;3205
276;7435;8461
277;23372;532
278;8947;6922
279;15150;8740
280;16967;6886
281;23179;676
282;18872;5032
283;21059;2917
284;23757;154
285;19048;4942
286;20256;3646
287;14257;1657
288;22792;1117
289;10403;5554
290;17961;6004
291;13110;2701
292;18203;5761
293;18898;5023
294;15928;7975
295;20434;3376
296;17195;6760
297;21125;2881
298;10175;5743
299;15925;7966
300;11590;4321
301;22527;1396
302;9811;6031
303;19167;4627
304;17971;5923
305;19746;4141
306;18745;5194
307;15794;8200
308;16350;7561
309;18174;5770
310;15826;8092
311;9365;6481
312;17136;6670
313;8721;7201
314;20736;3214
315;13717;2188
316;19400;4510
317;16232;7669
318;18622;5221
319;16700;7228
320;23642;280
321;18658;5230
322;12773;3142
323;19099;4780
324;12372;3475
325;18937;4969
326;10862;4960
327;20318;3511
328;7837;8074
329;18893;4951
330;23175;775
331;17528;6400
332;15601;8317
333;23595;253
334;19927;3970
335;13144;2674
336;21714;2224
337;15128;784
338;19765;4114
339;13414;2539
340;17374;6544
341;16365;7498
342;19980;4015
343;17037;6913
344;19143;4843
345;15799;8110
346;18299;5590
347;19697;4186
348;12822;3061
349;22730;1171
350;14744;1162
351;23778;118
352;14635;1252
353;19179;4717
354;18764;5158
355;18761;5077
356;22987;901
357;23678;262
358;15823;8065
359;9203;6706
360;17610;6301
361;8852;7075
362;20274;3574
363;10066;5860
364;18809;5086
365;18083;5842
366;17534;6355
367;22142;1747
368;22099;1810
369;21515;2413
370;15088;8812
371;17300;6598
372;11651;4267
373;20187;3790
374;10442;5419
375;19966;3880
376;10244;5608
377;18032;5869
378;17278;6634
379;21705;2215
380;18490;5446
381;19336;4501
382;19194;4726
383;8305;7624
384;14912;9010
385;7783;8137
386;21937;1990
387;13651;2269
388;17339;6562
389;9269;6580
390;20156;3772
391;15888;8056
392;21516;2404
393;19212;4708
394;22213;1648
395;23265;640
396;14014;1846
397;19852;4060
398;7904;8029
399;17507;6373
400;11032;4861
401;23016;856
402;16373;7543
403;15269;8641
404;16147;7795
405;23634;289
406;16097;7813
407;22756;1189
408;17560;6418
409;11786;4123
410;19507;4384
411;6921;9001
412;17258;6688
413;7370;8569
414;14774;9082
415;19917;3979
416;22686;1234
417;15296;8551
418;19550;4276
419;15060;8857
420;11506;4411
421;19383;4528
422;14916;1000
423;23393;559
424;10658;5293
425;16438;7480
426;16130;7777
427;21740;2107
428;21286;2593
429;22229;1666
430;18368;5545
431;20650;3232
432;18977;4888
433;7156;8767
434;17018;6895
435;11690;4204
436;17953;5941
437;11229;4672
438;17802;6103
439;17038;6877
440;19345;4591
441;16408;7588
442;22017;1837
443;16307;7606
444;6888;8929
445;19209;4753
446;8782;7120
447;15602;8281
448;12412;3520
449;17716;6229
450;11023;4852
451;22251;1621
452;17164;6778
453;21250;2656
454;15195;8686
455;15239;8677
456;20933;3007
457;12632;3223
458;17921;5977
459;13617;2170
460;20066;3835
461;10251;5698
462;20964;2944
463;20303;3565
464;19817;4042
465;22745;1126
466;15750;8173
467;18549;5437
468;21240;2548
469;16458;7435
470;12471;3457
471;18459;5455
472;12294;3619
473;16907;6985
474;13085;2800
475;21277;2647
476;16754;7174
477;22361;1630
478;22886;982
479;21787;2116
480;20274;3718
481;8057;7849
482;17890;6085
483;15533;415
484;23328;577
485;10575;5383
486;15375;8524
487;15625;8236
488;21639;2278
489;23379;568
490;14907;8965
491;14967;8875
492;18155;5725
493;21799;2089
494;9784;6166
495;19838;4078
496;12556;3304
497;16307;7660
498;13153;2755
499;20601;3259
500;22150;1693
501;17943;5950
502;22978;847
503;16873;7003
504;14971;8947
505;13275;2638
506;21968;2026
507;13359;2485
508;16891;7039
509;7433;8470
510;22211;1675
511;8488;7381
512;16406;7525
513;22585;1333
514;20199;3673
515;16090;7804
516;23782;172
517;21837;2017
518;7569;8272
519;23628;316
520;11995;3889
521;16289;7570
522;10623;5239
523;22174;1738
524;18795;5095
525;16595;7318
526;18038;5887
527;22989;937
528;21159;2746
529;21989;1882
530;21193;2710
531;11584;4303
532;17688;6292
533;10215;5752
534;20988;2926
535;7308;8578
536;18721;5131
537;20151;3763
538;15638;8299
539;20447;3484
540;23291;604
541;15754;8119
542;15080;829
543;23738;190
544;9964;5986
545;16062;7822
546;13380;2530
547;20680;3250
548;15343;8479
549;18580;5365
550;23389;595
551;22921;991
552;19538;4366
553;18863;5104
554;22860;1009
555;15126;748
556;17935;5968
557;12964;2962
558;20875;2980
559;13444;2440
560;17448;6436
561;15767;8128
562;18499;5401
563;15107;8803
564;20381;3529
565;22351;1540
566;11115;4870
567;19806;4168
568;11520;4375
569;20728;3178
570;8356;7552
571;15673;8227
572;9789;6112
573;22577;1288
574;23371;523
575;15232;8704
576;17955;5995
577;18364;5527
578;15544;8308
579;8601;7237
580;15541;8326
581;7252;8650
582;14944;8992
583;8909;7021
584;15805;8083
585;15848;7984
586;19158;4798
587;19017;4816
588;22851;1027
589;16959;6940
590;16272;7687
591;21830;2134
592;7857;8038
593;23221;694
594;14524;1360
595;22624;1297
596;15254;631
597;15093;8839
598;14882;9028
599;22346;1567
600;17074;6841
601;14965;8893
602;23396;496
603;9494;6463
604;20259;3655
605;14562;1270
606;15905;8020
607;12514;3340
608;22108;1774
609;20155;3745
610;21048;2854
611;21497;2449
612;17029;6859
613;17365;6535
614;16206;7696
615;20576;3331
616;14469;1477
617;17678;6247
618;7380;8533
619;22396;1522
620;12435;3448
621;20554;3358
622;19286;4636
623;16801;7156
624;18647;5284
625;14853;9046
626;16559;7309
627;15475;433
628;22258;1612
629;12722;3187
630;15174;8731
631;7951;7957
632;18524;5500
633;12883;3025
634;15911;7876
635;22715;1216
636;17507;6310
637;17064;6850
638;23763;145
639;16631;7255
640;9786;6121
641;20229;3709
642;12601;3277
643;22850;1036
644;8318;7633
645;16155;7750
646;22355;1504
647;17178;6652
648;14996;8956
649;17628;6283
650;17472;6517
651;18875;5068
652;15449;8407
653;14959;946
654;17680;6202
655;7004;8938
656;21655;2242
657;9475;6391
658;19326;4537
659;19721;4258
660;18129;5707
661;20256;3601
