#Mode:;3
#Device:;dragonrise_green
#Button:;290
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;10441;5419
1;20348;3556
2;20992;2899
3;23515;388
4;19386;4492
5;14196;1702
6;17978;5932
7;19717;4159
8;16993;6895
9;20719;3178
10;10604;5284
11;22735;1171
12;16422;7570
13;20258;3610
14;18935;4951
15;11673;4231
16;22678;1225
17;12547;3322
18;21971;1927
19;17498;6373
20;10569;5329
21;18012;5896
22;11980;3934
23;17910;6049
24;23081;820
25;14754;1144
26;22268;1684
27;15499;406
28;18375;5599
29;17436;6463
30;12909;3079
31;19393;4528
32;14460;1432
33;19351;4555
34;17819;6085
35;21392;2521
36;20085;3826
37;10912;4987
38;22062;1837
39;23082;838
40;22608;1288
41;20024;3907
42;13207;2701
43;23005;928
44;22331;1594
45;16566;7336
46;22651;1252
47;11754;4114
48;15987;7930
49;19374;4519
50;21239;2674
51;21562;2350
52;14243;1666
53;17341;6562
54;8395;7516
55;19799;4105
56;23348;550
57;14907;1045
58;20144;3754
59;8513;7408
60;17834;6067
61;21262;2620
62;13106;2836
63;19275;4681
64;10449;5374
65;16316;7597
66;15196;8758
67;10677;5230
68;21748;2080
69;15135;775
70;21117;2818
71;20709;3205
72;22359;1540
73;23144;766
74;12346;3619
75;22649;1243
76;23801;100
77;20344;3565
78;15820;8083
79;12460;3511
80;23615;379
81;17276;6661
82;22441;1378
83;21528;2359
84;10651;5239
85;15707;8263
86;19132;4771
87;22591;1315
88;20505;3376
89;8936;6967
90;22656;1279
91;22790;1108
92;18736;5185
93;18096;5770
94;13380;2512
95;21163;2746
96;8321;7579
97;22552;1369
98;15994;7867
99;8295;7606
100;22266;1621
101;12683;3223
102;19806;4087
103;16627;7363
104;9068;6850
105;18968;4915
106;12828;3070
107;17802;6103
108;21767;2134
109;14782;1135
110;21426;2476
111;14160;1738
112;19497;4402
113;16901;6994
114;22021;1891
115;22577;1333
116;14609;1270
117;19412;4483
118;20343;3547
119;20302;3601
120;23440;559
121;9354;6454
122;15544;8371
123;17957;5914
124;22957;955
125;20092;3808
126;14338;1567
127;19801;4096
128;21900;2008
129;21293;2611
130;18791;5104
131;7511;8398
132;15333;8506
133;13097;2791
134;21559;2341
135;18996;4906
136;10697;5221
137;16249;7660
138;10497;5401
139;16856;7048
140;15298;8596
141;11982;3916
142;22044;1864
143;12316;3583
144;21201;2719
145;22345;1576
146;11101;4816
147;21064;2854
148;11362;4537
149;15616;8272
150;18910;4960
151;21532;2386
152;17297;6598
153;7706;8209
154;16617;7372
155;19482;4420
156;17835;6058
157;22140;1828
158;13011;2953
159;21993;1900
160;22708;1180
161;17460;6445
162;18722;5176
163;15638;271
164;20758;3142
165;15790;8119
166;15627;8281
167;16213;7705
168;14545;1306
169;18826;5068
170;15399;568
171;23230;667
172;20919;3061
173;9384;6526
174;16980;6931
175;13225;2665
176;22381;1513
177;17173;6760
178;15400;478
179;16417;7507
180;8270;7633
181;18388;5527
182;22153;1729
183;15272;613
184;19091;4834
185;10868;5050
186;21737;2152
187;15328;8578
188;9201;6697
189;22902;937
190;8449;7534
191;19932;4006
192;21072;2827
193;16036;7876
194;18549;5347
195;10133;5743
196;23743;172
197;22275;1612
198;22172;1747
199;14968;9001
200;11583;4312
201;19019;4879
202;18891;5014
203;21667;2233
204;19727;4168
205;11940;3943
206;20909;2998
207;19669;4204
208;20600;3304
209;16710;7192
210;9664;6238
211;21348;2548
212;14081;1774
213;17988;5923
214;20568;3331
215;13117;2764
216;20961;2935
217;12343;3592
218;20926;2971
219;23199;703
220;8695;7183
221;21964;1954
222;7522;8380
223;18176;5671
224;16503;7318
225;8051;7849
226;17604;6310
227;12620;3295
228;23142;694
229;18449;5446
230;18070;5824
231;17173;6724
232;11311;4600
233;22148;1765
234;22822;1081
235;15749;8155
236;16657;7219
237;13219;2683
238;18599;5320
239;20456;3448
240;22863;946
241;21379;2440
242;6930;8983
243;21982;1990
244;18136;5761
245;20884;3007
246;20008;3889
247;13574;2332
248;18045;5860
249;12484;3412
250;23572;325
251;23186;721
252;13166;2737
253;21396;2503
254;8787;7129
255;20557;3340
256;18285;5545
257;12871;3034
258;20472;3493
259;11850;4069
260;18291;5617
261;17062;6823
262;13364;2539
263;22678;1216
264;10277;5626
265;20544;3358
266;15943;7966
267;7135;8767
268;18715;5194
269;13998;1909
270;17073;6877
271;18483;5410
272;19455;4438
273;23715;298
274;11282;4501
275;19639;4267
276;16074;7948
277;21292;2602
278;18176;5815
279;10498;5455
280;23172;757
281;15789;8128
282;17628;6265
283;18873;5041
284;8916;6985
285;16067;7840
286;23496;415
287;23079;802
288;15914;8002
289;9063;6832
290;19242;4645
291;13841;2035
292;16166;7723
293;16081;7768
294;8551;7345
295;21014;2881
296;7645;8254
297;14909;9082
298;18831;5167
299;10475;5437
300;19336;4582
301;9799;6112
302;20239;3655
303;20821;3088
304;10222;5653
305;21618;2305
306;13623;2260
307;16628;7309
308;20630;3250
309;19921;3961
310;20238;3673
311;13226;2710
312;19735;4150
313;21368;2530
314;20956;2944
315;22360;1549
316;15107;793
317;19852;4060
318;15621;8236
319;23406;460
320;16740;7156
321;11129;4789
322;17990;5887
323;15232;8632
324;15238;8650
325;21708;2206
326;15649;244
327;21039;2863
328;7697;8218
329;22035;1873
330;21591;2296
331;14675;1234
332;19124;4852
333;14883;1018
334;18748;5140
335;17868;6031
336;9655;6274
337;23553;361
338;13128;2782
339;16627;7273
340;22046;1846
341;7593;8317
342;20763;3133
343;11924;3979
344;20058;3871
345;22585;1297
346;19247;4663
347;19543;4276
348;11207;4780
349;23262;649
350;20208;3700
351;23252;631
352;14892;9091
353;8792;7075
