#Mode:;3
#Device:;dualshock4_wired
#Button:;317
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;11192;8677
1;11090;793
2;10241;5635
3;11634;4276
4;9311;2602
5;11388;4474
6;8986;6895
7;9782;6094
8;11941;3907
9;10548;1351
10;11281;8605
11;8519;7363
12;9773;6148
13;8629;7291
14;9188;6679
15;8655;7228
16;10181;1756
17;8984;2989
18;9374;6616
19;11534;8380
20;10605;1225
21;11680;163
22;9949;6022
23;11827;8065
24;10504;1432
25;8496;3430
26;8348;3565
27;11614;8308
28;9595;6373
29;9461;2494
30;8576;3331
31;9964;5950
32;8240;3628
33;8472;7417
34;11787;8173
35;10882;5023
36;11815;109
37;9794;2098
38;11135;4825
39;10388;5536
40;11196;4699
41;10907;8965
42;9440;2476
43;10614;1297
44;9989;1972
45;11904;4006
46;8206;7714
47;8727;7147
48;9317;6598
49;8292;7570
50;8586;7318
51;9322;2611
52;9572;2287
53;11673;253
54;10978;4915
55;10674;1279
56;10153;1765
57;11785;8074
58;8557;7336
59;9433;6445
60;8396;7498
61;11190;730
62;9148;2764
63;9320;2638
64;11190;721
65;10530;1369
66;9507;6382
67;11348;8650
68;11219;4645
69;10298;1585
70;10871;1036
71;9002;6832
72;12011;7930
73;10842;4987
74;8545;7327
75;11616;4303
76;8532;3322
77;8478;3412
78;11220;4672
79;11459;4456
80;9002;6922
81;8110;3736
82;10437;1459
83;8682;7282
84;9805;2071
85;10452;5464
86;9930;6040
87;11663;244
88;8634;7273
89;12339;4546
90;10044;5851
91;10316;1603
92;9487;2368
93;11091;4816
94;11526;4375
95;11248;8659
96;10705;5221
97;11346;532
98;9031;6859
99;10399;1522
100;10701;5203
101;8456;7408
102;8203;3727
103;11576;8317
104;10451;1423
105;9879;1963
106;8409;3520
107;11558;343
108;12004;3952
109;10682;5248
110;10845;9091
111;11663;262
112;9115;6751
113;8183;3718
114;11870;3997
115;11770;118
116;8583;3340
117;9339;6517
118;9406;6535
119;11711;199
120;11948;7966
121;8684;7237
122;9847;2026
123;8459;3385
124;11715;8182
125;8908;2944
126;8960;2926
127;9682;6256
128;10994;937
129;11417;4492
130;12033;3871
131;11540;325
132;10113;5869
133;10932;4996
134;8406;3448
135;10981;4924
136;10045;1864
137;10297;1621
138;10190;1729
139;9975;1981
140;11283;4636
141;10530;5374
142;10791;1117
143;10471;5455
144;11395;8551
145;11536;8344
146;11671;8245
147;9412;6499
148;11554;334
149;10979;8902
150;10507;5383
151;8075;3817
152;9157;2782
153;10409;1549
154;9041;2962
155;10690;5131
156;11222;748
157;10571;1360
158;11712;4195
159;8577;3313
160;9807;2035
161;9661;2143
162;9617;2233
163;9153;2674
164;11267;595
165;9991;2017
166;11078;4843
167;8587;7372
168;10728;1243
169;10002;5968
170;8253;7705
171;9060;6868
172;9767;2152
173;10107;5788
174;9225;2719
175;11020;4942
176;9558;2350
177;9752;6103
178;9163;2701
179;9975;1891
180;10352;1558
181;10550;5329
182;10388;5509
183;11019;8893
184;8755;3124
185;9908;5977
186;10233;1684
187;10346;5617
188;9635;2269
189;9362;2548
190;11069;8830
191;9864;2134
192;8174;7759
193;10897;5104
194;10007;5860
195;11401;8434
196;11052;8848
197;8107;7849
198;11536;8353
199;11157;4762
200;10963;8974
201;11105;8758
202;11425;8488
203;9400;2449
204;8620;3277
205;11180;4717
206;11218;4690
207;10845;9064
208;9697;2224
209;11864;4096
210;11013;865
211;8059;7858
212;9186;2773
213;11692;217
214;11322;613
215;8193;3709
216;10996;8929
217;10573;1342
218;8874;7066
219;8396;3466
220;10976;8911
221;10107;5716
222;8639;7219
223;9585;2404
224;11716;4114
225;8127;3691
226;10052;1945
227;11928;3979
228;11973;3970
229;11681;4240
230;11187;775
231;11635;280
232;10336;5527
233;11562;4384
234;11627;4294
235;11820;8101
236;8326;3538
237;8957;2998
238;9687;6166
239;11472;460
240;10082;5824
241;9960;5941
242;8783;7165
243;9459;6481
244;9921;6004
245;9742;6202
246;8297;3646
247;9884;2008
248;11656;8326
249;11897;3943
250;10862;1045
251;10222;1666
252;11942;8011
253;11424;8515
254;9724;6247
255;9757;2089
256;8248;7669
257;11651;235
258;11567;298
259;8690;3214
260;9668;6274
261;10726;5194
262;10667;5284
263;9760;2161
264;11437;8524
265;8887;3025
266;11073;847
267;9130;2800
268;9989;5932
269;8684;3205
270;8885;3061
271;10875;9046
272;9570;6436
273;10796;5032
274;11000;883
275;11403;8470
276;11552;370
277;8282;7534
278;8790;3160
279;9360;2566
280;10363;1576
281;11021;4888
282;8820;7084
283;9398;6526
284;12033;7939
285;11517;4447
286;8635;3259
287;9534;6391
288;9581;6265
289;8179;7696
290;11673;208
291;9876;2044
292;11735;4186
293;11262;4582
294;10721;1162
295;8384;3547
296;11829;8056
297;8215;3682
298;8825;3052
299;9737;2215
300;11338;568
301;8882;7057
302;11163;8794
303;9659;2251
304;8250;3610
305;10656;1189
306;11542;361
307;8489;3484
308;8659;7255
309;11415;8506
310;10071;1792
311;10023;5878
312;11700;4213
313;10683;1234
314;10295;5707
315;11173;8776
316;8118;3826
317;11653;4204
318;8778;3115
319;8900;7021
320;9868;6031
321;8011;3862
322;11337;4564
323;11614;4285
324;9018;2890
325;8098;3880
326;9059;2845
327;10747;1153
328;10407;1513
329;9353;6571
330;8938;3007
331;11118;8785
332;8989;2917
333;10428;5563
334;8694;3169
335;8810;7093
336;11415;541
337;10566;1405
338;10117;5779
339;9144;6760
340;9252;6715
341;10878;9028
342;9342;2665
343;10863;5014
344;8293;7660
345;11655;4258
346;8299;7642
347;10264;5653
348;9268;2593
349;8613;3304
350;10723;1171
351;10997;901
352;11007;4960
353;11424;8443
354;9660;2197
355;11432;559
356;11857;4060
357;11148;838
358;10096;1810
359;9854;2062
360;8200;3790
361;10099;1882
362;11604;4312
363;9954;5995
364;8538;3376
365;10869;5050
366;11547;8362
367;8158;7741
368;8512;3403
369;8998;2872
370;10710;5149
371;9154;2809
372;10812;1144
373;11546;8299
374;8237;3637
375;11932;7957
376;8810;7102
377;10510;5347
378;11290;4618
379;8149;3754
