#Mode:;3
#Device:;dualshock4_wireless
#Button:;317
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;3949;2863
1;3124;5050
2;4234;6841
3;3044;3754
4;3757;8578
5;3628;379
6;2784;5428
7;3718;7300
8;3084;973
9;3347;2125
10;2729;5617
11;3459;3466
12;13889;4114
13;3397;3421
14;2809;2782
15;3490;3475
16;3804;5950
17;2522;1612
18;3399;7597
19;3536;3313
20;3604;532
21;3230;784
22;3509;2062
23;3234;3673
24;2744;5581
25;2381;5878
26;3987;1468
27;2993;3871
28;3788;8614
29;3735;1648
30;3438;4663
31;3388;6337
32;4155;6760
33;3238;4897
34;3522;5959
35;3018;2413
36;3180;1072
37;3932;7165
38;2305;397
39;3618;8776
40;4110;8317
41;4194;4132
42;3622;622
43;2418;1657
44;3547;7453
45;2883;6778
46;3680;8758
47;2738;2764
48;3753;7246
49;3593;1927
50;2748;2800
51;2979;6742
52;2697;1396
53;3788;8686
54;2671;4240
55;3680;1720
56;4205;1216
57;3235;4906
58;4244;4051
59;3609;4690
60;3531;6175
61;3063;3817
62;2750;4159
63;2747;5482
64;3807;4492
65;2738;1423
66;2946;8101
67;3144;6598
68;3575;4708
69;2940;1144
70;3332;667
71;3142;856
72;4034;8344
73;3742;3268
74;3113;1126
75;3350;6256
76;2786;4123
77;8732;1630
78;2779;5653
79;2695;5599
80;2589;5707
81;3700;1603
82;3121;3691
83;2978;1225
84;2894;5347
85;3446;6220
86;3447;8992
87;2978;2386
88;3126;2494
89;2550;4348
90;4066;1270
91;3059;3781
92;2965;2656
93;3546;1936
94;4157;1279
95;7038;3457
96;3694;307
97;4041;6976
98;3519;8893
99;3413;3448
100;3665;460
101;2685;5608
102;3458;3439
103;2744;1432
104;2977;1135
105;3613;2008
106;3323;2197
107;3964;8425
108;3473;4735
109;3706;8794
110;3791;253
111;3132;1045
112;2427;3115
113;3211;793
114;3872;5689
115;3176;4915
116;4508;7957
117;4322;3916
118;3158;4996
119;3317;4789
120;2736;2881
121;15121;3025
122;2491;3034
123;2557;4375
124;2463;8641
125;3554;8821
126;4037;6949
127;4323;7975
128;5535;5257
129;3383;4681
130;2514;7201
131;3512;1846
132;4487;5032
133;3591;3169
134;3195;847
135;2841;5455
136;3336;4978
137;3293;7714
138;2791;2728
139;2943;5302
140;3623;6202
141;2646;2836
142;3487;2089
143;2645;7039
144;3118;5167
145;3004;2503
146;3052;6607
147;2999;6643
148;2592;4330
149;3533;7498
150;2577;1459
151;3194;7831
152;3755;4537
153;3417;8965
154;3878;4420
155;2951;4006
156;2437;361
157;4583;3520
158;2643;7030
159;2934;2674
160;3010;1000
161;3643;1837
162;3429;2143
163;3589;7435
164;3132;2359
