#Mode:;3
#Device:;exxter
#Button:;45
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;28098;3736
1;27356;4474
2;28076;3745
3;23296;541
4;31310;532
5;27625;4195
6;29795;2035
7;29443;2377
8;26201;5599
9;23266;8596
10;24368;7471
11;27061;4870
12;24312;7462
13;24668;7183
14;23300;577
15;30184;1684
16;28913;2926
17;26353;5464
18;31427;424
19;31150;685
20;30746;9010
21;23103;703
22;23909;7957
23;24431;7426
24;26255;5563
25;27608;4213
26;23204;8659
27;30802;9091
28;23523;8371
29;29315;2494
30;27856;3961
31;25416;6400
32;28388;3484
33;27402;4429
34;24108;7759
35;26158;5662
36;30605;1216
37;24963;6895
38;27260;4573
39;29286;2512
40;29590;2251
41;30322;1414
42;29637;2206
43;27083;4753
44;25108;6724
45;27104;4717
46;28195;3619
47;22805;1036
48;28700;3151
49;24934;6823
50;27032;4789
51;23161;676
52;26763;5059
53;24522;7345
54;27290;4564
55;29157;2674
56;24755;7093
57;23162;8587
58;27444;4384
59;29815;2080
60;23826;8020
61;28903;2971
62;28596;3223
63;27575;4231
64;25365;6463
65;29469;2359
66;23296;8551
67;27008;4816
68;26074;5761
69;23055;8812
70;23842;8002
71;25641;6220
72;24990;6805
73;29846;1927
74;25057;6733
75;28328;3457
76;30552;1324
77;27524;4294
78;22885;991
79;24303;7534
80;30730;1090
81;26144;5734
82;22494;1360
83;30822;1072
84;30896;8983
85;28817;3016
86;26041;5797
87;26315;5509
88;30466;1342
89;23739;316
90;27744;4078
91;31016;802
92;25969;5878
93;23330;8497
94;31559;280
95;28285;3547
96;26219;5608
97;30003;1819
98;25536;6301
99;29276;2440
100;23779;8101
101;27036;4798
102;31060;8785
103;30871;8884
104;29448;2368
105;30943;883
106;23080;784
107;29158;2683
108;28517;3331
109;27928;3898
110;24004;7840
111;29881;1945
112;28069;3655
113;29197;2728
114;25763;6049
115;25120;6706
116;24673;7156
117;28679;3160
118;30396;1432
119;31583;325
120;24936;7021
121;26468;5374
122;30989;8839
123;28172;3673
124;30669;1162
125;25685;6130
126;25331;6481
127;27055;4780
128;24522;7291
129;27905;3925
130;23345;8443
131;23465;8362
132;30254;1576
133;26995;4852
134;29035;2800
135;27980;3853
136;30470;1333
137;29017;2818
138;31006;838
139;23929;7912
140;23534;8299
141;22699;1117
142;28708;3133
143;29798;2044
144;26146;5680
145;29845;1954
146;24701;7129
147;30519;8974
148;29743;2008
149;23448;8389
150;30778;1063
151;27946;3862
152;23453;8380
153;29362;2458
154;29418;2413
155;29499;2872
156;24743;7084
157;25215;6616
158;30955;8875
159;29326;2503
160;25560;6247
161;26135;5725
162;25352;6517
163;25585;6202
164;28826;2980
165;26305;5500
166;29270;2548
167;27447;4393
168;28034;3763
169;30561;1243
170;29307;2521
171;25245;6580
172;22766;9082
173;26283;5554
174;30882;1027
175;30442;1459
176;23127;8704
177;22943;8920
178;31661;172
179;29072;2755
180;29156;2629
181;29020;2791
182;31266;595
183;26504;5311
184;26294;5518
185;25522;6283
186;23502;298
187;24325;7498
188;29477;2314
189;26601;5203
190;27695;4069
191;23291;8488
192;26725;5041
193;27052;4735
194;27640;4105
195;26317;5419
196;24304;7453
197;24906;6958
198;28959;2809
199;29124;2719
200;31454;370
201;28593;3205
202;29906;1918
203;30252;1585
204;27162;4627
205;26622;5212
206;26937;4897
207;26272;5536
208;25845;6058
209;24143;7732
210;25374;6490
211;27620;4240
212;27736;4087
213;27049;4663
214;30791;1045
215;27288;4537
216;28271;3556
217;28138;3700
218;28909;2917
219;24354;7480
220;29662;2062
221;23778;8164
222;23618;208
223;26555;5248
224;27641;4177
225;28045;3781
226;30631;1180
227;26018;5815
228;27987;3835
229;29185;2584
230;24466;7390
231;31631;217
232;29251;2575
233;29602;2224
234;30411;1405
235;23489;8407
236;25769;6022
237;26485;5320
238;23814;8011
239;26960;4861
240;29953;1900
241;30958;874
242;22565;1279
243;23356;8461
244;26766;5050
245;24715;7120
246;23208;8605
247;30612;1207
248;27533;4285
249;24436;7399
250;26941;4942
251;24085;7768
252;23355;8470
253;27406;4339
254;28914;2953
255;30319;1495
256;23430;379
257;25053;6796
258;27851;3970
259;24784;7057
260;23202;586
261;29750;2071
262;24654;7075
263;29208;2638
264;30355;1468
265;26432;5392
266;29418;2476
267;25986;5851
268;27947;3871
269;23909;7948
270;23630;199
271;23190;8650
272;28626;3187
273;24500;7327
274;29058;2836
275;28534;3358
276;25302;6535
277;25563;6265
278;26801;5005
279;23658;8182
280;28397;3421
281;24664;7174
282;31038;8776
283;27130;4708
284;23489;8353
285;23153;8686
286;23674;8155
287;28527;3295
288;28406;3403
289;27340;4465
290;27775;4096
291;26591;5284
292;28787;3043
293;28674;3115
294;23395;469
295;29603;2215
296;26881;4933
297;23525;8290
298;27210;4600
299;29046;2764
300;29008;2827
301;26808;5014
302;28446;3340
303;24432;7417
304;28244;3574
305;28552;3277
306;23970;7858
307;28205;3637
308;23396;442
309;26701;5113
310;24986;6850
311;23787;8047
312;29284;2557
313;29677;2152
314;23138;694
315;23283;8533
316;31546;289
317;29460;2386
318;30271;1621
319;27760;4042
320;25158;6688
321;25115;6715
322;30819;955
323;24548;7237
