#Mode:;3
#Device:;g700_wired
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;4504;5365
1;3367;6526
2;4340;3619
3;4028;3880
4;4426;5464
5;4164;3781
6;3287;469
7;4031;3871
8;4273;1576
9;3845;2062
10;5103;4789
11;5014;838
12;3317;397
13;4357;3538
14;4980;874
15;4900;4906
16;3284;4555
17;4052;1855
18;4107;1702
19;4427;3439
20;4105;3790
21;5259;2656
22;4980;6976
23;4336;7543
24;4103;1792
25;4367;7516
26;3739;163
27;3839;6058
28;4352;1162
29;3472;6382
30;3714;6175
31;4118;3772
32;3677;7588
33;3989;1927
34;3919;7993
35;3738;2107
36;4466;5428
37;3624;2341
38;5025;8866
39;4232;1711
40;4552;3277
41;3265;2566
42;4213;5617
43;3968;7975
44;5041;6769
45;3337;559
46;4485;5419
47;3731;172
48;5199;4699
49;3680;2170
50;3484;406
51;4099;5815
52;3468;4447
53;4215;7642
54;5011;6886
55;5046;4816
56;4137;1693
57;4808;3088
58;5070;8785
59;5073;6823
60;4434;7399
61;4745;3151
62;4374;5482
63;4436;1279
64;3595;2251
65;4957;8632
66;4454;3448
67;5432;8353
68;4686;5086
69;4807;1018
70;5506;6346
71;4186;3700
72;3639;4240
73;3751;6040
74;5382;442
75;5443;4357
76;5284;6499
77;4127;3646
78;3841;1819
79;5186;6463
80;3654;2242
81;4768;9037
82;5203;8650
83;4349;7552
84;5202;8695
85;5098;784
86;3391;379
87;4857;5041
88;4423;1459
89;4278;5590
90;4884;8938
91;4668;1171
92;3967;7849
93;4701;3124
94;4913;4915
95;4380;1432
96;5103;703
97;5444;2431
98;4370;1486
99;5306;4546
100;5513;325
101;4637;5203
102;5251;2764
103;3865;4051
104;4050;5797
105;4270;5725
106;5371;4456
107;5032;2710
108;4837;2962
109;3715;2089
110;5050;6715
111;3524;8281
112;4050;1765
113;3950;3889
114;5246;595
115;4705;1198
116;4512;5347
117;3571;6292
118;5483;2359
119;4660;1189
120;4054;5869
121;3893;1891
122;5440;4411
