#Mode:;3
#Device:;g700_wireless
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;5343;1567
1;6162;8740
2;6028;820
3;5057;1792
4;6100;6796
5;5567;7264
6;6115;6724
7;5930;6967
8;5531;5374
9;6914;5986
10;6338;4528
11;6733;6166
12;5300;5590
13;5583;5266
14;5642;1279
15;6313;2575
16;5357;5491
17;5062;5761
18;5150;5653
19;6760;4366
20;6394;4465
21;6693;2161
22;6610;8281
23;4978;730
24;6959;3889
25;5459;1378
26;6765;4348
27;8100;2827
28;6582;8983
29;5086;4816
30;5685;6193
31;5467;6391
32;6117;7840
33;7185;3961
34;5749;7966
35;5539;370
36;5336;8515
37;5207;2710
38;5450;442
39;6879;7075
40;5651;2260
41;6215;5689
42;6997;6994
43;6870;7039
44;5377;514
45;5672;2179
46;6634;5257
47;6976;6913
48;5824;2053
49;6655;3232
50;5072;874
51;5330;613
52;6868;3052
53;6084;7822
54;5642;2206
55;6783;3151
56;5390;4429
57;5194;8659
58;7073;4852
59;5805;154
60;5681;4132
61;5706;8182
62;5098;8794
63;5549;2404
64;6474;3358
65;6943;2881
66;5265;2584
67;6967;6931
68;6401;5518
69;5968;1891
70;5789;8164
71;5915;1981
72;5555;4294
73;6730;5185
74;5264;631
75;5954;3997
76;7202;2701
77;6593;1324
78;6587;5311
79;5361;4546
80;5274;6625
81;6404;5545
82;6802;5059
83;6397;7498
84;5640;6283
85;6875;982
86;6368;3547
87;6290;1603
88;7088;4789
89;5181;8722
90;6035;1873
91;6092;1810
92;6025;5824
93;5734;2170
94;6296;3610
95;6020;7858
96;5356;6553
97;5247;658
98;7076;2872
99;5525;379
100;7020;6850
101;7105;4798
102;7161;8704
103;6669;5230
104;6487;7336
105;5454;433
106;6504;5392
107;7147;8749
108;5523;4411
109;6589;3394
110;6842;7012
111;5649;4249
112;5448;8470
113;5306;604
114;5543;6355
115;5629;6274
116;6995;2863
117;7201;4753
118;5997;5923
119;5975;3943
120;6148;3718
121;7178;8686
122;7442;2440
123;6298;3628
124;7335;4537
125;7073;2836
126;6592;1270
127;5890;4015
128;6055;3907
129;6231;1639
130;5625;6229
131;6821;7057
132;5811;1999
133;6021;3853
134;5736;127
135;6857;6949
136;7191;6661
137;6202;7660
138;5522;8272
139;7263;685
140;6948;6877
141;6428;5437
142;5726;8209
143;6776;3070
144;5830;2116
145;6862;7084
146;7339;6589
147;6404;5446
148;6677;3214
149;7261;8641
150;6565;3331
151;6219;3673
152;5844;6004
153;5580;325
154;4947;2251
155;5402;3439
156;5833;3079
157;6143;721
158;6149;766
159;5060;1774
160;6227;7471
161;6128;5806
162;6304;8596
163;6188;928
164;5386;1504
165;6732;181
166;5452;1450
167;6195;5410
168;7663;7237
169;5949;4951
170;6281;2539
171;6411;2512
172;7849;7048
173;6635;4303
174;6868;6022
175;5261;5869
176;5948;2962
177;6677;2233
178;5170;3727
179;4870;8020
180;6293;6634
181;4992;7912
182;6882;2017
183;6259;4636
184;6293;487
185;6647;4168
186;5454;1513
187;5674;5275
188;6224;622
189;6509;4375
190;6312;4474
191;6000;847
192;6718;2224
193;6895;1972
194;5082;1819
195;6539;4339
196;6348;8506
197;6256;2683
198;6628;8299
199;5254;1648
200;5490;5428
201;6788;2098
202;5694;7219
203;6892;244
204;7539;5419
205;6528;424
206;6665;2944
207;6280;8578
208;6404;2449
209;6612;2242
210;6417;6472
211;6779;136
212;6806;6328
213;5323;8362
214;5462;496
215;5858;2044
216;5036;892
217;5605;2323
218;5090;757
219;7715;3466
220;5079;2566
221;5738;8146
222;5080;4834
223;6742;3133
224;4999;8821
225;4973;6886
226;6216;3682
227;5956;1945
228;6317;1576
229;5927;1990
230;5958;7993
231;5750;163
232;6312;1549
233;5840;8056
234;6681;3223
235;6610;5293
236;6806;1099
237;5385;6499
238;6807;5104
239;5462;4393
240;7017;4843
241;5361;2485
242;6038;7921
243;6119;3790
244;6698;1162
245;6529;1369
246;5347;2530
247;5828;4060
248;6902;9082
249;5287;4483
250;6430;1522
251;5584;4357
252;5296;6481
253;6579;5383
254;5456;6436
255;5256;8695
256;5732;8227
257;6170;3781
258;5789;2188
259;5485;8326
260;6612;3268
261;5979;3925
262;6879;9019
263;6528;1396
264;6920;2953
265;6732;3187
266;6983;919
267;6732;1216
268;6391;3502
269;6695;5194
270;6588;3313
271;5682;271
272;6310;7588
273;5596;2305
274;6784;3160
275;6026;7876
276;5464;6418
277;5383;4501
278;6005;7903
279;5936;7957
280;5729;8218
281;5669;8245
282;5369;8533
283;5848;2089
284;5856;4042
285;5529;8407
286;6779;3115
287;5828;6076
288;5258;8650
289;5452;2467
290;5703;199
291;5914;7984
292;6684;3178
293;6134;5779
294;5717;2143
295;5529;415
296;6123;1801
297;6472;7435
298;6786;3124
299;6150;5680
300;6971;2926
301;6054;3880
302;6133;3826
303;7264;4582
304;5679;226
305;6956;6895
306;6214;1738
307;7348;2557
308;5666;4177
309;5565;334
310;6199;1702
311;7000;8902
312;7258;6652
313;6057;1846
314;5583;4285
315;6979;4906
316;6909;2998
317;7149;8785
318;5773;6130
319;6915;5005
320;5919;2026
321;6707;7147
322;5463;2386
323;7295;577
324;7093;811
325;7283;8668
326;7249;6607
327;7049;6787
328;5597;361
329;6987;6868
330;6779;1171
331;7352;6562
332;5780;4123
333;6828;1081
334;6481;3430
335;7175;6733
336;7150;2728
337;5679;2215
338;6804;5068
339;7188;8758
340;7136;6751
341;4768;8425
342;7167;2503
343;5613;1621
344;6491;8308
345;6983;4645
346;7377;532
347;7632;3340
348;6132;2782
349;6076;9073
350;5906;6958
351;6655;6256
352;5157;3799
353;4999;7894
354;7071;6580
355;6307;2629
356;7055;5833
357;5653;5455
358;6956;5932
359;5831;9001
360;6883;4024
361;6453;2422
362;5210;5707
363;5340;3574
364;6528;8371
365;6325;6616
366;6139;8713
367;6128;775
368;6437;6517
369;6601;6220
370;6480;4402
371;5029;1864
372;6768;8092
373;6152;4663
374;5955;4978
375;6713;6238
376;5192;7714
377;6960;5950
378;6735;172
379;6565;406
380;6054;6769
381;5063;1828
382;6628;4276
383;6322;829
384;7252;3601
385;7622;1261
386;6687;262
387;6988;1900
388;7186;3709
389;7533;3367
390;6231;6697
391;7166;3664
392;6284;5347
393;5678;3250
394;6116;4780
395;6972;3844
396;7064;6085
397;5453;4141
398;4897;9010
399;5334;8524
400;6684;7201
401;6686;7255
402;7163;3952
403;5428;6175
404;5767;8119
405;6496;1351
406;6673;3277
407;6882;4969
408;4837;1000
409;5188;8677
410;6505;7462
411;5639;4258
412;6793;3097
413;5916;3979
414;6206;3736
415;6530;7372
416;5427;6427
417;5814;4096
418;6763;7165
419;6597;3304
420;6971;2971
421;5084;4762
422;6596;5356
423;6107;7795
424;5816;6103
425;5099;2809
426;5667;4186
427;6593;7300
428;5842;6013
429;4984;8875
430;6593;5284
431;6159;1747
432;6209;3700
433;5725;8200
434;5450;6454
435;6892;3025
436;6670;1243
437;6442;5464
438;5857;6040
439;5972;1936
440;5557;8416
441;5255;4654
442;7172;2737
443;6470;7426
444;5253;640
445;7082;2818
446;5746;4159
447;5593;6310
448;6482;3403
449;5933;5995
450;6309;3637
451;7066;6841
452;5527;8335
453;6914;4987
454;5433;8434
455;7106;4744
456;6470;1441
457;5184;703
458;7139;6706
459;6325;7561
460;6094;5752
461;6197;3691
462;5820;4078
463;5283;568
464;6094;7867
465;5342;4618
466;5384;4564
467;6602;7291
468;7055;802
469;6707;1207
470;5202;676
471;6960;6976
472;5918;2008
473;6798;1054
474;6185;5734
475;6734;1180
476;6805;5077
477;6394;3565
478;7151;8776
479;6545;7345
480;6772;5167
481;6283;1594
482;6404;5527
483;5454;2431
484;5834;2071
485;6783;1126
486;7056;4771
487;7074;2764
488;6206;5635
489;6659;1252
490;7400;6508
491;7157;6760
492;5445;505
493;6350;7525
494;6497;1387
495;5957;3898
496;6790;5113
497;7276;595
498;6488;3421
499;6151;1711
500;6995;8956
501;5374;8479
502;7287;8560
503;6448;1423
504;5352;550
505;5638;2287
506;5859;4051
507;7178;2674
508;6452;3475
509;6912;7003
510;5752;8191
511;5571;316
512;6116;7732
513;6107;7741
514;5543;8443
515;6792;7066
516;7257;6679
517;7458;4456
518;6586;1315
519;5542;388
520;6308;5617
521;6391;3457
522;5636;289
523;5775;5338
524;6201;5500
525;6532;7408
526;6854;5032
527;7080;3817
528;6709;8137
529;6954;4006
530;7078;5770
531;5281;5860
532;6041;8803
533;5458;1495
534;5354;7516
535;5489;1414
536;6023;7696
537;6414;478
538;6303;8551
539;6518;343
540;7748;5176
541;6055;6859
542;7312;7597
543;6116;2773
544;7365;5572
545;6801;4105
546;7953;2989
547;6595;6319
548;7528;3448
549;6316;541
550;7828;1144
551;6902;2062
552;6480;2395
553;7933;4960
554;6376;8488
555;8006;4861
556;7656;3295
557;7712;7210
558;8019;2935
559;6193;4717
560;6402;2458
561;7552;5302
562;6312;8623
563;6308;2638
564;7019;7885
565;6944;5959
566;5646;6031
567;6413;4492
568;5347;5599
569;6397;748
570;5361;6301
571;5537;7417
572;6867;3970
573;6225;2908
574;5435;8173
575;5422;1486
576;6775;2107
577;6806;8083
578;6196;2746
579;5719;5122
580;7551;5626
581;6001;5671
582;5948;8965
583;6029;4924
584;6788;6337
585;5572;100
586;6070;5887
587;5867;6112
588;5520;3385
589;5910;7975
590;6245;7678
591;6090;7813
592;5447;6490
593;6395;1459
594;6763;1135
595;5795;4114
596;5067;2854
597;6492;7354
598;5410;2521
599;5511;397
600;7007;2899
601;5602;280
602;5471;8380
603;5672;208
604;6500;5401
605;6007;1837
606;5048;6805
607;6673;5212
608;5001;8812
609;6093;5716
610;4990;955
611;6584;5320
612;6242;7669
613;5907;6067
614;6047;3862
615;6601;1306
616;5333;4573
617;6146;1765
618;6193;5743
619;6961;4933
620;5819;8128
621;6394;7489
622;5957;1927
623;6882;7021
624;5168;8767
625;5639;2314
626;6702;1153
627;6285;3619
628;5259;6598
629;5948;5896
630;7006;8938
631;5444;6400
632;5529;4330
633;6714;5086
634;6795;5050
635;5428;8452
636;5344;523
637;7173;6778
638;5909;5968
639;6809;9091
640;5355;4510
641;6988;964
642;6221;1693
643;5857;2035
644;6131;3763
645;5955;5941
646;6309;7579
647;6271;1630
648;6849;9064
649;5650;6265
650;5652;6202
651;7072;8839
652;6581;1360
653;7249;4627
654;5816;8074
655;6858;1072
656;6386;5563
657;7002;8947
658;7203;4672
659;5439;4519
660;7129;8830
661;7174;739
662;6741;1036
663;6521;1333
664;6684;3169
665;6832;7129
666;5728;145
667;6787;1027
668;6891;3061
669;6128;1729
670;5947;3916
671;6958;6904
672;5335;8614
673;6327;5581
674;6441;1468
675;6664;1189
676;6486;7399
677;6346;1540
678;6331;3511
679;6240;7570
680;6419;1477
681;7465;4447
682;7442;4420
683;7152;784
684;7002;883
685;7278;4609
686;5479;469
687;5936;3988
688;6206;7705
689;6718;7174
690;7277;8605
691;7171;4708
692;6325;7543
693;6468;7480
694;6312;7624
695;7247;2647
696;6952;4879
697;6807;5041
698;7252;586
699;7213;6688
700;6537;3322
701;7256;649
702;5548;352
703;6808;1090
704;6021;3934
705;5550;307
706;7547;7273
707;5737;8101
708;5268;1954
709;5358;1585
710;5415;7534
711;5824;3007
712;5292;1675
713;5231;7633
714;6889;4699
715;7812;7093
716;7426;7507
717;6580;8344
718;6243;8929
719;6610;5014
720;6014;8893
721;7824;7120
722;6873;4033
723;7249;3655
724;6597;2350
725;6633;235
726;6119;6832
727;7173;7687
728;7530;7390
729;6506;6373
730;6956;1855
731;6467;2413
732;6976;7849
733;7013;5797
734;7932;6985
735;7651;7246
736;7755;7102
737;6422;8389
738;7156;3745
739;7367;5536
740;7072;7804
741;7142;7768
742;6807;8002
743;7153;7750
744;6777;6121
745;6597;2296
746;7694;5221
747;7353;3583
748;7657;7228
749;7252;5608
750;7937;4870
751;7922;4897
752;8118;6814
753;5959;901
754;6567;5095
755;5256;8632
756;7660;1432
757;5950;7759
758;6516;2332
759;5193;1756
760;4971;8884
761;8192;4915
762;6508;7111
763;4976;937
764;6024;3871
765;5738;190
766;6068;5788
767;6617;1234
768;5459;8398
769;5283;2611
770;6667;5158
771;6560;7282
772;6331;7552
773;5645;8263
774;6869;5023
775;6583;7363
776;5457;460
777;5159;4681
778;6597;1342
779;5918;7948
780;6238;1612
781;6307;7606
782;5695;2197
783;6204;5644
784;5638;4222
785;4923;991
786;6721;1225
787;5633;8317
788;5344;2548
789;6787;1108
790;5326;4555
791;6144;5662
792;5458;6445
793;6674;1297
794;6100;3808
795;5553;8290
796;5355;2494
797;6949;4996
798;5830;8065
799;5353;2476
800;6902;8992
801;7057;8857
802;5763;6139
803;5841;8011
804;6122;1783
805;6883;9037
806;6887;1018
807;5955;1963
808;5380;6544
809;6851;6940
810;6495;3376
811;5750;118
812;6120;7723
813;5906;8047
814;6688;3205
815;7008;6823
816;6801;3088
817;5858;6049
818;6586;1288
819;5085;865
820;6507;1405
821;6476;7381
822;6978;8911
823;6217;1684
824;6103;7786
825;5353;6535
826;6214;7651
827;7062;2800
828;7096;2845
829;5634;4267
830;5620;2269
831;5906;8029
832;7177;2755
833;6968;973
834;5349;8542
835;6178;1720
836;5672;4240
837;5374;8569
838;6609;7327
839;7310;6526
840;5544;8353
841;6700;5239
842;5676;6184
843;6334;3556
844;6218;7615
845;7206;712
846;5978;1918
847;6901;1009
848;7151;2692
849;7342;6463
850;7152;6715
851;5690;6211
852;6571;5365
853;5643;8254
854;6409;3493
855;5502;6382
