#Mode:;3
#Device:;g9
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;13680;2161
1;8539;7363
2;12005;3943
3;11420;4411
4;9117;3970
5;10377;5509
6;7546;8308
7;13696;2098
8;13895;1963
9;8427;7345
10;13194;2845
11;8413;7408
12;9464;6112
13;8573;7336
14;13395;2440
15;9848;6040
16;15255;550
17;11115;4402
18;10302;5599
19;9863;6013
20;8490;6778
21;13428;2431
22;8903;7003
23;10342;5617
24;10433;5428
25;7605;8353
26;9384;6526
27;13929;1882
28;14652;1297
29;8830;7111
30;12648;3277
31;14361;1522
32;14786;1108
33;8386;7507
34;15197;694
35;13824;1675
36;12389;3484
37;12888;3079
38;14113;3403
39;9361;6553
40;8510;7318
41;15607;307
42;13000;2899
43;14311;1657
44;15518;325
45;12532;3349
46;12037;3826
47;14095;1702
48;13058;2800
49;14190;1639
50;13931;1873
51;14824;1000
52;11689;3673
53;7894;7957
54;8200;7732
55;7812;8137
56;7795;8173
57;13217;2710
58;14454;1441
59;13842;1999
60;9262;6625
61;8849;7084
62;11333;4438
63;15399;433
64;10121;5743
65;8700;7228
66;11184;4654
67;9234;6589
68;12993;2953
69;7158;8704
70;14726;1171
71;7178;8740
72;7113;8695
73;7977;7939
74;8593;7273
75;14926;937
76;10850;5041
77;13559;2224
78;7626;8227
79;12665;3232
80;14087;1783
81;9879;5608
82;13995;1612
83;20060;5356
84;8202;7633
85;13952;1774
86;10395;5473
87;15467;388
88;15002;1009
89;11950;3853
90;13045;2791
91;12813;2980
92;11550;4375
93;13459;2386
94;13808;2116
95;9667;6292
96;12501;3394
97;11234;4681
98;11715;4186
99;7601;8317
100;10524;5338
101;10814;5059
102;10475;5392
103;11212;4663
104;8945;6886
105;15450;424
106;9967;5959
107;7113;8803
108;9746;6049
109;6937;8974
110;12451;3439
111;15417;496
112;10201;5671
113;10370;5491
114;8703;7156
115;8080;7849
116;10718;5203
117;7141;8785
118;14299;1540
119;10708;5185
120;9124;6706
121;15536;379
122;9792;6121
123;11811;4096
124;14421;1486
125;15468;469
126;13193;2719
127;14693;1207
128;7490;8425
129;15718;190
130;13596;2323
131;10720;5158
132;14071;1837
133;12555;3385
134;11845;4087
135;11501;4420
136;13366;2611
137;7021;8911
138;10783;5131
139;13166;2728
140;14208;1666
141;8391;7498
142;13926;1990
143;13051;2872
144;11577;4267
145;10127;5752
146;14136;1819
147;14933;973
148;9898;5932
149;7556;8299
150;9654;6256
151;15313;559
152;14332;1567
153;13026;2944
154;10491;5437
155;8973;6904
156;9620;6265
157;11445;4447
158;11641;4231
