#Mode:;3
#Device:;gembird
#Button:;57
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;29542;3916
1;32862;8677
2;31180;694
3;30773;1108
4;30794;1126
5;30111;1738
6;23839;127
7;28562;3349
8;31707;208
9;32611;7192
10;31431;8389
11;28282;3610
12;26573;5311
13;26370;5500
14;30520;1315
15;25111;6760
16;30817;496
17;27999;3844
18;30449;1486
19;32487;7453
20;29862;2044
21;29367;2548
22;30952;8947
23;26203;5662
24;29497;2413
25;25753;6085
26;30687;1243
27;31617;262
28;28390;3574
29;28501;3322
30;27223;4663
31;32803;7039
32;30314;1765
33;31468;8425
34;31108;8785
35;26135;5752
36;30871;1063
37;27565;4294
38;30850;991
39;24031;7876
40;31915;7984
41;30428;1558
42;24016;7885
43;27730;4123
44;31750;163
45;26018;5887
46;26884;4924
47;28106;3754
48;27710;4186
49;27131;4825
50;27666;4204
51;30850;1054
52;25508;6328
53;29495;2359
54;31245;8668
55;31234;8749
56;28308;3592
57;23702;8272
58;29592;2242
59;30280;1675
60;28935;2962
61;28712;3142
62;30786;9073
63;32394;7543
64;25727;6211
65;29253;2602
66;30441;1540
67;30633;1261
68;30955;1027
69;30443;1432
70;31225;685
71;26213;5680
72;32707;7147
73;25104;6814
74;32087;7813
75;30782;1180
76;27611;4285
77;32591;7210
78;31718;181
79;33604;6247
80;30522;1387
81;27433;4474
82;31865;100
83;32537;7372
84;28256;3691
85;30848;8992
86;25815;6130
87;30063;1801
88;31110;8794
89;29112;2818
90;27351;4537
91;26664;5203
92;31050;856
93;29472;2431
94;30074;1792
95;24193;7714
96;27231;4690
97;31677;8245
98;26807;5059
99;28731;3169
100;30676;1216
101;30935;964
102;30390;1450
103;33095;6796
104;29159;2665
105;31994;7903
106;27776;4105
107;29735;2143
108;31578;8362
109;29483;2404
110;31386;514
111;29939;1846
112;25669;6283
113;26972;4915
114;26085;5815
115;26237;5617
116;31440;460
117;30998;883
118;29978;1900
119;31051;847
120;28405;3484
121;27182;4708
122;31855;8056
123;28702;3106
124;24619;7264
125;28917;2971
126;31704;8164
127;23453;532
128;25400;6526
129;32637;7291
130;32088;7822
131;27195;4753
132;31982;7957
133;31973;7921
134;30797;1090
135;29645;2251
136;25163;6724
137;28854;2953
138;26628;5266
139;25371;6463
140;29467;2341
141;25545;6346
142;30942;8974
143;30256;1639
144;25658;6229
145;28744;3178
146;27387;4465
147;27431;4429
148;27075;4798
149;27540;4366
150;31559;352
151;28141;3745
152;27308;4501
153;31303;586
154;32261;7633
155;29973;1909
156;28646;3241
157;31565;8326
158;26506;5320
159;31062;8821
160;32238;7660
161;26620;5284
162;24954;6859
163;26594;5257
164;32615;7273
165;25988;5914
166;30024;1882
167;27159;4735
168;29966;1936
169;30365;1522
170;25773;6175
171;26733;5176
172;27460;4438
173;30116;1783
174;23428;8416
175;23649;190
176;28624;3295
177;31047;838
178;25231;6670
179;27556;4339
180;29660;2233
181;24208;7651
182;31268;8803
183;26258;5563
184;31662;8182
185;27209;4672
186;30917;8875
187;31108;739
188;29076;2782
189;30584;1297
190;29630;2224
191;28515;3376
192;29067;2809
193;29357;2512
194;28867;2998
195;26403;5446
196;28873;3007
197;31490;8371
198;29669;2188
199;26690;5158
200;24617;7255
201;29110;2791
202;28328;3502
203;30860;973
204;31185;8767
205;27584;4258
206;24971;6895
207;31365;8497
208;29662;2206
209;25875;5977
210;26913;4933
211;29718;2134
212;32665;7219
213;26331;5428
214;25087;6769
215;31738;136
216;31170;712
217;29563;2305
218;25801;6076
219;29211;2647
220;32879;6922
221;27794;4024
222;31468;334
223;29390;2476
224;32451;7435
225;25368;6472
226;29082;2773
227;26964;4906
228;31752;118
229;25532;6319
230;27715;4141
231;31716;8137
232;27434;4420
233;24966;6868
234;30378;1495
235;30894;937
236;30920;919
237;29184;2683
238;29599;2269
239;27599;4276
240;26016;5878
241;25609;6238
242;26485;5482
243;31379;478
244;25946;5968
245;31307;523
246;28827;3034
247;29343;2494
248;26774;5374
249;31235;622
250;27775;4060
251;29356;2530
252;26779;5104
253;29744;2161
254;25456;6445
255;28427;3547
256;26427;5383
257;31780;8020
258;32161;7732
259;29264;2620
260;26644;5239
261;24915;6967
262;32503;7399
263;32863;7021
264;30845;1045
265;31187;8704
266;31046;8848
267;24716;7174
268;25125;6778
269;24807;7012
270;27755;4069
271;29835;2071
272;25426;6454
273;32123;7750
274;27527;4357
275;33719;6157
276;27260;4546
277;31633;289
278;32454;7444
279;24799;7084
280;29665;2314
281;32026;7858
282;27541;4348
283;29695;2125
284;28062;3826
285;26812;5086
286;28444;3448
287;29024;2845
288;31102;388
289;27083;4816
290;31780;8119
291;28955;2827
292;31729;8173
293;30816;1072
294;25372;6517
295;23684;235
296;25304;6589
297;31588;8308
298;31327;8569
299;25311;6562
300;30847;9037
301;29812;2080
302;26843;5041
303;31713;145
304;28156;3646
305;29161;2728
306;30918;8983
307;30322;1567
308;30010;1891
309;27680;4231
310;23590;244
311;27195;4681
312;28871;3016
313;26914;4978
314;31561;343
315;25237;6544
316;30935;8956
317;28391;3475
318;27886;3979
319;28326;3538
320;31079;505
321;32587;7336
322;27934;3943
323;25138;6751
324;28105;3772
325;29689;2179
326;27081;4771
327;31453;8434
328;27391;4492
329;26260;5644
330;27035;4852
331;24968;6913
332;28469;3412
333;25351;6508
334;27413;4375
335;28617;3250
336;30072;1819
337;26525;5356
338;27823;4006
339;27195;4600
340;26152;5725
341;32762;7066
342;29286;2521
343;25177;6652
344;31225;8632
345;27679;4177
346;28206;3628
347;29231;2656
348;30650;1198
349;32647;7228
350;28754;3061
351;25016;6715
352;27947;3925
353;31658;226
354;29372;2449
355;28103;3736
356;30015;1837
357;26462;5392
358;31166;730
359;26106;5761
360;31656;8200
361;27544;4321
362;30002;1963
363;28129;3700
364;27164;4699
365;25990;5869
366;26560;5293
367;27382;4456
368;30162;1693
369;26867;4987
370;26826;5032
371;30725;1144
372;25918;5932
373;31818;8029
374;26287;5599
375;31436;8452
376;25602;6265
377;29965;1981
378;28770;3088
379;26975;4888
380;29245;2611
381;33553;6310
382;30491;1369
383;28416;3439
384;31361;8578
385;29832;2035
386;25873;6022
387;28059;3808
388;28682;3268
389;31029;901
390;28120;3727
391;32168;7696
392;33301;6364
393;31151;667
394;31152;8740
395;28095;3790
396;30907;1270
397;27351;4510
398;28067;3817
399;26903;4960
400;31576;298
401;28707;3223
402;27107;4726
403;30458;1423
404;30138;1810
405;30846;1036
406;25647;6220
407;27857;3988
408;31404;8470
409;29856;2017
410;26029;5833
411;25907;5941
412;32905;6940
413;27501;4411
414;27641;4213
415;26917;4951
416;32283;7588
417;27233;4627
418;27778;4096
419;26134;5743
420;30176;1702
421;25757;6103
422;30140;1720
423;31317;8506
424;29995;1855
425;32866;6994
426;31491;433
427;28929;2908
428;31200;8641
429;26239;5635
430;30980;8893
431;26747;5122
432;31767;8101
433;25804;6067
434;27789;4114
435;26467;5473
436;30973;928
437;26325;5518
438;25022;6823
439;30099;1774
440;27615;4240
441;29660;2215
442;26344;5536
443;24979;6877
444;28194;3682
445;30476;1378
446;31727;8146
447;29226;2539
448;26737;5095
449;31320;541
450;28029;3853
451;27274;4591
452;27244;4609
453;26171;5689
454;28323;3520
455;29301;2566
456;24665;7201
457;30564;1288
458;25100;6697
459;31418;406
460;32995;6904
461;31416;8407
462;29085;2755
463;23799;8038
464;30929;910
465;26405;5437
466;31774;8074
467;23996;7849
468;28975;2836
469;30286;1621
470;29940;2053
471;31064;8830
472;31980;7930
473;31571;8317
474;31054;784
475;27307;4249
476;27422;4402
477;31313;8515
478;28761;3079
479;27097;4717
480;32907;6931
481;28915;2917
482;25480;6382
483;29024;2863
484;32188;7705
485;31340;568
486;30429;1405
487;28228;3673
488;26116;5779
489;29688;2152
490;24198;7687
491;28851;3052
492;27426;4483
493;32753;7120
494;31558;8209
495;30906;9046
496;27718;4195
497;31452;8461
498;32201;7678
499;31406;559
500;27208;4618
501;30233;1630
502;27117;4870
503;26313;5590
504;31154;748
505;26043;5860
506;25599;6301
507;33436;6400
508;28329;3511
509;32539;7345
510;27023;4879
511;25391;6499
512;29430;2458
513;32013;7948
514;31185;8776
515;25007;6886
516;31425;451
517;27723;4168
518;31303;8533
519;31133;8713
520;28263;3637
521;26318;5581
522;29557;2386
523;26550;5338
524;31192;8731
525;26686;5230
526;30302;1585
527;25912;6004
528;30937;9001
529;26586;5275
530;32227;7669
531;28688;3196
532;25474;6418
533;25537;6337
534;27094;4807
535;30836;9010
536;26984;5014
537;32431;7417
538;26871;4996
539;26344;5608
540;28656;3277
541;30883;9019
542;30569;1351
543;29927;1972
544;31465;442
545;27049;4789
546;28553;3358
547;27126;4744
548;25755;6193
549;32511;7426
550;30823;9055
551;30802;1117
552;31600;8299
553;31044;8812
554;31516;397
555;31934;7939
556;31029;8857
557;32102;7777
558;27538;4330
559;33198;6679
560;25591;6292
561;24745;7093
562;30728;1153
563;32632;7363
564;25306;6607
565;25761;6148
566;28809;3124
567;29319;2584
568;28850;2701
569;28414;3466
570;31157;8722
571;31725;172
572;29047;2764
573;25817;6094
574;27977;3880
575;30745;1135
576;28680;3214
577;25815;5986
578;25389;6490
579;28356;3529
580;31199;8695
581;32024;7831
582;25231;6661
583;31355;8479
584;26031;5824
585;30864;8929
586;29052;2881
587;31648;253
588;29010;2890
589;28599;3286
590;27387;4528
591;32446;7462
592;28595;3340
593;31080;775
594;25952;5959
595;24749;7183
596;26393;5491
597;30283;1648
598;30188;1756
599;28987;2395
600;26361;5545
601;32815;7075
602;26184;5716
603;29464;2674
604;25898;5950
605;28093;3781
606;31000;892
607;29589;2296
608;26711;5185
609;25041;6787
610;31766;8092
611;31093;8758
612;27572;4393
613;27504;4447
614;26091;5806
615;28935;2980
616;29796;2089
617;28291;3565
618;26645;5221
619;28045;3835
620;25842;6049
621;24741;7165
622;28688;3187
623;29734;2197
624;24520;7282
625;30624;1234
626;25255;6616
627;26913;5005
628;28449;3421
629;31483;8380
630;30664;1189
631;29907;2026
632;26126;5797
633;27138;4780
634;32520;7408
635;27112;4834
636;31845;8110
637;25060;6841
638;29378;2485
639;31705;8218
640;23596;8335
641;27383;4519
642;27761;4132
643;30478;1477
644;28574;3331
645;26112;5770
646;24277;7534
647;23637;217
648;25292;6571
649;28883;3070
650;31873;8065
651;26834;5050
652;24300;7606
653;28459;3430
654;29537;2350
655;26854;5023
656;26857;5131
657;31928;7966
658;30948;982
659;26767;5149
660;25124;6832
661;32577;7318
662;28805;3160
663;28047;3862
664;24907;6949
665;30962;946
666;28784;3133
667;29550;2377
668;32443;7471
669;29192;2737
670;32883;7003
671;24124;7768
672;26745;5140
673;25277;6580
674;25460;6436
675;29431;2422
676;27330;4564
677;27978;3898
678;31525;325
679;31042;874
680;25809;6058
681;27958;3997
682;32940;6958
683;27655;4267
684;25359;6535
685;25315;6598
686;28213;3619
687;25369;6481
688;27977;3907
689;27266;4555
690;32233;7615
691;31087;811
692;26661;5212
693;32330;7516
694;31687;8155
695;26150;5671
