#Mode:;3
#Device:;intelli_new
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6776;2089
1;6478;3457
2;6432;478
3;6328;4591
4;6718;190
5;6616;2224
6;7184;739
7;6546;8371
8;6853;2062
9;6837;1108
10;6966;955
11;6478;6445
12;6748;8083
13;6318;604
14;6625;4303
15;6559;8317
16;6936;2962
17;6810;5014
18;7038;5869
19;6713;4186
20;6782;1153
21;7208;4618
22;6968;5923
23;6425;1495
24;6749;1072
25;6975;7939
26;7058;838
27;6363;514
28;6457;2440
29;6376;7507
30;6819;9064
31;6700;8200
32;6631;8290
33;6588;8326
34;7297;8551
35;6847;4060
36;6462;8434
37;7210;6652
38;7251;2638
39;7213;1684
40;7091;8812
41;6355;3493
42;7134;766
43;6794;5122
44;7174;667
45;6269;7642
46;7049;1801
47;5496;2359
48;5444;2503
49;5660;226
50;6129;3754
51;5872;1972
52;6107;4798
53;5855;2980
54;6066;4825
55;6132;4708
56;5473;5482
57;5754;5194
58;5393;6418
59;6232;7588
60;6238;1585
61;6246;3601
62;5560;6382
63;5307;8497
64;5471;442
65;5618;307
66;6280;7624
67;5520;5329
68;6113;3799
69;6180;1720
70;6021;5806
71;5356;5473
72;6121;7732
73;5727;2170
74;5856;4105
75;6345;5563
76;6345;2557
77;5561;1378
78;5520;3349
79;6236;6616
80;6151;3727
81;6140;7705
82;6288;6625
83;5444;8452
84;5860;7066
85;5453;3412
86;5469;6409
87;5727;2188
88;5723;7093
89;6267;5608
90;5744;145
91;5863;4042
92;5934;4033
93;6001;7921
94;6296;7606
95;6153;2674
96;6127;2773
97;6033;4789
98;6193;1675
99;6006;1810
100;6095;8794
101;6203;7669
102;6016;7786
103;5697;3169
104;6328;2476
105;5382;2386
106;5625;2323
107;5912;5986
108;5620;7273
109;6116;1711
110;5505;1324
111;6027;874
112;6375;550
113;6338;6499
114;6030;5788
115;5555;424
116;5917;982
117;6048;6877
118;5492;3394
119;5493;1459
120;6064;2836
121;5572;2395
122;6321;8569
123;5551;397
124;5805;3106
125;5860;4024
126;5569;4366
127;5818;100
128;6368;6553
129;6169;694
130;5573;6319
131;6189;3781
132;6332;5572
133;5897;5005
134;5521;1396
135;5905;5995
136;5812;8119
137;6043;3790
138;6221;6688
139;6185;2737
