#Mode:;3
#Device:;intelli_og
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;16503;7372
1;17993;5896
2;22305;1612
3;19618;4231
4;15708;181
5;21809;2089
6;19438;4483
7;22418;1513
8;15842;8038
9;14781;1117
10;21745;2152
11;18340;5527
12;23146;784
13;23238;658
14;17228;6580
15;20771;3124
16;19812;4087
17;21994;1846
18;16880;7012
19;15033;865
20;15760;8137
21;15749;8110
22;15722;8191
23;15038;8848
24;17566;6274
25;21455;2404
26;19289;4591
27;21790;2143
28;14865;9091
29;19811;4042
30;18579;5347
31;20245;3646
32;16347;7597
33;17021;6823
34;15484;370
35;19429;4474
36;17553;6418
37;16180;7723
38;19723;4105
39;19799;4141
40;18986;4861
41;23384;541
42;20592;3358
43;18343;5545
44;15737;8146
45;15409;8488
46;15529;8389
47;18876;5068
48;18091;5770
49;18980;4924
50;18713;5194
51;17178;6760
52;21915;1972
53;19194;4726
54;23216;676
55;19546;4276
56;21709;2206
57;16543;7408
58;16000;7939
59;21653;2251
60;18617;5338
61;17232;6688
62;14875;8965
63;20513;3376
64;21168;2773
65;14973;8938
66;15288;532
67;18269;5608
68;22391;1459
69;20248;3718
70;20407;3430
71;15648;8308
72;18858;5059
73;23109;856
74;18386;5518
75;20499;3340
76;16985;6913
77;15922;7975
78;19736;4168
79;21872;2035
80;15519;8344
81;15940;7921
82;15211;8695
83;15535;316
84;19350;4564
85;20381;3439
86;17649;6256
87;15076;8839
88;21060;2800
89;20967;2926
90;20999;2836
91;15897;7993
92;17366;6526
93;14989;964
94;16705;7219
95;20916;2980
96;18798;5149
97;19959;3979
98;16874;7021
99;14782;9073
100;18675;5230
101;21029;2890
102;15210;8632
103;15495;415
104;20235;3655
105;15262;8623
106;17855;6049
107;19068;4834
108;16396;7498
109;20245;3709
110;22542;1306
111;15732;8173
112;18322;5572
113;16203;7660
114;21679;2170
115;22663;1225
116;23347;505
117;14996;8884
118;16785;7030
119;19574;4240
120;15813;8047
121;21713;2188
122;22425;1486
123;20176;3781
124;15889;8020
125;15417;8443
126;15442;8425
127;19842;3961
128;19735;4204
129;20619;3268
130;19813;4060
131;17366;6490
132;21421;2449
133;17048;6877
134;14964;8902
135;17921;6031
136;20395;3502
137;18819;5122
138;14872;9028
139;18813;5077
140;18742;5212
141;21594;2314
142;20989;2962
143;20597;3304
144;17660;6292
145;18328;5581
146;19276;4663
147;23253;604
148;17882;6013
149;19488;4465
150;18434;5491
151;21280;2629
152;21208;2692
153;16073;7777
154;23606;307
155;22008;1855
156;20592;3259
157;16145;7714
158;22162;1702
159;22320;1540
160;15575;8317
161;19177;4636
162;15376;8533
163;18749;5095
164;23561;361
165;17453;6463
166;20494;3403
167;22548;1351
168;21937;1873
169;19460;4447
170;17104;6850
171;18621;5239
172;21203;2737
173;18218;5689
174;23159;757
175;20007;3934
176;15091;802
177;16375;7525
178;19845;4078
179;15096;8803
180;21839;2107
181;20555;3286
182;22780;1198
183;23258;613
184;19155;4672
185;22756;1081
186;18800;5104
187;21349;2566
188;17826;6058
189;20678;3214
190;17378;6481
191;15493;8452
192;21197;2701
193;15735;127
194;20327;3565
195;18305;5644
196;16004;7849
197;17929;5923
198;21538;2269
199;18429;5455
200;23342;568
201;22306;1567
202;21953;1936
203;18166;5734
204;19075;4681
205;19082;4798
206;22635;1360
207;20432;3412
208;18952;4915
209;21595;2341
210;16040;7813
211;15707;8182
212;20346;3511
213;20614;3241
214;20305;3538
215;22989;919
216;15078;8776
217;15466;8470
218;20535;3421
219;14816;1090
220;17599;6301
221;19504;4348
222;15642;8254
223;21409;2548
224;17354;6607
225;15983;7903
226;19288;4582
227;20103;3790
228;22096;1837
229;19277;4600
230;19032;4879
231;23244;649
232;20742;3160
233;15856;8065
234;14776;9082
235;19284;4546
236;22364;1585
237;17065;6787
238;22913;973
239;22426;1522
240;21318;2584
241;19508;4384
242;22613;1243
243;16554;7354
244;23705;199
245;15014;8821
246;16254;7651
247;20774;3088
248;16431;7480
249;19233;4717
250;18422;5500
251;21225;2683
252;17647;6229
253;19169;4789
254;21306;2593
255;16987;6904
256;20075;3826
257;14952;946
258;17655;6238
259;19471;4438
260;19474;4519
261;17967;5932
262;15723;145
263;17171;6724
264;23581;334
265;21476;2395
266;17646;6247
267;14590;1315
268;15947;7858
269;22338;1549
270;15781;8029
271;20551;3385
272;14327;1504
273;14793;9055
274;17784;6175
275;18089;5806
276;14975;8911
277;19176;4735
278;18320;5563
279;20997;2944
280;17272;6625
281;19505;4393
282;21374;2458
283;21601;2323
284;18072;5869
285;21761;2053
286;16217;7705
287;16876;6931
288;15375;496
289;22404;1450
290;18071;5842
291;16673;7255
292;21382;2512
293;15669;8164
294;18476;5374
295;15166;8713
296;21220;2719
297;16224;7687
298;21040;2854
299;16603;7300
300;15623;8218
301;21011;2881
302;19765;4195
303;18061;5743
304;21019;2845
305;15871;118
306;19770;4123
307;18101;5824
308;23424;487
309;20434;3457
310;16658;7192
311;16710;7102
312;23639;298
313;14843;9010
314;21950;1909
315;14738;1108
316;18224;5653
317;23428;469
318;17168;6661
319;23163;685
320;16051;7912
321;19870;4015
322;22870;1027
323;23731;217
324;18949;5032
325;18444;5464
326;17822;6085
327;19984;3916
328;17533;6373
329;18481;5428
330;19191;4690
331;19400;4411
332;16695;7165
333;22725;1234
334;22860;1054
335;22977;928
336;20217;3691
337;16475;7399
338;19069;4825
339;18201;5680
340;18411;5401
341;17681;6220
342;15190;8686
343;15636;8227
344;22263;1675
345;17107;6796
346;23042;955
347;17367;6544
348;15781;136
349;19539;4321
350;16462;7453
351;20417;3475
352;17004;6949
353;16461;7444
354;18100;5752
355;18885;4969
356;21806;2071
357;18573;5293
358;20011;3808
359;18395;5473
360;19916;3970
361;19579;4330
362;15700;8155
363;16348;7552
364;17504;6346
365;18262;5617
366;22733;1171
367;20173;3763
368;16894;7066
369;18912;5005
370;15111;793
371;20318;3628
372;23209;712
373;15352;8542
374;21466;2440
375;16348;7507
376;21901;1963
377;20013;3943
