#Mode:;3
#Device:;k120
#Button:;18
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;16694;7165
1;19812;4006
2;20510;3358
3;22249;1603
4;18474;5410
5;20008;3745
6;15452;8443
7;17454;6526
8;16106;7768
9;22783;1099
10;20853;3034
11;15737;154
12;24906;6958
13;17227;6661
14;20102;3772
15;14990;8893
16;21834;2062
17;17513;6391
18;18877;5005
19;25630;6220
20;19785;4105
21;18842;5032
22;16336;7543
23;19584;4285
24;16987;6895
25;18240;5644
26;16479;7426
27;21092;2881
28;21795;2089
29;22524;1378
30;15041;856
31;20624;3349
32;19141;4789
33;21560;2296
34;16812;7048
35;22943;919
36;18653;5221
37;23478;406
38;16549;7345
39;19984;3889
40;19031;4870
41;15817;8155
42;17112;6742
43;24702;7201
44;15312;8578
45;19372;4591
46;22224;1630
47;20647;3241
48;18075;5797
49;20317;3574
50;19703;4177
51;21095;2791
52;26325;5563
53;22797;1081
54;17912;5959
55;17297;6553
56;23407;487
57;21906;1990
58;19445;4429
59;20937;2944
60;20121;3763
61;19988;3907
62;21642;2242
63;19981;3979
64;15058;8794
65;24823;7084
66;17866;6022
67;16066;7822
68;18976;4933
69;22721;1144
70;23360;523
71;20577;3295
72;17458;6427
73;21285;2665
74;14860;1018
75;18175;5680
76;22559;1324
77;19271;4609
78;17071;6805
79;22633;1162
80;19384;4501
81;17204;6688
82;19133;4744
83;20700;3169
84;16575;7327
85;21929;2026
86;19636;4240
87;15710;8182
88;20902;2998
89;18302;5572
90;23795;100
91;22873;1036
92;21912;1945
93;15230;649
94;23442;451
95;19399;4483
96;20226;3673
97;23784;127
98;23191;694
99;23060;8830
100;20834;3043
101;22169;1711
102;16313;7579
103;21510;2377
104;23989;7903
105;15401;8497
106;16636;7336
107;23617;8254
108;18592;5248
109;16589;7228
110;15560;8326
111;17620;6256
112;19254;4636
113;23327;8551
114;19827;4042
115;20137;3736
116;22296;1585
117;15987;7993
118;24039;7858
119;20357;3511
120;23372;8515
121;20234;3637
122;20452;3430
123;22226;1567
124;18857;5041
125;22689;1216
126;16447;7453
127;23629;271
128;22142;1738
129;17738;6121
130;24027;7867
131;21270;2602
132;23221;667
133;21206;2701
134;20441;3439
135;16507;7390
136;18879;5014
137;19701;4159
138;25115;6859
139;17298;6643
140;18382;5446
141;18179;5671
142;17714;6175
143;17729;6184
144;23914;7984
145;21765;2125
146;22066;1819
147;15392;8488
148;21827;2071
149;20460;3403
150;18255;5662
151;22807;9082
152;23138;775
153;23779;8119
154;16095;7795
155;22203;1693
156;19451;4447
157;20275;3583
158;21582;2386
159;21306;2566
160;17937;5923
161;21200;2683
162;20253;3628
163;18610;5230
164;21474;2413
165;22047;1837
166;14535;1351
167;23295;631
168;17867;6040
169;23099;793
170;17448;6436
171;20044;3916
172;23008;847
173;23353;532
174;16789;7129
175;20403;3502
176;19553;4312
177;21748;2134
178;21839;2044
179;19469;4393
180;22817;9073
181;21634;2233
182;21567;2332
183;19541;4348
184;21691;2206
185;21630;2260
186;21426;2431
187;15640;280
188;15539;361
189;23785;199
190;21731;2161
191;20364;3529
192;22914;991
193;15311;8587
194;18180;5698
195;20044;3826
196;21019;2890
197;17801;6085
198;17601;6292
199;19416;4465
200;21759;2107
201;23520;370
202;16105;7777
203;19121;4726
204;15491;8335
205;22923;928
206;15592;8290
207;19653;4186
208;22411;1477
209;18338;5527
210;22671;1234
211;23552;343
212;18734;5149
213;17861;6013
214;22027;1855
215;16059;7831
216;22902;8992
217;15269;8614
218;17991;5869
219;19879;4033
220;18144;5806
221;22656;1225
222;16385;7516
223;17138;6751
224;21873;2017
225;22543;1333
226;15963;7939
227;24906;6994
228;23564;334
229;21402;2476
230;17306;6580
231;23895;8029
232;14959;8938
233;19014;4879
234;19222;4690
235;19692;4204
236;21613;2269
237;22468;1513
238;21503;2350
239;19031;4852
240;20161;3727
241;16247;7615
242;19622;4231
243;17554;6337
244;20778;3106
245;15752;8164
246;23496;8407
247;21686;2197
248;15925;7975
249;23264;613
250;20762;3133
251;21028;2845
252;22326;1549
253;15457;8425
254;20212;3664
255;18395;5473
256;21273;2620
257;26618;5257
258;19729;4168
259;16035;7849
260;23705;190
261;22596;1270
262;26514;5302
263;18750;5122
264;21378;2494
265;19360;4519
266;22599;1261
267;20028;3853
268;18887;4996
269;23705;8245
270;21873;1954
271;15224;8623
272;20770;3079
273;16944;6904
274;21108;2773
275;19726;4141
276;17902;5968
277;14927;8956
278;18399;5509
279;16185;7714
280;25269;6607
281;21388;2485
282;19238;4627
283;23343;8542
284;16254;7633
285;15680;8191
286;18522;5392
287;18321;5545
288;19534;4357
289;21110;2764
290;15930;7966
291;18792;5086
292;22765;1117
293;22250;1648
294;15744;145
295;23186;8695
296;20671;3232
297;18429;5437
298;18482;5401
299;15674;8128
300;18677;5212
301;15771;8074
302;22922;982
303;14984;8848
304;22792;9046
305;19791;3961
306;15125;8767
307;22395;1459
308;15752;8146
309;19607;4276
310;15545;8344
311;20735;3151
312;15465;8434
313;25120;6769
314;23637;235
315;16041;7840
316;23724;172
317;15798;109
318;19815;4060
319;22578;1297
320;21781;2098
321;19084;4780
322;24942;6931
323;21213;2656
324;19509;4375
325;20142;3718
326;18069;5815
327;25059;6841
328;22447;1414
329;20832;3052
330;19382;4528
331;23605;262
332;22895;955
333;18777;5077
334;21563;2305
335;17669;6310
336;17991;5824
337;21154;2719
338;17206;6679
339;20351;3547
340;23723;163
341;22448;1441
342;21327;2557
343;23434;478
344;18679;5203
345;16682;7210
346;23250;8650
347;17172;6706
348;20241;3655
349;17503;6409
350;18384;5500
351;15575;8272
352;20610;3304
353;21608;2287
354;22908;964
355;14852;1027
356;20933;2953
357;21615;2278
358;20907;2980
359;20591;3277
360;17013;6868
361;19108;4762
362;23537;388
363;15216;8677
364;23442;8416
365;19013;4888
366;23081;820
367;21092;2809
368;21984;2008
369;20386;3484
370;21173;2584
371;19270;4663
372;19211;4645
373;20185;3700
374;20616;3205
375;21318;2539
376;15121;8740
377;17714;6112
378;19801;4087
379;16670;7219
380;23681;217
381;16510;7381
382;23847;8038
383;19248;4618
384;20077;3817
385;14936;8911
386;20628;3259
387;20007;3880
388;21634;2251
389;25901;6004
390;22726;1180
391;20744;3124
392;23612;298
393;17498;6400
394;17513;6463
395;23002;865
396;20457;3421
397;21001;2872
398;19769;4132
399;15915;7957
400;16475;7462
401;22682;1171
402;19065;4807
403;18895;4978
404;20365;3520
405;23137;748
406;19497;4384
407;19935;3952
408;18961;4906
409;15893;8011
410;23392;496
411;18697;5176
412;21205;2674
413;21881;1999
414;23575;325
415;21775;2116
416;15587;8299
417;17649;6229
418;20500;3385
419;17467;6418
420;19334;4546
421;17280;6598
422;20511;3367
423;18417;5455
424;18072;5788
425;17370;6517
426;24739;7147
427;19034;4861
428;22248;1657
429;21971;1900
430;21535;2341
431;20137;3754
432;15187;8686
433;18648;5239
434;20404;3412
435;19891;3970
436;20758;3115
437;24593;7309
438;19116;4735
439;15208;8668
440;19981;3997
441;24096;7723
442;17220;6625
443;23124;766
444;16340;7561
445;22227;1666
446;15647;244
447;21237;2647
448;18460;5419
449;22598;1306
450;16658;7246
451;19048;4843
452;21965;1909
453;22837;1054
454;18684;5140
455;23105;8776
456;19606;4249
457;22874;9019
458;22216;1684
459;18376;5518
460;15971;7912
461;25035;6850
462;16395;7507
463;16717;7138
464;25560;6328
465;21568;2314
466;19666;4195
467;17648;6247
468;21152;2746
469;19756;4123
470;22589;1288
471;19332;4555
472;23150;757
473;17123;6760
474;24934;6976
475;16417;7471
476;16220;7669
477;24349;7525
478;22622;1243
479;19211;4699
480;15004;8884
481;19057;4816
482;21853;2035
483;21252;2638
484;15690;8209
485;21508;2359
486;22140;1621
487;15475;8398
488;19972;3925
489;24362;7534
490;20571;3313
491;18116;5779
492;20753;3142
493;19303;4600
494;22226;1612
495;22723;1090
496;15890;7948
497;22945;8947
498;17193;6778
499;18838;5050
500;23024;802
501;15956;7930
502;18939;4987
503;17555;6319
504;18566;5311
505;24875;7021
506;22831;1045
507;17638;6238
508;23572;307
509;23523;8371
510;21050;2782
511;23296;595
512;20943;2926
513;20347;3538
514;22102;1774
515;20894;2989
516;20083;3799
517;19584;4303
518;24515;7363
519;23683;208
520;23422;469
521;21394;2512
522;16325;7552
523;17391;6499
524;19607;4258
525;23227;685
526;19452;4438
527;19755;4114
528;21282;2593
529;20069;3835
530;22900;8965
531;20258;3565
532;17312;6571
533;21428;2458
534;19869;4015
535;21488;2395
536;17425;6445
537;24612;7282
538;19470;4411
539;23496;424
540;16756;7156
541;24154;7750
542;15450;8452
543;21069;2827
544;22420;1468
545;19871;4024
546;17110;6787
547;21162;2737
548;17183;6715
549;22490;1387
550;18715;5167
551;18007;5878
552;20657;3223
553;16285;7597
554;17801;6076
555;17055;6832
556;22725;1153
557;15177;8731
558;16767;7093
559;22401;1495
560;16450;7435
561;22723;9091
562;22997;910
563;15847;8020
564;19350;4492
565;22000;1873
566;15001;8875
567;20677;3187
568;22294;1576
569;23073;8803
570;18730;5158
571;23755;136
572;22168;1729
573;15639;8227
574;22574;1315
575;20859;3016
576;26508;5374
577;19331;4564
578;16692;7183
579;23351;568
580;17928;5896
581;20905;2971
582;19797;4078
583;19171;4708
584;18154;5725
585;17671;6211
586;22685;1198
587;19954;3943
588;16239;7651
589;19632;4222
590;23193;703
591;15626;8263
592;18503;5383
593;20187;3709
594;24756;7120
595;21911;1981
596;17791;6031
597;23424;433
598;14979;901
599;20590;3286
600;18921;4960
601;20405;3457
602;18148;5734
603;22051;1828
604;23510;8362
605;21989;1891
606;22473;1396
607;18290;5590
608;18272;5617
609;24222;7678
610;22490;1405
611;19985;3898
612;14824;9055
613;24511;7372
614;22105;1783
615;20121;3781
616;20809;3061
617;16624;7264
618;20655;3214
619;20333;3556
620;20499;3376
621;16595;7273
622;21004;2899
623;15189;8704
624;23006;883
625;18100;5851
626;15909;8002
627;23752;8218
628;17330;6652
629;15306;8569
630;20281;3601
631;22313;1558
632;16276;7642
633;23385;505
634;20565;3322
635;23218;676
636;17502;6364
637;17341;6454
638;23948;7921
639;18588;5338
640;19885;3988
641;16400;7480
642;23286;8632
643;22845;1009
644;22521;1360
645;17223;6670
646;23103;8785
647;14886;9001
648;20383;3493
649;22033;1864
650;19057;4834
651;18630;5284
652;23798;8110
653;21367;2530
654;20960;2917
655;21484;2404
656;15115;8758
657;24789;7102
658;16800;7030
659;22357;1531
660;17583;6373
661;19554;4267
662;22337;1540
663;22111;1756
664;19147;4753
665;15354;8533
666;17937;5932
667;21303;2629
668;15058;8839
669;21716;2170
670;22052;1765
671;19116;4771
672;18688;5185
673;18808;5068
674;18711;5131
675;23261;658
676;21348;2521
677;18526;5329
678;20812;3088
679;21013;2863
680;21304;2575
681;17587;6301
682;16915;6985
683;23401;514
684;21753;2152
685;18258;5626
686;18378;5536
687;22607;1252
688;23304;577
689;15435;460
690;15471;8389
691;22055;1810
692;19658;4213
693;21445;2449
694;19030;4942
695;22095;1747
696;16568;7318
697;17993;5887
698;22165;1720
699;18943;4951
700;15040;8821
701;19207;4654
702;16821;7057
703;18639;5266
704;21966;1936
705;18809;5059
706;18122;5761
707;17739;6157
708;22526;1342
709;20364;3448
710;19171;4681
711;21810;2053
712;20569;3340
713;23581;316
714;16852;6949
715;21172;2692
716;16185;7660
717;25431;6535
718;19584;4330
719;20417;3466
720;17687;6202
721;19561;4321
722;17896;5977
723;22042;1846
724;26247;5653
725;23303;550
726;23278;604
727;22546;1189
728;18153;5707
729;20258;3619
730;14899;8974
731;18867;4915
732;19467;4420
733;22764;1108
734;19823;4069
735;16991;6877
736;18594;5275
737;23239;8659
738;16966;6913
739;21926;1963
740;15548;8353
741;23657;253
742;15421;8461
743;24928;6967
744;21168;2710
745;19321;4573
746;19402;4474
747;21535;2368
748;23134;829
749;23239;8641
750;17390;6481
751;16078;7813
752;23038;838
753;19159;4717
754;15724;8173
755;17188;6697
756;22082;1801
757;17081;6796
758;20279;3610
759;26631;5347
760;16493;7354
761;16328;7588
762;21678;2224
763;21048;2836
764;21279;2611
765;16816;7075
766;18289;5599
767;22805;1072
768;15398;8479
769;24486;7408
770;19077;4798
771;15161;8722
772;19996;3871
773;21894;1972
774;15503;8380
775;15754;8137
776;21951;1918
777;18434;5464
778;16133;7741
779;23025;8857
780;17593;6283
781;21799;2080
782;24187;7696
783;16195;7705
784;16842;7066
785;24278;7624
786;21422;2467
787;16095;7804
788;18683;5194
789;22279;1594
790;15372;8524
791;19563;4402
792;22422;1450
793;21327;2548
794;24447;7444
795;18855;5023
796;15617;8281
797;17671;6193
798;24441;7489
799;19320;4582
800;14855;9037
801;23809;8092
802;16493;7399
803;23132;739
804;21756;2143
805;17495;6382
806;14963;8902
807;18094;5770
808;20547;3331
809;21054;2818
810;16182;7687
811;21156;2728
812;20799;3070
813;17870;5986
814;25608;6265
815;14914;8983
816;20709;3178
817;18507;5365
818;23335;586
819;23108;811
820;16318;7570
821;25002;6886
822;20401;3475
823;15200;8560
824;24873;6922
825;16225;7606
826;22244;1639
827;23594;8317
828;21457;2440
829;18073;5743
830;18570;5320
831;21362;2503
832;23178;8713
833;23256;622
834;23520;442
835;19937;3934
836;15822;8056
837;22969;946
838;20207;3682
839;24744;7111
840;17935;5914
841;16948;6940
842;19847;4051
843;20691;3196
844;16397;7498
845;22957;937
846;20201;3691
847;23089;784
848;19386;4510
849;15269;8596
850;18543;5356
851;17122;6733
852;18396;5491
853;22748;1135
854;15083;8812
855;23062;8929
856;17722;6148
857;15968;7885
858;21662;2215
859;23519;379
860;15383;8506
861;23840;8047
862;22693;1207
863;19626;4294
864;20831;3025
865;22455;1423
866;15607;289
867;22873;9010
868;22386;1486
869;20075;3808
870;23840;8083
871;22204;1675
872;22928;973
873;17308;6589
874;25074;6823
875;18284;5581
876;19569;4339
877;19060;4825
878;25853;6058
879;19787;4096
880;18992;4897
881;17747;6130
882;21027;2854
883;24871;7003
884;16692;7192
885;21530;2422
886;22683;1126
887;14457;1522
888;15974;7876
889;17740;6139
890;17800;6067
891;20709;3160
892;16641;7237
893;23434;8470
894;22830;9064
895;22839;9028
896;23138;8749
897;25268;6616
898;23183;712
899;23477;415
900;17722;6166
901;18801;5095
902;23671;226
903;17862;5995
904;20784;3097
905;24258;7732
906;23333;559
907;17977;5905
908;20059;3790
909;23542;352
910;20929;2935
911;22462;1369
912;23184;730
913;15679;8200
914;18881;4969
915;17336;6562
916;22389;1504
917;21980;1882
918;17537;6346
919;22419;1432
920;15224;8605
921;18967;4924
922;22829;1063
923;15719;181
924;22988;892
925;15157;721
926;17779;6103
927;25326;6544
928;16622;7255
929;18324;5554
930;18764;5113
931;25395;6490
932;22114;1792
933;21676;2188
934;16744;7174
935;20886;3007
936;16834;7039
937;20926;2962
938;20604;3268
939;18195;5689
940;18427;5482
941;15030;8866
942;26146;5716
943;16591;7300
944;18585;5293
945;18269;5608
946;26021;5860
947;22169;1702
948;21955;1927
949;20239;3646
950;24146;7786
951;17717;6049
952;23449;397
953;20288;3592
954;25946;5941
955;17427;6472
956;19509;4366
957;16118;7759
958;17523;6355
959;23589;8308
960;20615;3250
961;15654;8236
962;17769;6094
963;19751;4150
964;15827;8065
965;24482;7417
966;23749;118
967;17620;6274
968;19431;4456
969;20029;3844
970;18112;5752
971;17137;6724
972;19317;4537
973;17060;6814
974;19208;4672
975;18050;5833
976;17933;5950
977;23276;640
978;24606;7291
979;20499;3394
980;22603;1279
981;20033;3862
982;23024;874
983;20989;2908
984;17274;6508
985;23352;541
986;21553;2323
987;15973;7894
988;18746;5104
989;22845;1000
990;21042;2800
991;16892;7012
992;18482;5428
993;18244;5635
994;22954;8920
995;21671;2179
996;21122;2755
997;18042;5842
998;25240;6634
999;15802;8101
