#Mode:;3
#Device:;logilink0043
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;26758;5176
1;29910;1945
2;31611;244
3;24441;7399
4;26056;5806
5;26998;4879
6;29730;2161
7;31158;8713
8;30587;1261
9;25513;6346
10;26696;5266
11;31256;640
12;25370;6499
13;23143;730
14;25046;6823
15;27832;4033
16;29023;2836
17;24677;7219
18;28106;3745
19;23682;199
20;28761;3088
21;31972;7912
22;32255;7624
23;24815;7012
24;30495;1432
25;26847;5005
26;30900;982
27;25388;6526
28;30820;9073
29;23542;8416
30;30818;9064
31;29640;2260
32;30180;1675
33;31895;7984
34;26521;5356
35;31552;334
36;27262;4609
37;28509;3367
38;30728;1162
39;32383;7498
40;33756;6139
41;26782;5095
42;32250;7633
43;29902;1963
44;27407;4456
45;27218;4663
46;33284;6598
47;29428;2422
48;31208;658
49;33262;6616
50;31017;8866
51;29825;1972
52;29408;2539
53;28041;3844
54;28756;3115
55;26128;5752
56;24348;7534
57;24420;7471
58;31478;424
59;24686;7192
60;25032;6877
61;32158;7741
62;31022;874
63;29193;2737
64;28506;3358
65;29593;2287
66;26706;5158
67;24011;7867
68;31095;8776
69;30146;1621
70;25512;6337
71;30223;1711
72;30830;1045
73;31234;649
74;28521;3349
75;28829;3034
76;29000;2854
77;30482;1387
78;26788;5050
79;31176;8677
80;28248;3628
81;31274;613
82;25662;6220
83;30832;9055
84;29290;2584
85;26301;5572
86;30593;1270
87;23780;109
88;30828;9046
89;30964;928
90;28429;3439
91;26075;5824
92;25549;6319
93;27282;4582
94;25929;5959
95;27312;4555
96;27338;4537
97;30884;8992
98;30318;1549
99;30818;1072
100;29384;2413
101;25720;6166
102;25626;6265
103;28062;3817
104;27903;3961
105;26795;4942
106;25434;6445
107;30466;1396
108;30123;1747
109;28477;3403
110;28019;3853
111;29155;2746
112;31539;433
113;31030;8848
114;27761;4123
115;32144;7750
116;27355;4519
117;27182;4681
118;27524;4447
119;27115;4708
120;26107;5788
121;29507;2368
122;31407;442
123;25378;6472
124;29961;1918
125;25193;6679
126;24546;7345
127;30928;955
128;29043;2845
129;28871;2989
130;29960;1909
131;33525;6328
132;24757;7120
133;27087;4798
134;27080;4771
135;32454;7444
136;25510;6373
137;30259;1630
138;33902;5986
139;28009;3871
140;27296;4591
141;24775;7138
142;32420;7516
143;28709;3169
144;26821;5041
145;29324;2548
146;25836;6040
147;29978;1900
148;26094;5689
149;25484;6382
150;30310;1567
151;27407;4492
152;26347;5527
153;24545;7354
154;30966;9001
155;33730;6148
156;27013;4852
157;24879;6985
158;30085;1810
159;29908;1954
160;25676;6112
161;26548;5329
162;25845;6022
163;31156;739
164;25493;6391
165;29767;2125
166;31169;694
167;34606;5275
168;29265;2611
169;30035;1837
170;30917;964
171;28157;3709
172;31190;8767
173;25599;6274
174;26033;5842
175;26902;4969
176;34522;5374
177;31375;514
178;30764;1108
179;24884;7057
180;29358;2512
181;25881;6004
182;28155;3718
183;24124;7768
184;25842;6067
185;26386;5509
186;27052;4816
187;30065;1828
188;31070;838
189;28518;3448
190;31518;8380
191;30386;1513
192;27403;4474
193;27808;4078
194;30858;1036
195;30204;1657
196;26802;5059
197;31217;8659
198;30841;9037
199;31474;415
200;26571;5293
201;27987;3907
202;28624;3250
203;23688;208
204;24633;7264
205;27256;4600
206;27836;4051
207;28335;3538
208;24953;6922
209;31192;712
210;28419;3457
211;31028;856
212;28732;3151
213;26697;5248
214;30983;8902
215;30146;1738
216;27161;4735
217;31586;307
218;31110;8785
219;25943;5941
220;28046;3835
221;28972;2899
222;32228;7660
223;31568;8299
224;25989;5887
225;28284;3601
226;23995;7894
227;31509;469
