#Mode:;3
#Device:;nixdorf
#Button:;35
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;15520;8335
1;8183;7732
2;14773;1126
3;16661;7291
4;19103;4798
5;4942;3007
6;10847;4996
7;15090;856
8;8811;7138
9;15394;514
10;6440;1495
11;6447;1441
12;12146;3763
13;12546;3331
14;13371;2539
15;16737;7084
16;16115;7705
17;15702;8146
18;5147;2683
19;7777;8191
20;14366;1549
21;10990;4906
22;10491;5356
23;14744;9073
24;7199;757
25;10530;5383
26;9756;6058
27;14171;1720
28;13526;2386
29;12327;3556
30;6896;1009
31;11385;4510
32;9410;6436
33;12836;3025
34;10431;5473
35;12954;2998
36;10603;5374
37;7904;8029
38;11545;4321
39;11934;4006
40;9280;6553
41;11910;3970
42;19295;4582
43;6932;946
44;5785;2044
45;8905;7021
46;10609;5347
47;18344;5545
48;14262;1657
49;7620;280
50;13480;2458
51;9571;6346
52;12312;3610
53;12574;3340
54;5194;2719
55;6010;1918
56;13101;2791
57;15692;8218
58;11835;4087
59;14581;1360
60;15937;7939
61;18108;5788
62;7761;8101
63;10074;5761
64;9486;6481
65;13909;1927
66;10462;5437
67;11818;4078
68;7279;694
69;10186;5662
70;8956;6913
71;9770;6166
72;10972;4978
73;17052;6823
74;14967;910
75;4623;3232
76;11132;4753
77;11822;4069
78;14493;1423
79;14222;1693
80;7229;613
81;11983;3808
82;12205;3655
83;15389;550
84;10052;5806
85;13810;2107
86;6678;1252
87;7691;253
88;15033;784
89;14526;1432
90;4764;3061
91;8658;7237
92;8986;6931
93;7569;289
94;13702;2197
95;7049;838
96;11692;4213
97;6841;1099
98;8187;7750
99;15149;829
100;17216;6661
101;16036;7804
102;16430;7516
103;8772;7093
104;6751;9091
105;13018;2881
106;12939;2971
107;13520;2368
108;17098;6760
109;15657;271
110;7091;802
111;8334;7624
112;9993;5923
113;12646;3268
114;13223;2602
115;16914;7057
116;5274;2665
117;9601;6328
118;12995;2890
119;11887;4015
120;11110;4789
121;15404;8497
122;10576;5320
123;3672;4186
124;12180;3718
125;6987;8875
126;7476;8407
