#Mode:;3
#Device:;nvidiashield
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;4460;5455
1;2576;6958
2;1970;7849
3;4110;5851
4;1892;2953
5;6185;3736
6;5169;4717
7;2287;2602
8;2691;7246
9;4621;5338
10;3824;1072
11;4224;640
12;3619;1252
13;6070;3808
14;3574;1279
15;3453;6418
16;1538;8326
17;1584;3196
18;4464;397
19;5398;4492
20;2574;2260
21;2821;2062
22;3174;6715
23;2827;7048
24;4396;424
25;2824;2044
26;1869;2989
27;3332;6517
28;5173;4672
29;6080;8785
30;5921;8929
31;5005;4870
32;6137;8803
33;3928;937
34;4293;595
35;1801;3160
36;2634;2188
37;2864;2017
38;4237;5662
39;3067;6724
40;6315;3556
41;6139;8713
42;1903;2854
43;6316;3367
44;3965;865
45;2595;2251
46;5796;9082
47;3596;1270
48;3578;6265
49;6376;8497
50;5765;4204
51;3553;6328
52;1795;3007
53;4514;379
54;2202;2683
55;3412;6454
56;1499;8398
57;6397;8569
58;3688;1171
59;5899;3979
60;5924;8974
61;4468;5482
62;2357;7507
63;4818;5068
64;1606;3277
65;4989;4879
66;4127;748
67;4127;5734
68;2887;7012
69;6118;8794
70;4838;5023
71;3550;6067
72;5813;9064
73;2382;7534
74;1748;3133
75;2292;2638
76;2137;2755
77;2669;2215
78;4619;253
79;3833;1045
80;2414;2521
81;2892;1999
82;3223;1693
83;1818;8056
84;1332;3574
85;3807;973
86;3938;955
87;3522;6040
88;3836;5995
89;4556;5365
90;3919;919
91;3343;1549
92;2211;2719
93;6013;8902
94;4537;5356
95;3002;6859
96;2745;7210
97;1847;3088
98;3576;6274
99;5420;4438
100;4380;5563
101;2253;7669
102;5439;4411
103;3734;6193
104;3244;6580
105;1342;3538
106;3151;1774
107;2495;2395
108;1963;7921
109;1775;3124
110;3089;6814
111;6116;3781
112;2291;2629
113;4710;199
114;3689;6247
115;3304;6589
116;1833;8101
117;3822;6031
118;1445;3529
119;6211;8704
120;3644;1333
121;4740;5176
122;4432;514
123;3062;1846
124;4585;226
125;5901;9019
126;3492;1396
127;1710;8191
128;5249;4690
129;1721;3169
130;4491;5401
131;5855;9055
132;1478;8389
133;5243;4654
134;6248;8605
135;4008;883
136;4073;5914
137;2499;7363
138;2698;7183
139;4327;5518
140;1318;3583
141;4330;613
142;1675;8281
143;4668;325
144;3064;6904
145;4936;4915
146;5829;8983
147;5011;4933
148;2317;2593
149;5557;4357
150;4969;4897
151;2016;2881
152;2986;1900
153;3143;1756
154;4779;5095
155;1744;3214
156;3869;991
157;2736;2224
158;4572;334
159;4155;820
160;4130;730
161;3056;6742
162;2044;7903
163;3938;6013
164;3623;1234
165;5565;4321
166;3847;1063
167;4705;262
168;3728;1180
169;2788;2026
170;4425;478
171;2120;2737
172;5681;4240
173;2500;2413
174;3838;6076
175;5283;4618
176;4791;190
177;2965;6895
178;2255;2710
179;5946;8920
180;4588;5320
181;4349;559
182;3755;6139
183;3768;1117
184;3830;1027
185;3078;6877
186;5049;4852
187;4021;5932
188;2110;2746
189;4149;5725
190;4561;5374
191;3476;1486
192;2866;1945
193;1544;3304
194;2600;2296
195;5783;9028
196;2057;7768
197;4313;667
198;5827;4150
199;3723;1108
200;4118;5716
201;6163;2764
202;3029;6886
203;3495;1387
204;2531;2350
205;6314;3637
206;1908;7957
207;2068;7822
208;3017;1855
209;2398;2476
210;6186;3673
211;3859;6058
212;5197;4609
213;2311;2557
214;6440;3439
215;3277;1576
216;1561;8353
217;1777;8092
218;4072;811
219;6293;8623
220;5204;4699
221;3432;1423
222;5334;4564
223;5792;3826
