#Mode:;3
#Device:;nvidiashield_wireless
#Button:;310
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;5034;6094
1;16821;5797
2;15584;6859
3;9892;1270
4;15346;7093
5;6532;4663
6;15572;5734
7;8212;3052
8;6483;4699
9;14013;8443
10;10017;1189
11;7515;2512
12;9891;1306
13;9488;1756
14;5709;5581
15;17531;5086
16;16886;4366
17;7879;3304
18;8439;2755
19;15887;6643
20;9594;1729
21;12896;8335
22;8632;2584
23;14761;7696
24;14702;7732
25;6984;4258
26;8021;1963
27;7319;3880
28;8492;2674
29;8818;2575
30;17598;4942
31;7706;2278
32;9600;1639
33;10288;1000
34;5308;6013
35;10408;784
36;13466;7759
37;13446;9082
38;16525;6004
39;7058;4249
40;10457;856
41;15093;7336
42;9301;1972
43;7860;3484
44;9496;1828
45;16119;6364
46;9339;1909
47;17215;5275
48;16276;6265
49;15843;6670
50;8116;3205
51;8657;2566
52;5004;6247
53;15186;7345
54;9506;1765
55;15829;6661
56;8590;2737
57;10481;694
58;7309;4051
59;14680;7948
60;13500;9055
61;13715;8893
62;10504;775
63;14917;7561
64;10578;730
65;15490;7192
66;8278;3034
67;10248;982
68;9820;1432
69;5770;5527
70;9995;1288
71;6669;4582
72;15673;6940
73;14618;7867
74;9541;1720
75;16678;5860
76;7824;3430
77;9919;1324
78;16724;5833
79;8598;2746
80;15652;5662
81;6621;4681
82;8244;2926
83;16391;6175
84;10822;478
85;16903;4474
86;8203;3007
87;8415;2863
88;8676;2629
89;4781;6418
90;9473;541
91;10078;1261
92;9699;1549
93;5580;5671
94;7967;3268
95;9641;460
96;15553;7012
97;11178;136
98;8929;2377
99;10997;352
100;14472;6760
101;7728;3565
102;7944;3385
103;17434;5059
104;10169;1126
105;13943;7390
106;13716;8785
107;5346;5932
108;17008;5473
109;16298;6193
110;7817;2143
111;8061;3340
112;14945;7633
113;14587;8029
114;18695;3835
115;9925;1351
116;8489;2764
117;17349;5113
118;16609;5941
119;6324;5023
120;15735;6769
121;7834;3502
122;7999;3277
123;14588;7984
124;8907;2431
125;9267;2017
126;14823;7642
127;14789;7669
128;15844;6652
129;9575;1684
130;7833;3448
131;8399;2890
132;7835;3403
133;6721;4537
134;17060;5464
135;8734;2557
136;10804;442
137;16798;5770
138;8679;2602
139;9056;2233
140;5916;5365
141;7665;3592
142;15848;6634
143;5099;6184
144;18122;4294
145;14427;8119
146;6011;5266
147;7740;3556
148;15180;7300
149;12588;8641
150;8050;3232
151;14342;8137
152;18383;4186
153;9392;1882
154;13910;7309
155;16398;6103
156;9023;2305
157;5076;6238
158;11098;127
159;5538;4546
160;9035;2197
161;7408;3889
162;9471;1792
163;14241;8245
164;13047;8326
165;7035;4276
166;6868;4438
167;7315;3979
168;9137;2179
169;7527;2548
170;7110;4069
171;10855;523
172;8431;2809
173;14491;8074
174;13976;7354
175;7628;3619
176;9504;1783
177;7137;4123
178;8270;2980
179;12803;8461
180;16037;6427
181;14061;8470
182;15041;7498
183;11243;100
184;7998;2062
185;13756;8821
186;17837;4717
187;13825;8650
188;8833;2458
189;16759;5761
190;9777;1450
191;4511;6715
192;11050;271
193;5289;6058
194;13531;9028
195;7360;3907
196;8763;2494
197;16053;6319
198;9466;1873
199;6580;4735
200;4706;6499
201;15763;6850
202;14497;8083
203;9847;1477
204;16708;5824
205;15583;6976
206;9732;1648
207;10340;955
208;14051;8434
209;18426;4060
210;15935;6535
211;13684;8929
212;4911;6337
213;14613;7912
214;13767;8695
215;4512;6679
216;15653;6841
217;6199;5050
218;17248;5230
219;8374;2908
220;6306;4879
221;7934;3358
222;5917;5356
223;15630;5689
224;9834;1360
225;8905;2287
226;10301;1036
227;10902;361
228;12951;8299
229;3543;7660
230;16978;5608
231;14342;8227
232;5639;5599
233;7553;2530
234;5155;6049
235;17255;5311
