#Mode:;3
#Device:;px1800
#Button:;47
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6773;9037
1;10757;5050
2;6135;1693
3;6265;1459
4;5127;2683
5;5477;2341
6;13013;2773
7;9228;6571
8;7360;469
9;7333;352
10;5360;2458
11;7497;343
12;8174;7642
13;5155;2602
14;8380;7435
15;10623;5167
16;11108;4681
17;4437;3376
18;5706;2125
19;10117;5707
20;7644;8119
21;4439;3367
22;6885;8920
23;3863;3943
24;7218;487
25;8551;7246
26;7781;8065
27;10517;5293
28;4853;2962
29;8786;7057
30;7197;613
31;7099;8704
32;5572;2233
33;4918;2917
34;6921;928
35;6356;1441
36;10356;5491
37;6115;1720
38;7022;820
39;11729;4123
40;4525;3304
41;9719;6112
42;6812;1027
43;3263;4573
44;10936;4897
45;7475;8362
46;5880;1954
47;3796;4078
48;8403;7426
49;6343;1198
50;5086;2746
51;6883;955
52;3145;4708
53;4904;2935
54;9882;5959
55;6488;1351
56;11840;3988
57;9283;6436
58;5265;2566
59;6191;1630
60;10426;5365
61;5589;2260
62;7015;8848
63;6779;9028
64;7945;7894
65;2510;5320
66;10655;5131
67;7562;289
68;7059;802
69;10586;5230
70;7198;8623
71;10455;5374
72;6290;1540
73;9860;5986
74;4986;2845
75;10107;5734
76;4856;2980
77;5050;2800
78;5653;2170
79;6679;1162
80;5155;2674
81;4469;3358
82;7568;8263
83;6033;1918
84;5496;2350
85;5333;2494
86;8518;7327
87;4334;3484
88;3145;4699
89;7590;8254
90;6776;9064
91;9722;6103
92;4915;2926
93;9927;5860
94;8303;7462
95;4860;2989
96;7567;262
97;4663;3151
98;5396;2422
99;2358;5455
100;10236;5599
101;6617;1216
102;6083;1729
103;11077;4744
104;6964;856
105;10209;5644
106;6760;982
107;7348;478
108;11053;4798
109;5444;2305
110;6744;1117
111;3932;3907
112;5644;2062
113;9198;6634
114;3658;4087
115;11919;3916
116;10416;5419
117;3414;4447
118;4669;3160
119;3673;4186
120;9643;6184
121;2749;4861
122;8791;7039
123;9890;5941
124;10988;4825
125;7636;235
126;3642;4177
127;6095;1738
128;12898;2908
129;2868;4933
130;11344;4465
131;5802;2008
132;7669;208
133;9726;6094
134;5850;1972
135;9191;6616
136;7088;721
137;10942;4888
138;10477;5248
139;6340;1513
140;7704;8164
141;8268;7561
142;5682;2152
143;7958;7795
144;7490;370
145;3210;4627
146;12071;3781
147;7716;136
148;8997;6850
149;10246;5581
150;10810;5032
151;5631;1783
152;4221;3529
153;5753;2107
154;4575;3250
155;3744;4069
156;5970;1864
157;7442;334
158;6191;1621
159;5793;2017
160;6822;1000
161;3090;4780
162;3857;3979
163;5797;2026
164;10883;4942
165;10883;4969
166;7086;739
167;6537;1333
168;10820;5104
169;5618;2188
170;7461;388
171;9133;6670
172;8955;6868
173;4230;3610
174;6408;1504
175;10246;5617
176;4070;3763
177;4046;3790
178;5948;1891
179;10854;4987
180;6225;1612
181;7525;8317
182;4521;3322
183;5146;2692
184;3821;3952
185;6416;1414
186;2807;5005
187;12001;3817
188;6317;1432
189;6133;1711
190;3550;4258
191;4413;3430
192;7138;8659
193;7418;8389
194;7230;604
195;5778;2044
196;10499;5347
197;4480;3340
198;9762;6067
199;9144;6679
200;9257;6562
201;4655;3205
202;4751;3133
203;5549;2242
204;3237;4609
205;8133;7687
206;3396;4330
207;7491;8344
208;8109;7714
209;8995;6841
210;8094;7759
211;5607;2215
212;9048;6778
213;11167;4672
214;5168;2665
215;7868;7975
216;5740;2071
217;7305;8533
218;10260;5563
219;5713;2116
220;4403;3412
221;10347;5482
222;3863;3934
223;11773;4033
224;10259;5536
225;7581;226
226;7493;325
227;10292;5527
228;10382;5464
229;8898;6922
230;3439;4384
231;10096;5743
232;7032;712
233;6444;1369
234;8046;7885
235;6084;1756
236;12494;3286
237;5314;2476
238;7279;8569
239;6174;1585
240;4006;3826
241;7037;811
242;5131;2701
243;8820;7021
244;5905;1900
245;6637;1189
246;13441;2404
247;4549;3277
248;8822;7003
249;4412;3421
250;6582;1423
251;2435;5302
252;2818;4996
253;12106;3718
254;4745;3034
255;6269;1576
256;7739;8092
257;5092;2737
258;13211;2647
259;4275;3538
260;6314;1495
261;8892;6940
262;10742;5086
263;3929;3853
264;8656;7048
265;10869;4951
266;10252;5428
267;8627;7210
268;7887;8011
269;7565;253
270;4276;3565
271;7348;577
272;3032;4834
273;5320;2503
274;4480;3331
275;5394;2557
276;6992;8821
277;9783;6022
278;8416;7408
279;4342;3457
280;7574;8236
281;9958;5905
282;6361;1468
283;9654;6175
284;9110;6706
285;8517;7318
286;2591;5185
287;10164;5698
288;7318;514
289;4656;3169
290;12502;3313
291;6408;1342
292;8155;7579
293;4937;2854
294;8072;7768
295;6606;1207
296;7006;829
297;13213;2629
298;4038;3808
299;3780;4042
300;5609;2143
301;9948;5932
302;6771;1018
303;6865;8911
304;8249;7543
305;4039;3745
306;7232;8560
307;4901;2881
308;9286;6481
309;9974;5788
310;6940;8695
311;6091;1684
312;5423;2368
313;9250;6535
314;6795;8974
315;5513;2251
316;9737;6040
317;9822;6013
318;7187;442
319;6662;1180
320;7475;8308
321;3098;4735
322;11884;3961
323;7493;8326
324;6089;1648
325;6765;1063
326;3651;4195
327;9471;6382
328;7210;8596
329;5704;2089
330;7264;568
331;9016;6787
332;8316;7507
333;10829;4924
334;4680;3142
335;9901;5950
336;4366;3448
337;10404;5338
338;11300;4528
339;4339;3520
340;6968;8857
341;4727;3106
342;7991;7831
343;10597;5149
344;4685;3214
345;4366;3466
346;9950;5626
347;6795;9010
348;4988;2809
349;9933;5878
350;6655;1144
351;12400;3394
352;4278;3511
353;11112;4726
354;10582;5212
355;2846;5023
356;6758;1036
357;11580;4204
358;7700;8110
359;6790;9001
360;6910;8875
361;5011;2863
362;7217;8614
363;6191;1594
364;7148;8632
365;10376;5446
366;9186;6607
367;4068;3673
368;7765;7948
369;4792;2998
370;8291;7498
371;7676;145
372;9871;5923
373;10556;5158
374;4325;3502
375;7414;8407
376;3583;4231
377;3497;4303
378;4414;3493
379;3709;4105
380;7353;8461
381;10543;5176
382;6709;1099
383;9547;6229
384;5356;2431
385;7032;8803
386;11235;4555
387;9147;6661
388;3297;4546
389;6775;9019
390;5848;1837
391;9497;6328
392;9579;6202
393;6847;901
394;9311;6517
395;9680;6121
396;10446;5401
