#Mode:;3
#Device:;rapoo
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;21839;5626
1;26406;1117
2;25008;1198
3;22160;7777
4;47228;7795
5;49472;5491
6;23755;6247
7;46741;8272
8;23841;3754
9;25454;2071
10;27230;253
11;23851;4933
12;27076;496
13;21571;5968
14;23663;3880
15;19031;8461
16;50498;4492
17;25136;4879
18;47098;7849
19;24095;3430
20;26865;658
21;26414;1108
22;26744;784
23;27049;541
24;23349;4096
25;20192;7327
26;22074;4222
27;21205;8884
28;22429;5086
29;20050;7399
30;26654;847
31;23854;2377
32;22203;5338
33;24809;2665
34;22655;4861
35;25040;2566
36;24062;2206
37;23976;3439
38;24243;3304
39;25659;4357
40;47865;7228
41;25413;2188
42;25372;2152
43;26179;1396
44;26563;2224
45;26041;1477
46;19740;7732
47;26612;910
48;20565;7030
49;25812;1648
50;22070;5536
51;25522;2026
52;23797;3727
53;48460;6616
54;27362;127
55;23738;3763
56;21347;6238
57;24590;2899
58;24892;3853
59;22707;4870
60;19620;6652
61;23666;3862
62;21656;8317
63;25472;2107
64;26684;892
65;22191;4078
66;24027;3457
67;22294;5239
68;26681;811
69;21372;6157
70;21449;6103
71;24755;2935
72;20557;6814
73;23815;3700
74;24476;4348
75;47402;6328
76;26617;829
77;21419;6148
78;26727;802
79;23018;4465
80;21265;8767
81;25484;2080
82;20596;6967
83;26775;676
84;25963;1513
85;24485;2953
86;20182;7336
87;25908;1693
88;26087;1450
89;26751;730
90;25218;2386
91;24866;2674
92;25457;4591
93;24763;2791
94;22503;4969
95;23165;4312
96;23101;6886
97;25359;2161
98;24373;3079
99;23951;2251
100;24049;3466
101;24808;2710
102;22681;4753
103;21521;6049
104;25710;487
105;25531;1954
106;19112;8425
107;27036;424
108;22100;8002
109;24647;1558
110;25133;2449
111;23112;4402
112;25624;1945
113;23155;4366
114;24263;1972
115;24815;2746
116;27166;379
117;49386;5572
118;26264;1306
119;24533;3088
120;24550;2971
121;22055;5419
122;27322;226
123;21659;5914
124;26918;595
125;19225;8299
126;25706;1720
127;22413;5194
128;22693;4852
129;25590;1891
130;26004;1549
131;23677;3745
132;25686;1774
133;21838;5734
134;24046;5959
135;27368;154
136;18752;8614
137;26815;694
138;25564;3169
139;46720;8281
140;49113;5932
141;21989;7966
142;21956;5563
143;26048;289
144;23297;4258
145;21259;7507
146;46974;8038
147;23674;3718
148;19831;6445
149;25072;2503
150;20205;7318
151;22182;7768
152;25742;1747
153;24895;2584
154;22825;4582
155;25165;2350
156;46325;8713
157;26386;1090
158;23130;4321
159;19882;7633
160;22883;5815
161;26564;991
162;46022;9019
163;26223;1252
164;23020;4537
165;25351;2143
166;24242;5761
167;21357;6067
168;22456;4987
169;20834;6661
170;26368;1081
171;46904;8128
172;24033;4699
173;27439;109
174;26633;865
175;24341;3115
176;25393;4645
177;45153;8659
178;26807;703
179;21816;5725
180;22353;5167
181;21923;5482
182;25134;1144
183;20968;6580
184;27113;406
185;26106;1405
186;24312;3124
187;24172;2098
188;24335;3250
189;24371;3196
190;24657;5329
191;27222;388
192;23899;3601
193;24978;2575
194;23614;3970
195;48156;6904
196;24733;2782
197;19767;7705
198;22379;5140
199;23356;5266
200;47567;7408
201;25767;4186
202;20085;7381
203;21494;6013
204;25615;1846
205;23833;6166
206;22660;3520
207;25041;2422
208;22226;5428
209;21515;8434
210;26079;1414
211;20510;5716
212;19926;7606
213;26301;1234
214;21046;6571
215;19307;8227
216;24315;1981
217;24736;2755
218;22979;4627
219;19817;7741
220;22419;5077
221;24589;1702
222;21540;5950
223;23273;4339
224;18650;8821
225;24140;5860
226;46673;8326
227;26304;1216
228;24544;2845
229;23311;4249
230;23436;5374
231;21898;5581
232;21773;5707
233;23819;3655
234;22859;5941
235;25107;2413
236;27266;325
237;21116;6463
238;22451;6256
239;25245;2278
240;46620;8380
241;21724;5698
242;24689;2881
243;19838;7714
244;22835;7219
245;46640;7156
246;22245;5230
247;24435;3052
248;23494;4024
249;20321;8470
250;22174;4060
251;23393;4123
252;26948;523
253;25803;3016
254;46462;8497
255;23778;5014
256;26676;793
257;23116;4330
258;22027;5464
259;26153;1342
260;26027;262
261;22987;4564
262;26009;1540
263;23264;6733
264;24479;2944
265;19968;7453
266;18710;8794
267;25475;4546
268;47016;7993
269;25110;2404
270;24222;3286
271;25257;2314
272;22117;6589
273;47375;7588
274;21290;8695
275;24647;2818
276;23526;4087
277;20369;7192
278;24541;5509
279;45760;8011
280;21844;5653
281;25822;1711
282;21054;6472
283;21099;7669
284;22258;4015
285;19272;8245
286;22642;4834
287;23606;3808
288;50410;4636
289;24657;4069
290;21330;6130
291;23547;3916
292;23059;4573
293;21256;8686
294;44776;8992
295;48224;6769
296;23172;6841
297;21787;5788
298;27000;433
299;18626;8902
300;25585;4456
301;26480;946
302;27085;451
303;25094;2323
304;25775;4204
305;23747;3736
306;23135;4393
307;19298;8191
308;26770;667
309;48119;6868
310;21987;5554
311;23380;4132
312;24004;3547
313;23806;4915
314;22417;5068
315;27347;163
316;23084;4438
317;24310;4483
318;47733;6022
319;24844;5149
320;22623;4996
321;26505;1000
322;19245;8164
323;22654;6121
324;22127;5356
325;24189;3385
326;21288;6193
327;25902;4006
328;20117;6202
329;27216;217
330;20540;6976
331;26111;3943
332;27132;352
333;22656;3610
334;27063;397
335;24361;5662
336;25185;2296
337;20972;6535
338;19936;7543
339;25887;1603
340;26355;1153
341;21342;6058
342;23273;4285
343;47678;7282
344;25801;1675
345;26657;883
346;20712;6832
347;19622;7903
348;21860;8155
349;23928;3583
350;19975;7642
351;19556;7975
352;25080;3637
353;23584;3952
354;21157;6355
355;27076;415
356;22132;7867
357;22821;3448
358;20766;6778
359;24452;3043
360;24375;3133
361;22821;4654
362;25522;712
363;21598;5896
364;25782;4276
365;26275;1288
