#Mode:;3
#Device:;rival
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;7817;1063
1;9031;118
2;7590;3016
3;8479;6436
4;8244;2683
5;8942;271
6;8205;2449
7;7116;514
8;10388;1990
9;9892;2260
10;6882;1234
11;9750;2089
12;8853;3043
13;9669;8704
14;8584;1558
15;7703;5194
16;8128;6580
17;8039;6679
18;8543;1342
19;9624;8254
20;7910;7219
21;8533;6310
22;7305;7120
23;6828;6598
24;7717;4222
25;9428;2962
26;9448;3439
27;8017;4672
28;7730;3745
29;9772;6346
30;9630;6778
31;9286;532
32;7351;4510
33;8599;3574
34;9112;3466
35;7467;4663
36;10317;5698
37;7415;4249
38;8828;145
39;9749;244
40;7875;3034
41;6448;7354
42;9537;7372
43;8247;2332
44;10009;8686
45;8923;757
46;8538;4033
47;9275;5644
48;9214;2935
49;10340;2539
50;6454;5689
51;9093;2782
52;8682;5986
53;8079;5833
54;7803;4087
55;7903;1000
56;7555;2098
57;9723;2161
58;9863;8029
59;7763;5374
60;7991;8668
61;8415;3493
62;8651;5023
63;7382;8479
64;7621;6274
65;7529;1594
66;8286;4600
67;6963;8938
68;6895;1729
69;7168;6697
70;9104;5752
71;8143;5932
72;8685;2980
73;8226;1468
74;10245;4924
75;7793;3871
76;9263;5383
77;8239;4411
78;7757;4420
79;8090;6805
80;8049;3916
81;7555;3394
82;9167;730
83;8881;5779
84;7925;6220
85;8842;6094
86;8232;5914
87;8410;3682
88;7589;2026
89;8775;1180
90;9057;3556
91;8304;7615
92;6854;4960
93;9287;667
94;7157;3934
95;7322;6814
96;9236;2899
97;6545;8110
98;7174;3754
99;7178;7966
100;7648;6283
101;8525;361
102;9479;469
103;7696;7444
104;6459;8164
105;8590;1333
106;6323;8596
107;8539;3367
108;8071;802
109;7785;397
110;9259;2638
111;10213;7687
112;7273;6841
113;8763;3160
114;6812;1090
115;7912;8974
116;8238;3331
117;8002;1900
118;9239;3907
119;7451;496
120;7787;4123
121;6233;478
122;7250;1405
123;8510;415
124;6327;1882
125;10000;3142
126;7783;3844
127;9006;3988
128;8883;4168
129;8630;3484
130;8889;2008
131;7868;784
132;7564;352
133;8071;7642
134;7155;4465
135;8836;4321
136;6558;1054
137;7860;1072
138;8214;433
139;8078;5572
140;10127;1954
141;7028;2080
142;9013;8830
143;7847;3997
144;8603;7552
145;9773;2071
146;7423;7426
147;9268;2818
148;8637;1513
149;9682;2233
150;8320;4330
151;7812;7831
152;8217;6400
153;10108;5320
154;8048;6571
155;8459;3961
156;6979;8866
157;9463;5455
158;8335;6481
159;9730;2404
160;8822;6301
161;7699;1477
162;8280;6337
163;7302;7336
164;7399;1036
165;6847;1774
166;7250;1666
167;7124;8002
168;6937;8461
169;7119;1828
170;6655;1918
171;8341;541
172;8081;577
173;9681;8749
174;7202;5680
175;7838;3727
176;8489;4132
177;7172;6247
178;8269;6850
179;7279;5095
180;7127;7723
181;8004;6895
182;8118;3781
183;7659;7291
184;6065;2359
185;7113;7984
186;6185;2017
187;8266;8821
188;7023;5077
189;8779;3421
190;7576;5770
191;9909;2278
192;9087;5788
193;8523;5896
194;6599;4861
195;8673;3241
196;6387;4564
197;6637;5257
198;9280;2584
199;6959;7975
200;7867;6976
201;7654;4816
202;7462;5671
203;8499;928
204;7022;1576
205;7611;5815
206;8781;3124
207;9351;6499
208;9069;838
209;8755;1153
210;9533;3322
211;6991;5086
212;8478;4627
213;7276;1864
214;9517;5113
215;8092;3817
216;8029;3637
217;8330;568
218;8490;163
219;7056;4780
220;8416;3475
221;8310;3862
222;6626;6238
223;8420;7489
224;7183;7930
225;8446;1972
226;6750;4150
227;6512;1198
228;6032;7885
229;6598;5302
230;7630;6292
231;6871;7066
232;9660;2251
233;8569;2836
234;7383;8506
235;7906;2494
236;8772;658
237;7005;622
238;9052;3277
239;7620;4276
240;9113;595
241;7894;7003
242;8701;5464
243;7550;6013
244;8616;4258
245;7710;6751
246;7654;4267
247;8468;5716
248;8982;2656
249;6012;4654
250;8407;4708
251;7894;7507
252;10007;8425
253;9790;2044
254;7593;4105
255;6719;1117
256;8214;2674
257;6726;7093
258;8378;5527
259;5817;1612
260;8652;4492
261;7407;7768
262;9520;2863
263;9230;5437
264;7979;2647
265;6888;8020
266;6698;6724
267;8359;6787
268;7146;1711
269;8851;8560
270;9138;3979
271;6836;1369
272;8853;2053
273;9507;5122
274;9651;6256
275;8511;3115
276;8570;8335
277;8805;9091
