#Mode:;3
#Device:;roccat
#Button:;8
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;8749;2791
1;8964;8641
2;9696;5257
3;9556;6355
4;9480;7408
5;9207;5941
6;9180;5995
7;9319;5824
8;8685;3169
9;9432;5428
10;8769;8083
11;9815;7057
12;9470;1693
13;9566;334
14;9579;3322
15;9017;6922
16;9128;6022
17;9680;2260
18;9502;6445
19;8936;8758
20;9246;2359
21;8870;2782
22;8803;4798
23;9447;5455
24;9440;4330
25;8868;7021
26;8871;748
27;9674;244
28;9076;496
29;9761;1072
30;9740;3394
31;9453;7705
32;9163;4699
33;8956;8983
34;9199;7921
35;9160;2044
36;9309;4600
37;9931;1261
38;9054;6841
39;9900;5212
40;9037;2008
41;9632;4276
42;9765;4096
43;9573;2305
44;9519;1540
45;10007;8911
46;9199;3907
47;9067;784
48;9119;4024
49;9065;8020
50;9282;1846
51;9625;6283
52;9460;2368
53;9695;8425
54;9260;5815
55;9188;1909
56;9287;1810
57;9819;4087
58;9214;757
59;9120;8029
60;8840;1081
61;9949;7228
62;9756;5842
63;9828;7282
64;9019;874
65;9115;4807
66;9360;4492
67;9075;4834
68;9580;4231
69;9174;6688
70;9015;4591
71;9169;667
72;8924;2980
73;10041;7147
74;9689;8119
75;8899;1000
76;8953;865
77;8927;892
78;9302;5788
79;9199;1945
80;9731;190
81;9184;5977
82;9818;4069
83;9552;3556
84;10083;7066
85;9462;469
86;9999;5158
87;8929;4960
88;9296;4627
89;9189;649
90;9679;1414
91;8963;4942
92;10051;1099
93;9576;4348
94;9208;712
95;9423;2494
96;9835;8326
97;9827;5383
98;9817;3376
99;10187;2998
100;9559;4384
101;10111;5023
102;9607;7615
103;9581;6310
104;9349;7552
105;10047;7048
106;9547;5599
107;9835;1171
108;9088;6868
109;9528;1657
110;10072;5032
111;9374;5779
112;9128;4609
113;10190;4690
114;9308;6598
115;9387;4555
116;9451;478
117;9261;8659
118;9824;6076
119;9939;3934
120;9288;7813
121;9809;7219
122;9555;2323
123;9390;2539
124;9162;2737
125;9921;7237
126;9206;2674
127;9754;8155
128;10265;4933
129;9452;5698
130;9435;442
131;9984;1207
132;9852;3313
133;9897;1252
134;9921;5284
135;9480;8470
