#Mode:;3
#Device:;rx250
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;11868;2638
1;9994;5860
2;14261;1684
3;15608;8281
4;14368;1549
5;11734;4177
6;18868;5023
7;10966;4924
8;14360;1540
9;10592;5311
10;10476;5410
11;13253;2656
12;13288;2557
13;6993;910
14;17108;6733
15;12763;3106
16;16650;7237
17;13449;2449
18;12448;3439
19;12863;3079
20;12721;3196
21;13478;2431
22;14998;8848
23;13477;2422
24;7307;8614
25;15024;874
26;10392;5428
27;9570;6337
28;9857;5995
29;14918;8992
30;16678;7210
31;15349;8533
32;19526;4348
33;11050;4906
34;11604;4375
35;11281;4627
36;17122;6697
37;9115;6805
38;12265;3628
39;13813;2152
40;9130;6760
41;12187;3709
42;14862;9028
43;14176;1720
44;19178;4762
45;7243;667
46;13993;1945
47;13869;2044
48;14515;1387
49;14603;1288
50;18324;5509
51;11550;4366
52;11253;4681
53;15454;8425
54;11610;4285
55;9661;6247
56;15030;766
57;14717;1153
58;14004;1900
59;9232;6661
60;14405;1468
61;8799;7075
62;11799;4096
63;15570;388
64;16233;7696
65;13837;2053
66;15406;478
67;11865;4060
68;16980;6922
69;10452;5374
70;9873;6031
71;16424;7480
72;9863;5986
73;15227;8578
74;14173;1765
75;17868;5977
76;9683;6211
77;15207;8668
78;13757;2161
79;14210;1693
80;15202;8686
81;14409;1495
82;15711;8173
83;12080;3835
84;13206;2629
85;10859;5050
86;9425;6481
87;15010;892
88;11942;3943
89;6214;1648
90;14424;1450
91;14634;1234
92;16108;7795
93;13926;2017
94;15528;8362
95;11428;4456
96;9925;5914
97;8854;6994
98;9452;6436
99;7789;8110
100;14748;1108
101;13503;2413
102;15409;8497
103;15157;703
104;14165;1747
105;14274;1612
106;14909;1000
107;14800;9037
108;10944;4870
109;6710;1198
110;13496;2323
111;18683;5275
112;13221;2674
113;10398;5473
114;14006;1936
115;16751;7138
116;10067;5833
117;11763;4069
118;13576;2314
119;15720;8164
120;16319;7588
121;13215;2683
122;7186;685
123;15394;532
124;15700;8182
125;11502;4303
126;9340;6508
127;9771;6076
128;15576;8317
129;10209;5725
130;13087;2818
131;13006;2890
132;11050;4879
133;10577;5356
134;13976;1873
135;10163;5743
136;13478;2377
137;10833;5068
138;9485;6310
139;13316;2611
140;13719;2170
141;9829;6067
142;12114;3781
143;11973;3979
144;9510;6265
145;13033;2863
146;16481;7435
147;18143;5788
148;10985;4861
149;7014;820
150;15998;7894
151;10718;5167
152;10661;5257
153;11485;4411
154;13474;2440
155;13173;2719
156;13861;2026
157;16988;6913
158;15085;8812
159;11748;4141
160;12348;3538
161;11913;3961
162;15755;8218
163;17368;6517
164;14558;1360
165;13588;2305
166;13284;2620
167;12187;3655
168;15800;8101
169;13642;2278
170;12625;3268
171;12216;3673
172;14436;1459
173;15698;208
174;14921;8956
175;10006;5824
176;12695;3142
177;14411;1486
178;14633;1270
179;17520;6409
180;9727;6175
181;15169;8632
182;15761;199
183;13139;2764
184;17067;6787
185;17071;6823
186;10994;4933
187;14854;9046
188;16331;7579
189;12263;3619
190;6278;1639
191;14496;1405
192;14959;937
193;16060;7777
194;6560;1351
195;17721;6166
196;12030;3817
197;16487;7327
198;13289;2647
199;12525;3430
200;10050;5842
201;14880;1018
202;8636;7219
203;8458;7372
204;10956;4897
205;10401;5500
206;11343;4555
207;10927;4915
208;12955;2944
209;10539;5383
210;10693;5212
211;14809;9082
212;10015;5869
213;13442;2458
214;11787;4186
215;7574;8416
216;9496;6292
217;14823;9019
218;10915;4978
219;14789;1027
220;17319;6589
221;9360;6535
222;10477;5419
223;8529;7363
224;10172;5662
225;13803;2089
226;16310;7597
227;7559;8299
228;12671;3223
229;9017;6859
230;9439;6463
231;14393;1531
232;12671;3259
233;14668;1180
234;14232;1675
235;9916;5932
236;12360;3457
237;15531;460
238;9306;6526
239;15046;775
240;13327;2521
241;11366;4591
242;14071;1846
243;10807;5095
244;8904;6949
245;12473;3403
246;10731;5176
247;11778;4105
248;15112;8794
249;12288;3601
250;15750;172
251;12093;3745
252;11695;4204
253;18241;5653
254;10506;5329
255;16859;6967
256;13491;2467
257;8577;7318
258;15128;8713
259;11044;4798
260;13141;2692
261;12347;3547
262;16725;7156
263;16155;7705
264;14038;1909
265;10774;5131
266;15598;316
267;14582;1324
268;12850;3034
269;13705;2188
270;11885;4024
271;14503;1342
272;11772;4123
273;13029;2809
274;15929;8047
275;15172;8767
276;6436;1477
277;15136;8776
278;16590;7300
279;9170;6706
280;9067;6778
281;12195;3700
282;10041;5806
283;12583;3313
284;8235;7669
285;8342;7606
286;14765;1126
287;14536;1369
288;16002;7903
289;15065;8839
290;16381;7516
291;11152;4816
292;15111;8830
293;11335;4492
294;14133;1801
295;13772;2080
296;14492;1378
297;12414;3466
298;12380;3520
299;15279;8569
300;9265;6634
301;13695;2215
302;16789;7093
303;18086;5815
304;11065;4753
305;11463;4429
306;15783;8128
307;12687;3214
308;11318;4573
309;11755;4168
310;12307;3583
311;8995;6904
312;11966;3952
313;14100;1810
314;10636;5185
315;11740;4114
316;10391;5518
317;11401;4501
318;16365;7570
319;14812;9055
320;15662;8263
321;13806;1999
322;13080;2845
323;15899;7993
324;18100;5851
325;10843;4969
326;15307;8596
327;9750;6148
328;10250;5572
329;9712;6184
330;12685;3205
331;15004;8893
332;12999;2854
333;15750;163
334;15918;8029
335;10349;5554
336;14833;9073
337;14676;1261
338;10819;5086
339;7563;8326
340;8496;7399
341;8072;7831
342;13836;1990
343;8833;7012
344;15103;793
345;15484;469
346;13464;2341
347;13794;2107
348;9248;6652
349;15437;8488
350;14762;1135
351;18056;5878
352;10946;4942
353;10280;5608
354;7537;370
355;14080;1855
356;15928;7975
357;9496;6391
358;9509;6382
359;17295;6544
360;9267;6643
361;9698;6103
362;15288;8659
363;11414;4546
364;14395;1558
365;17859;6049
366;12171;3754
367;14811;1009
368;14291;1603
369;12947;2953
370;6768;1189
371;15233;658
372;18583;5338
373;11440;4438
374;10463;5446
375;7575;325
376;15690;8245
377;11253;4690
378;14484;1396
379;11368;4447
380;11370;4582
381;11362;4465
382;12466;3412
383;17916;5923
384;15082;829
385;12184;3727
386;13395;2503
387;10663;5194
388;8837;7084
389;10208;5671
390;14917;982
391;15044;8857
392;8589;7246
393;7270;8641
394;8463;7381
395;15646;280
396;7185;8704
397;11382;4510
398;11960;3934
399;7362;8524
400;8827;7111
401;10790;5113
402;14842;1063
403;12001;3808
404;14195;1711
405;9962;5941
406;13646;2251
407;7834;8065
408;15718;253
409;12769;3124
410;11232;4636
411;15417;487
412;9090;6751
413;14768;1144
414;16407;7489
415;17379;6499
416;11481;4420
417;12843;2989
418;11595;4231
419;12014;3880
420;16911;6940
421;13513;2386
422;15165;8749
423;14072;1837
424;15390;523
425;16544;7309
426;16559;7345
427;12593;3349
428;11911;4006
429;11527;4357
430;10828;5077
431;10589;5302
432;13140;2791
433;15211;748
434;15315;595
435;10533;5284
436;12776;3070
437;14881;9010
438;15333;8479
439;7098;757
440;11560;4330
441;14497;1423
442;11546;4276
443;15013;8911
444;6573;1333
445;12930;2962
