#Mode:;3
#Device:;sigma
#Button:;30
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;24455;7327
1;22522;1360
2;23284;8758
3;18891;5212
4;21911;2197
5;23837;8254
6;17508;5689
7;17258;6436
8;19984;4114
9;23694;8110
10;16777;7093
11;22853;982
12;19191;4699
13;21820;2026
14;17335;6553
15;21990;1882
16;22804;1198
17;22837;1054
18;18821;5041
19;21886;1990
20;21687;2206
21;22053;1819
22;19317;4501
23;19254;4573
24;22247;1747
25;16889;7048
26;18708;5167
27;23108;793
28;17854;6022
29;21119;2710
30;19505;4366
31;23061;8776
32;16635;7291
33;17515;6373
34;21452;2413
35;20398;3493
36;18218;5644
37;16316;7561
38;23283;550
39;18669;5185
40;23673;217
41;20284;3628
42;21571;2323
43;19985;3898
44;17295;6589
45;16812;6841
46;22416;1513
47;23071;919
48;21402;2395
49;19417;4465
50;15296;8605
51;21473;2422
52;19407;4411
53;15568;352
54;22322;1576
55;16765;7120
56;22676;1279
57;23398;514
58;19288;4591
59;18636;5248
60;20326;3565
61;23155;748
62;22652;1225
63;20840;2980
64;19094;4798
65;19830;4069
66;20070;3916
67;23118;658
68;17626;6265
69;22656;1324
70;17875;5923
71;18727;5149
72;21871;2017
73;20514;3376
74;18651;5230
75;20428;3421
76;21413;2485
77;18803;5104
78;19759;4141
79;18778;5095
80;23185;8668
81;20371;3520
82;23022;928
83;20002;3844
84;20743;3160
85;18063;5869
86;20412;3394
87;20133;3736
88;22527;1288
89;23672;244
90;19154;4726
91;20613;3277
92;17015;6877
93;22823;1090
94;23080;8821
95;19210;4672
96;23506;424
97;20235;3655
98;22274;1567
99;16445;7462
100;19552;4339
101;22841;964
102;20198;3781
103;23387;523
104;18995;4807
105;17381;6499
106;23408;8524
107;22143;1801
108;17359;6544
109;17867;6031
110;20676;3214
111;17770;6112
112;16225;7678
113;19159;4735
114;15506;8389
115;19326;4564
116;15824;8047
117;18582;5266
118;15745;172
119;19715;4186
120;16685;7219
121;17202;6661
122;22399;1486
123;22707;1117
124;22762;1081
125;21992;1972
126;20340;3556
127;17911;5977
128;18001;5878
129;23743;154
130;19326;4600
131;19601;4303
132;17008;6886
133;18999;4897
134;22655;1216
135;15753;8173
136;23248;667
137;15897;8065
138;22589;1351
139;23035;8857
140;21950;1945
141;18562;5284
142;19062;4888
143;17704;6202
144;19531;4375
145;17829;6058
146;22231;1675
147;20185;3682
148;17990;5896
149;15769;145
150;17439;6418
151;19890;4015
152;19687;4204
153;19241;4654
154;21658;2251
155;22865;9019
156;19115;4780
157;17647;6328
158;23003;820
159;22510;1459
160;18807;5086
161;19688;4177
162;20172;3727
163;20777;3133
164;18590;5374
165;18278;5653
166;21035;2872
167;16679;7174
168;16909;7003
169;19557;4384
170;21396;2566
171;21732;2170
172;23214;694
173;22544;1369
174;21004;2854
175;19987;3907
176;16544;7354
177;19840;4024
178;21663;2233
179;23551;361
180;23130;8830
181;24162;7804
182;18597;5338
183;19613;4285
