#Mode:;3
#Device:;sk9620
#Button:;48
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;15521;8371
1;11118;4762
2;14554;1333
3;9028;6850
4;12524;3394
5;15599;8299
6;12582;3349
7;15515;316
8;10343;5518
9;15176;748
10;14679;1243
11;15086;829
12;10141;5770
13;16282;7633
14;14357;1531
15;13379;2566
16;15314;577
17;9064;6823
18;16103;7795
19;14444;1477
20;17788;6076
21;15716;226
22;13821;2161
23;16602;7264
24;16210;7669
25;15734;235
26;13330;2575
27;15810;8128
28;13999;1945
29;12587;3367
30;14465;1432
31;13035;2926
32;13783;2170
33;10967;4879
34;13784;2224
35;14851;982
36;9175;6643
37;8804;7138
38;11240;4672
39;11548;4339
40;14171;1783
41;13348;2521
42;11737;4204
43;12945;2953
44;15372;523
45;11501;4366
46;11782;4105
47;14938;9019
48;12854;3043
49;11362;4510
50;11714;4177
51;16937;7012
52;11723;4240
53;9658;6247
54;11776;4069
55;10199;5653
56;13161;2728
57;13045;2872
58;15017;874
59;13385;2530
60;14622;1261
61;17314;6589
62;17349;6517
63;16057;7840
64;13482;2422
65;14848;1018
66;18564;5383
67;12986;2917
68;10251;5680
69;13644;2350
70;15225;8668
71;9860;6031
72;12549;3322
73;11973;3907
74;14950;8884
75;12678;3250
76;9193;6706
77;10452;5473
78;16381;7480
79;10294;5608
80;14876;9046
81;14824;1072
82;12427;3520
83;11855;4015
84;11064;4843
85;15120;8758
86;12000;3871
87;17633;6265
88;14402;1522
89;16322;7570
90;14752;1117
91;14151;1792
92;14020;1909
93;13597;2215
94;12179;3709
95;14486;1468
96;9552;6355
97;15143;784
98;14855;1000
99;17588;6337
100;10428;5509
101;15025;928
102;12618;3277
103;10473;5446
104;14788;1108
105;14480;1441
106;11266;4627
107;12679;3178
108;11774;4195
109;15729;8209
110;12077;3808
111;15012;8830
112;10032;5797
113;14303;1630
114;12499;3304
115;14927;9010
116;12065;3736
117;12237;3691
118;10424;5500
119;8618;7282
120;9329;6526
121;9205;6661
122;13721;2269
123;11620;4267
124;14289;1495
125;11756;4033
126;15293;649
127;15941;8038
128;8939;6976
129;9809;6112
130;10859;5050
131;14358;1594
132;17265;6607
133;12976;2989
134;9769;6121
135;10572;5329
136;10373;5482
137;12052;3826
138;16989;6904
139;9257;6598
140;11932;3925
141;12867;2980
142;10946;4924
143;15728;8200
144;17151;6760
145;16543;7336
146;11717;4213
147;15689;298
148;9587;6292
149;11075;4825
150;13092;2773
151;15344;532
152;17018;6868
153;13506;2431
154;13826;2062
155;13751;2179
156;16880;6931
157;12889;2998
158;12257;3646
159;8944;6994
160;9923;5977
161;15302;496
162;15252;712
163;13387;2548
164;15814;100
165;14976;8848
166;11244;4663
167;10989;4915
168;12920;2971
169;16310;7597
170;18096;5788
171;15502;8398
172;13804;2089
173;15101;8767
174;15764;109
175;9474;6382
176;14016;1846
177;11870;4024
178;12751;3133
179;13173;2692
180;15395;505
181;15576;8281
182;18773;5158
183;14591;1306
184;15670;190
185;16754;7120
186;13102;2746
187;12265;3628
188;10649;5194
189;12746;3169
190;16384;7525
191;12467;3439
192;13061;2800
193;9810;6130
194;13114;2782
195;16524;7399
196;15837;8092
197;14277;1612
198;11577;4294
199;13088;2818
200;14356;1549
201;11754;4150
202;13781;2116
203;15772;154
204;8878;6985
205;12714;3106
206;9509;6445
207;15331;622
208;12179;3772
209;11376;4519
210;16648;7327
211;10741;5131
212;14264;1621
213;14413;1459
214;13082;2791
215;15258;694
216;12764;3124
217;12167;3781
218;10866;5068
219;12235;3574
220;12212;3745
221;13469;2341
222;10872;5041
223;13744;2134
224;17234;6670
225;14143;1810
226;16072;7831
227;14314;1603
228;13531;2395
229;16178;7768
230;14700;1171
231;8752;7156
232;8781;7102
233;11979;3988
234;15397;8425
235;10913;4996
236;9634;6319
237;13964;1891
238;11071;4888
239;9806;6094
240;15451;451
241;12699;3151
242;10906;4978
243;13272;2611
244;11757;4141
245;10875;5023
246;15459;8470
247;14043;1936
248;10277;5581
249;15218;676
250;12500;3403
251;15933;7966
252;13477;2368
253;15284;8623
254;12370;3538
255;15013;8938
256;11810;4060
257;10310;5590
258;11130;4753
259;12384;3529
260;15362;8542
261;9427;6454
262;10059;5905
263;13318;2584
264;14258;1684
265;14114;1747
266;11805;4123
267;11813;4042
268;14264;1585
269;16619;7318
270;14612;1297
271;16347;7552
272;9281;6616
273;9652;6283
274;14617;1252
275;14638;1234
276;11621;4249
277;15225;8605
278;9931;6022
279;15865;8101
280;16050;7786
281;12421;3502
282;11189;4717
283;10872;5059
284;16920;7075
285;11726;4087
286;10159;5671
287;16616;7255
288;8586;7372
289;9015;6886
290;15436;541
291;13983;1981
292;14862;1036
293;10672;5167
294;14718;1081
295;17142;6778
296;14919;9037
297;11735;4222
298;13224;2701
299;16019;7867
300;12814;3088
301;13501;2485
302;15029;838
303;17448;6463
304;9736;6139
305;15332;568
306;15564;343
307;9782;6085
308;15089;811
309;15287;613
310;14853;1027
311;17461;6481
312;14550;1360
313;12650;3232
314;14828;1099
315;15582;325
316;13100;2908
317;15420;397
318;15054;739
319;13489;2467
320;16348;7606
321;14147;1774
322;13034;2854
323;11542;4384
324;16178;7723
325;11059;4852
326;14811;9073
327;12196;3718
328;9663;6202
329;16147;7678
330;16814;7111
331;9898;5995
332;14088;1900
333;11875;3970
334;10549;5302
335;12281;3565
336;12939;2944
337;13739;2152
338;15429;8479
339;12155;3682
340;10390;5545
341;11127;4771
342;17074;6805
343;13741;2188
344;10764;5185
345;16815;7093
346;13879;2080
347;10872;5086
348;16786;7057
349;16579;7354
350;14789;1054
351;14540;1405
352;16975;6940
353;11411;4474
354;10506;5419
355;13303;2665
356;14180;1693
357;15710;208
358;14392;1486
359;11468;4456
360;16763;7147
361;16906;6949
362;11017;4834
363;13070;2863
364;11470;4429
365;12013;3916
366;12573;3268
367;11998;3862
368;10982;4933
369;15018;919
370;15725;8191
371;15438;8461
372;17416;6508
373;10545;5275
374;13491;2359
375;10500;5428
376;15519;379
377;15911;7957
378;13941;1972
379;11676;4168
380;15472;8443
381;13042;2881
382;12313;3619
383;9692;6220
384;9692;6184
385;11413;4492
386;15757;172
387;10079;5833
388;15748;8137
389;11473;4321
390;14678;1144
391;9762;6193
392;11346;4555
393;12446;3448
394;15372;8569
395;15506;361
396;9120;6751
397;9857;6067
398;14826;9064
399;13278;2638
400;11867;4114
401;14678;1207
402;15195;631
403;10891;4987
404;12444;3493
405;11865;4051
406;15653;8263
407;13314;2674
408;15381;514
409;11615;4231
410;14578;1369
411;11441;4483
412;9468;6364
413;10011;5914
414;10644;5257
415;17043;6814
416;14960;8929
417;11711;4276
418;15569;262
419;18271;5572
420;14836;9091
421;9884;5959
422;14544;1351
423;12584;3358
424;16178;7714
425;14920;9001
426;16162;7732
427;15977;7876
428;17191;6679
429;10469;5437
430;14624;1315
431;16727;7129
432;11493;4438
433;11843;3952
434;16113;7750
435;15156;757
436;11977;3817
437;14425;1396
438;9786;6049
439;11897;3997
440;10532;5356
441;15530;8335
442;15423;469
443;9928;5986
444;9747;6103
445;14854;1045
446;11520;4393
447;15437;424
448;10767;5212
449;10558;5347
450;15142;721
451;14012;1882
452;14354;1639
453;16778;7165
454;11551;4312
455;16092;7759
456;11285;4609
457;11097;4780
458;12669;3286
459;8703;7210
460;15543;8344
461;18086;5779
462;10484;5491
463;11312;4600
464;17170;6769
465;15267;640
466;8833;7048
467;15592;8308
468;9440;6373
469;10602;5365
470;14297;1648
471;15218;8632
472;17543;6409
473;9409;6499
474;13556;2377
475;10131;5761
476;12050;3853
477;15145;766
478;11216;4681
479;16443;7462
480;12720;3196
481;11956;3943
482;10654;5203
483;12924;3016
484;15366;8578
485;11500;4402
486;16005;7948
487;8234;7588
488;9878;6004
489;14740;1162
