#Mode:;3
#Device:;sunplus
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;23480;307
1;20493;3367
2;23407;8497
3;20592;3250
4;24395;7498
5;20485;3403
6;25078;6859
7;19914;3961
8;22893;1018
9;20588;3340
10;19084;4825
11;22970;982
12;23035;8830
13;18662;5239
14;22802;1108
15;23615;334
16;20806;3043
17;23551;298
18;21503;2368
19;22615;1279
20;20708;3232
21;21865;2035
22;19937;3988
23;19942;3907
24;23089;8767
25;23000;901
26;24964;6931
27;24891;7048
28;24374;7606
29;22911;991
30;21945;1900
31;19713;4195
32;25161;6769
33;24985;6895
34;23434;8506
35;23530;8308
36;24291;7597
37;21248;2638
38;20333;3529
39;18892;4987
40;22608;1297
41;22993;874
42;24116;7768
43;18315;5581
44;21698;2143
45;22771;1054
46;18877;5014
47;24214;7723
48;19477;4420
49;22241;1747
50;21727;2161
51;23745;8200
52;23789;127
53;23023;829
54;23470;433
55;21079;2854
56;18595;5347
57;23483;361
58;19361;4528
59;22822;1135
60;20123;3727
61;18498;5392
62;17825;6166
63;22502;1396
64;20437;3358
65;20394;3556
66;22144;1801
67;22879;1027
68;18605;5248
69;16993;6904
70;22811;9082
71;21600;2386
72;22038;1846
73;17743;6157
74;23146;8749
75;17315;6526
76;25159;6688
77;21621;2305
78;22335;1504
79;23411;8470
80;20094;3808
81;19232;4735
82;24367;7462
83;21108;2737
84;22396;1495
85;23345;8551
86;19542;4348
87;18800;5032
88;23540;370
89;20863;2998
90;20100;3709
91;24249;7624
92;23656;8290
93;18433;5446
94;26062;5833
95;20242;3592
96;20741;3106
97;20194;3691
98;20441;3511
99;18678;5203
100;23449;8362
101;23063;838
102;23742;181
103;22605;1315
104;23276;8614
105;24643;7210
106;16197;7741
107;24433;7471
108;16771;7120
109;20334;3547
110;23816;8101
111;20074;3853
112;19837;4105
113;21177;2701
114;20133;3718
115;21043;2899
116;21303;2584
117;21861;1990
118;22692;1243
119;25291;6571
120;19581;4267
121;25081;6805
122;21981;2008
123;21749;2116
124;19925;3979
125;19201;4699
126;23372;568
127;22473;1441
128;23177;8677
129;21437;2467
130;17669;6265
131;23712;244
132;24975;6922
133;21245;2665
134;25285;6562
135;19471;4411
136;24712;7192
137;16511;7354
138;17914;5959
139;23529;8380
140;18505;5329
141;17075;6868
142;22126;1774
143;21978;1945
144;23642;8245
145;23279;631
146;18588;5302
147;23301;8596
148;19109;4780
149;18455;5437
150;22880;9046
151;19747;4087
152;19313;4555
153;23822;7984
154;19575;4321
155;23476;8434
156;20195;3754
157;21331;2557
158;20141;3664
159;23728;217
160;19798;4060
161;21747;2206
162;24628;7219
163;20570;3313
164;25434;6472
165;17805;6085
166;24835;7093
167;19333;4564
168;21698;2152
169;23132;766
170;18418;5491
171;24978;6841
172;16674;7255
173;24809;7102
174;17697;6211
175;18728;5167
176;22674;1171
177;20337;3565
178;24021;7840
179;24370;7525
180;19352;4492
181;23593;8227
182;17644;6301
183;18527;5410
184;20638;3331
185;20298;3574
186;19827;4078
187;19385;4474
188;23655;208
189;20685;3169
190;17949;5914
191;25167;6715
192;16780;7075
193;21223;2683
194;20421;3439
195;20337;3484
196;17990;5923
197;23751;8083
198;21740;2179
199;23772;145
200;23020;910
201;23227;685
202;18361;5563
203;23553;397
204;19250;4636
205;21577;2359
206;24188;7669
207;21241;2674
208;21955;1972
209;16868;7012
210;22923;892
211;21374;2521
212;18605;5293
213;23248;8659
214;23188;667
215;18867;5068
216;26218;5617
217;21175;2719
218;23945;7858
219;24676;7282
220;23030;8866
221;17471;6364
222;18979;4897
223;19800;4132
224;19645;4258
225;21293;2620
226;18638;5275
227;19174;4771
228;20273;3619
229;21574;2341
230;22777;1099
231;20294;3583
232;18707;5113
233;20639;3259
234;19427;4384
235;22598;1216
236;20451;3385
237;25763;6130
238;20489;3430
239;18488;5401
240;17369;6607
241;18509;5338
242;18264;5608
243;19156;4717
244;23632;8263
245;22950;1000
246;22977;8929
247;18558;5284
248;17596;6373
249;24196;7687
250;20429;3466
251;22265;1621
252;18663;5230
253;23257;640
254;25017;6913
255;17153;6733
256;20693;3178
257;22387;1558
258;22284;1648
259;18039;5860
260;23589;280
261;21195;2629
262;20716;3187
263;17169;6787
264;25066;6814
265;18339;5554
266;21305;2656
267;16978;6976
268;24911;6958
269;17675;6283
270;24695;7201
271;20977;2881
272;20668;3223
273;19090;4708
274;19344;4465
275;23167;8722
276;19921;4033
277;19589;4294
278;18201;5671
279;19629;4312
280;21059;2863
281;23559;343
282;19561;4357
283;20510;3376
284;23955;7948
285;22189;1711
286;17336;6544
287;21325;2566
288;19425;4510
289;23002;8938
290;22867;8956
291;19070;4870
292;18150;5734
293;24839;7057
294;18241;5725
295;25275;6616
296;23838;8020
297;19939;3952
298;23143;8695
299;23638;316
300;17943;5977
301;19268;4600
302;18121;5797
303;22335;1468
304;17920;6013
305;20881;3007
306;24539;7345
307;20085;3799
308;20069;3826
309;25645;6247
310;24838;7084
311;24431;7381
312;23208;8632
313;18455;5509
314;21453;2413
315;23055;8821
316;22909;9001
317;24072;7831
318;23314;8578
319;22122;1738
320;21348;2548
321;25438;6499
322;24027;7885
323;21554;2323
324;22990;8893
325;25984;5950
326;17737;6184
327;20392;3538
328;23081;856
329;18519;5365
330;20918;3025
331;19912;4024
332;19439;4447
333;23164;739
334;20317;3520
335;22278;1594
336;20834;2989
337;22726;1153
338;20798;3133
339;17594;6292
340;23177;8713
341;22002;1855
342;23764;8092
343;20227;3673
344;17761;6112
345;20210;3700
346;24628;7228
347;23062;8857
348;23052;8911
349;17269;6706
350;20610;3295
351;22651;1324
352;19793;4141
353;19453;4393
354;18913;4933
355;24448;7435
356;21203;2692
357;17429;6490
358;19049;4798
359;21811;2080
360;18875;5041
361;20416;3448
362;21075;2845
363;18954;4888
364;23812;7975
365;22589;1198
366;22528;1486
367;18314;5536
368;19537;4456
369;20026;3880
370;19901;3997
371;23303;604
372;23829;8038
373;18337;5626
374;16586;7372
375;25549;6346
376;16675;7246
377;18368;5500
378;17228;6670
379;23983;7921
380;23747;163
381;21939;1936
382;23841;118
383;23217;694
384;19818;4051
385;20997;2935
386;23324;676
387;23632;8209
388;23474;8416
389;23663;8254
390;23270;8668
391;23158;757
392;18145;5770
393;24618;7363
394;19989;3889
395;24502;7480
396;18821;5059
397;22282;1549
398;20119;3763
399;18621;5320
400;20241;3655
401;18511;5374
402;24478;7516
403;19259;4654
404;19565;4303
405;19776;4168
406;21628;2296
407;23131;802
408;20501;3349
409;17216;6679
410;20143;3745
411;20139;3817
412;22342;1513
413;23370;541
414;18623;5266
415;19454;4438
416;19634;4231
417;19473;4366
418;22214;1684
419;22867;8974
420;23666;262
421;23529;379
422;16346;7552
423;20192;3682
424;23397;8488
425;19714;4240
426;23953;7912
427;24480;7426
428;19609;4249
429;22717;1144
430;21653;2278
431;20699;3196
432;21717;2188
433;19262;4645
434;23475;8389
435;21519;2422
436;20414;3457
437;24595;7300
438;17820;6040
439;19569;4339
440;22696;1189
441;21648;2260
442;23897;7993
443;19897;4006
444;17131;6751
445;23605;289
446;21137;2746
447;15898;8002
448;20404;3502
449;21574;2287
450;20044;3790
451;18437;5428
452;21426;2476
453;19181;4753
454;22498;1423
455;19626;4285
456;22294;1576
457;21934;1918
458;23670;226
459;18983;4978
460;23045;775
461;24960;7003
462;19249;4591
463;18905;5005
464;16041;7867
465;24721;7147
466;23623;271
467;22678;1207
468;21049;2791
469;22981;964
470;21651;2242
471;21763;2098
472;22729;1126
473;23263;703
474;18126;5698
475;23500;406
476;19336;4609
477;24313;7660
478;20037;3844
479;21093;2755
480;16997;6850
481;23709;8155
482;23455;451
483;24542;7336
484;23269;8587
485;22007;1837
486;19159;4807
487;21896;1927
488;23144;8740
489;25427;6535
490;20402;3493
491;25058;6877
492;18506;5311
493;23416;496
494;17721;6139
495;18837;5077
496;21522;2377
497;18966;4879
498;20781;3160
499;21064;2773
500;22635;1270
501;17529;6310
502;18824;5122
503;23427;469
504;22312;1540
505;21936;1963
506;24525;7417
507;20113;3772
508;25628;6220
509;20605;3268
510;20841;3016
511;23062;883
512;20765;3124
513;19426;4519
514;23769;8191
515;22020;1909
516;25014;6967
517;24272;7633
518;20829;2953
519;17625;6274
520;19178;4681
521;20594;3286
522;20630;3214
523;24385;7561
524;16054;7903
525;17495;6337
526;23778;8128
527;21424;2431
528;18114;5752
529;23093;811
530;21424;2449
531;23216;8704
532;22565;1387
533;22481;1450
534;16600;7183
535;25148;6742
536;19953;3916
537;19732;4186
538;20773;3061
539;24334;7579
540;22572;1306
541;25913;6049
542;18094;5842
543;24199;7804
544;19905;3970
545;21348;2575
546;18321;5590
547;24115;7813
548;23693;8164
549;25650;6238
550;21921;1981
551;24021;7849
552;20881;3052
553;24156;7714
554;17124;6724
555;18544;5383
556;23245;8641
557;22976;8920
558;17887;6022
559;21376;2530
560;21535;2404
561;19986;3925
562;23447;460
563;23687;8173
564;20820;3088
565;19082;4789
566;19850;4042
567;17359;6481
568;23329;523
569;21401;2539
570;17750;6103
571;23247;577
572;20292;3628
573;16805;7129
574;24972;6886
575;23537;424
576;18605;5257
577;22998;8839
578;23376;8524
579;24292;7651
580;18097;5806
581;20717;3115
582;22348;1567
583;17640;6175
584;22235;1729
585;22945;8947
586;23446;8452
587;21703;2170
588;23389;478
589;19387;4501
590;25075;6832
591;23469;487
592;21072;2836
593;20894;2971
594;23814;8119
595;21358;2503
596;20335;3610
597;23786;8110
598;19653;4204
599;21091;2764
600;21235;2593
601;18822;5050
602;17385;6454
603;24533;7327
604;22329;1585
605;19253;4627
606;17693;6229
607;23996;7939
608;22304;1522
609;20799;3142
610;18105;5815
611;18719;5149
612;17239;6697
613;23008;820
614;18032;5869
615;23648;253
616;23106;8812
617;25978;5941
618;20274;3646
619;23807;8074
620;23727;190
621;22525;1360
622;20578;3322
623;25338;6553
624;22945;919
625;23469;8371
626;23284;8623
627;24760;7174
628;21892;1954
629;21259;2647
630;24948;6994
631;20985;2872
632;21442;2494
633;18968;4924
634;23018;8884
635;22903;8992
636;20030;3835
637;22982;928
638;23372;514
639;23069;8803
640;24851;7111
641;25566;6328
642;22877;9010
643;20853;3097
644;18191;5680
645;25879;5986
646;24851;7039
647;23162;748
648;24083;7822
649;22004;1882
650;19820;4015
651;18443;5464
652;18685;5158
653;21824;2026
654;20111;3781
655;21701;2251
656;22591;1225
657;18054;5824
658;23203;8686
659;23248;8560
660;22566;1333
661;20814;3034
662;17665;6193
663;19563;4330
664;22963;8902
665;19742;4159
666;22169;1783
667;22200;1702
668;23548;8299
669;22856;9091
670;18067;5878
671;21173;2818
672;22042;1819
673;22822;9064
674;22701;1252
675;23089;8794
676;23163;8776
677;24376;7534
678;22825;1072
679;16747;7138
680;23515;8335
681;22829;1117
682;21622;2224
683;23216;649
684;20920;2980
685;16911;6949
686;22597;1351
687;18951;4951
688;18476;5356
689;18696;5140
690;23864;8047
691;24217;7678
692;20019;3898
693;17503;6436
694;23740;8218
695;17275;6643
696;19275;4672
697;24955;6940
698;20608;3304
699;23466;8398
700;19807;4123
701;18597;5212
702;21487;2350
703;22439;1531
704;23995;7894
705;20809;3151
706;23821;154
707;24404;7570
708;23085;8785
709;20672;3241
710;18702;5194
711;19176;4744
712;17994;5932
713;18759;5104
714;24231;7705
715;23557;352
716;22652;1288
717;23491;8407
718;22518;1405
719;23678;8182
720;21356;2611
721;18910;4996
722;17836;6076
723;22840;1009
724;23125;784
725;22025;1891
726;21544;2314
727;18993;4906
728;21903;2017
729;19298;4537
730;17994;5905
731;22780;1063
732;23720;199
733;18446;5455
734;22231;1639
735;23211;8650
736;23076;865
737;22226;1657
738;24200;7750
739;19778;4114
740;25440;6517
741;17770;6121
742;23324;586
743;24505;7399
744;23247;8569
745;18533;5419
746;24119;7759
747;23679;235
748;22154;1675
749;21793;2062
750;22982;973
751;17493;6445
752;23584;8344
753;24620;7273
754;24573;7309
755;24471;7390
756;25466;6463
757;22804;1081
758;22970;8875
759;23100;730
760;18973;4969
761;17153;6823
762;19229;4618
763;24900;7066
764;24041;7930
765;19037;4843
766;20038;3871
767;17253;6625
768;24697;7156
769;18769;5131
770;25520;6409
771;20429;3412
772;24570;7291
773;21565;2215
774;22059;1828
775;26187;5779
776;26074;5896
777;19523;4402
778;21665;2197
779;17573;6256
780;19244;4690
781;22971;955
782;20995;2917
783;19303;4573
784;16835;7030
785;24137;7732
786;22436;1477
787;24325;7588
788;23886;100
789;21886;2044
790;19182;4726
791;18174;5707
792;21738;2233
793;23637;325
794;24373;7507
795;19488;4375
796;24040;7795
797;23394;8461
798;23417;442
799;22400;1459
800;18443;5473
801;22245;1630
802;17528;6319
803;21036;2809
804;18921;4915
805;25561;6382
806;17813;6067
807;18996;4942
808;21192;2710
809;19937;3943
810;25247;6634
811;17222;6652
812;23506;388
813;16855;6985
814;19664;4276
815;17791;6148
816;21522;2395
817;17474;6355
818;22778;1090
819;21117;2782
820;23430;8515
821;22952;8983
822;20967;2890
823;24241;7615
824;17916;5887
825;17422;6391
826;23715;8137
827;23825;8065
828;20567;3277
829;21085;2827
830;23102;8731
831;22669;1234
832;18835;5086
833;19835;4069
834;22698;1261
835;21369;2512
836;25256;6661
837;22570;1378
838;23906;7957
839;19227;4582
840;25396;6508
841;22022;1873
842;19062;4834
843;17847;6058
844;16682;7165
845;25072;6778
846;15913;8029
847;22767;1180
848;20469;3475
849;24109;7786
850;18328;5518
851;24591;7318
852;17878;5968
853;24366;7489
854;16394;7543
855;18742;5176
856;23065;847
857;25300;6589
858;22103;1792
859;19069;4816
860;17547;6427
861;23189;721
862;19438;4483
863;23357;550
864;18171;5689
865;23662;8281
866;17811;6094
867;20181;3637
868;19501;4429
869;26438;5527
870;23569;8353
871;19016;4861
872;23683;172
873;19074;4762
874;22827;9073
875;26202;5716
876;21140;2800
877;22705;1162
878;19700;4177
879;21505;2440
880;24872;7021
881;23488;415
882;18202;5644
883;23379;8479
884;17364;6598
885;19903;3934
886;22563;1369
887;23677;8236
888;18976;4960
889;23342;595
890;23317;8605
891;23186;712
892;23423;8443
893;16662;7264
894;18121;5761
895;23070;8848
896;23150;793
897;20259;3601
898;22302;1612
899;23774;8146
900;23607;8326
901;17315;6580
902;18200;5635
903;22170;1693
904;19003;4852
905;20950;2944
906;22303;1603
907;18298;5599
908;19633;4213
909;17916;5995
910;19737;4150
911;24477;7408
912;23339;559
913;23241;622
914;23409;8425
915;22236;1666
916;23638;8317
917;18243;5662
918;17827;6031
919;21566;2332
920;16293;7642
921;18768;5095
922;23915;8011
923;22485;1414
924;22605;1342
925;22267;1720
926;19692;4222
927;25542;6400
928;23548;8272
929;22484;1432
930;16654;7237
931;23419;8533
932;21830;2071
933;18116;5788
934;23226;658
935;22793;9055
936;19736;4096
937;21806;2053
938;24177;7696
939;23927;8056
940;21751;2125
941;22144;1756
942;19224;4663
943;26100;5851
944;20443;3394
945;26337;5572
946;20427;3421
947;21909;1999
948;22835;1036
949;24030;7876
950;20980;2962
951;23105;8758
952;20938;2908
953;25651;6202
954;22860;1045
955;22862;9028
956;22138;1765
957;23416;8542
958;23934;7966
959;20063;3862
960;21840;2107
961;21248;2602
962;23286;613
963;22860;8965
964;21377;2485
965;22847;9037
