#Mode:;3
#Device:;tramani_wired
#Button:;298
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;15340;8551
1;19816;4096
2;22680;1225
3;22856;1072
4;16005;7894
5;23445;451
6;19380;4528
7;19606;4312
8;22649;1270
9;25323;6598
10;18422;5500
11;20824;3097
12;25155;6742
13;20725;3151
14;23715;8209
15;15270;8659
16;23393;523
17;18036;5887
18;21157;2692
19;23315;8596
20;22555;1342
21;23010;775
22;18742;5158
23;23107;811
24;20751;3178
25;23417;8434
26;23000;919
27;17183;6787
28;21038;2899
29;12707;3196
30;13880;2053
31;13589;2350
32;24782;7138
33;14455;1423
34;13616;2296
35;13719;2188
36;26549;5374
37;12132;3772
38;15126;793
39;24839;7084
40;18459;5464
41;19877;4042
42;14098;1819
43;23465;8452
44;21403;2494
45;21702;2224
46;12685;3232
47;25267;6670
48;17434;6481
49;20472;3448
50;12884;3025
51;13417;2485
52;24231;7696
53;22223;1702
54;10960;4960
55;22920;8992
56;18202;5716
57;17531;6391
58;12308;3565
59;11956;3979
60;23094;8821
61;22464;1459
62;14844;1090
63;14884;1027
64;14579;1441
65;23921;8011
66;12957;2971
67;12440;3475
68;13139;2782
69;14146;1765
70;17439;6499
71;23877;8056
72;24298;7624
73;23344;613
74;22347;1576
75;21346;2575
76;23564;289
77;19184;4708
78;23110;829
79;24018;7921
80;23959;8065
81;21597;2323
82;16871;7039
83;21974;1945
84;22764;1153
85;17855;6067
86;21799;2107
87;25600;6310
88;24411;7498
89;17203;6760
90;22945;991
91;16257;7678
92;24109;7813
93;18601;5248
94;19974;3925
95;20977;2854
96;19644;4249
97;21645;2278
98;20717;3169
99;13156;2719
100;16239;7687
101;23458;8461
102;21133;2737
103;24555;7417
104;19770;4204
105;22529;1351
106;21028;2872
107;9859;6040
108;14289;1594
109;16673;7246
110;11024;4861
111;13562;2368
112;13965;1999
113;15168;694
114;20220;3700
115;24020;7867
116;12968;2944
117;22858;9064
118;23515;370
119;23129;8767
120;23933;8002
121;20389;3520
122;15426;8479
123;17269;6652
124;23817;190
125;22801;1135
126;22311;1639
127;22623;1261
128;23888;8038
129;17810;6139
130;20314;3628
131;17407;6526
132;14593;1405
133;12514;3394
134;25592;6355
135;19110;4798
136;14608;1333
137;20064;3916
138;23622;8236
139;22403;1486
140;13849;2089
141;18751;5122
142;11731;4177
143;12394;3556
144;13919;2035
145;14865;1009
146;16788;7129
147;11111;4834
148;13735;2197
149;18385;5590
150;22934;8983
151;24765;7183
152;22932;9019
153;19692;4222
154;15284;8650
155;20521;3367
156;19652;4240
157;23069;8830
158;16683;7219
159;16926;7030
160;22140;1783
161;22119;1747
162;23091;8839
163;21749;2143
164;21512;2377
165;22746;1216
166;21120;2836
167;21221;2764
168;23488;379
169;24907;7021
170;20783;3187
171;23000;8902
172;18064;5851
173;15996;7876
174;23207;757
175;20908;2989
176;24072;7840
177;16591;7354
178;23591;307
179;19848;4015
180;22643;1315
181;22114;1801
182;25586;6328
183;24131;7858
184;21371;2548
185;19333;4600
186;20715;3259
187;22349;1513
188;20278;3619
189;21796;2098
190;24354;7570
191;23441;469
192;17723;6193
193;20335;3601
194;23641;8299
195;19114;4789
196;20934;2917
197;21564;2269
198;23479;8407
199;17133;6769
200;21753;2170
201;19685;4231
202;13265;2629
203;14293;1603
204;13203;2728
205;27072;4879
206;11993;3880
207;15763;8119
208;10703;5257
209;26689;5239
210;23276;8569
211;19542;4438
212;16990;6895
213;24905;7012
214;20873;3034
215;18928;4996
216;23603;316
217;19616;4285
218;24225;7669
219;19585;4330
220;17128;6823
221;23079;8803
222;20974;2908
223;20879;3016
224;17972;5977
225;18825;5086
226;19442;4465
227;15381;496
228;13042;2818
229;24282;7723
230;18031;5950
231;12249;3691
232;14706;1243
233;10797;5113
234;14545;1360
235;13276;2656
236;18564;5347
237;22973;8965
238;24477;7435
239;23829;8083
240;21368;2611
241;19681;4294
242;21219;2701
243;23590;8335
244;20195;3799
245;19597;4357
246;19222;4762
247;18009;5896
248;21225;2620
249;19036;4942
250;19290;4609
251;17811;6184
252;11880;3988
253;23449;8470
254;17802;6175
255;20130;3745
256;13394;2530
257;14795;1189
258;12596;3358
259;23977;7930
260;14719;1234
261;26146;5806
262;18218;5689
263;19858;4105
264;15535;388
265;12309;3610
266;26605;5311
267;20532;3385
268;23895;8047
269;17888;6031
270;18940;4978
271;18510;5482
272;15039;847
273;11870;4069
274;24338;7552
275;21336;2566
276;24636;7282
277;21730;2233
278;24405;7489
279;17699;6220
280;20616;3268
281;21450;2458
282;24165;7741
283;23801;127
284;23243;676
285;16711;7228
286;24073;7903
287;19285;4645
288;23220;8695
289;18890;5050
290;17272;6643
291;22879;1081
292;21066;2827
293;23449;514
294;21395;2521
295;22130;1774
296;21374;2557
297;10900;5005
298;13298;2683
299;25988;5968
300;21437;2422
301;12855;3079
302;25695;6283
303;18494;5509
304;21133;2845
305;24711;7291
306;17762;6148
307;18489;5428
308;19141;4771
309;23317;8632
310;20373;3592
311;17246;6733
312;21479;2467
313;13740;2134
314;15406;541
315;15803;8173
316;12885;3052
317;22983;8884
318;24974;6886
319;17467;6427
320;22998;8938
321;23520;8353
322;16638;7318
323;22821;1108
324;23537;361
325;19902;4006
326;23311;577
327;20563;3376
328;24969;6994
329;18775;5095
330;22267;1648
331;18256;5653
332;18690;5185
333;19947;3970
334;23232;8686
335;16973;6922
336;22904;9028
337;19185;4735
338;18354;5545
339;23450;487
340;23082;8875
341;21213;2665
342;16936;6976
343;18449;5446
344;17044;6832
345;21366;2602
346;14384;1549
347;19340;4636
348;22835;9073
349;18449;5473
350;13493;2395
351;13420;2503
352;15748;199
353;20695;3277
354;25588;6382
355;24755;7120
356;20189;3727
357;20358;3502
358;17709;6211
359;22803;9091
360;23018;8920
361;19658;4258
362;16443;7462
363;20980;2935
364;24425;7525
365;23793;172
366;23319;8614
367;19381;4537
368;20694;3223
369;16409;7480
370;16813;7057
371;22546;1432
372;18085;5833
373;24715;7210
374;23794;100
375;22201;1729
376;23531;8344
377;21782;2080
378;16493;7372
379;23421;8488
380;16753;7174
381;16496;7345
382;15942;7957
383;20107;3862
384;20273;3637
385;23532;397
386;19171;4726
387;23616;8326
388;17494;6445
389;23071;8893
390;19428;4447
391;18071;5878
392;21854;2116
393;22805;1099
394;18972;4951
395;23760;118
396;14547;1369
397;11364;4591
398;25730;6202
399;25314;6616
400;22371;1585
401;19695;4168
402;19801;4078
403;24041;7885
404;19851;4060
405;22564;1414
406;23945;8020
407;19226;4681
408;20655;3304
409;22132;1792
410;20174;3754
411;18806;5149
412;10715;5212
413;11111;4825
414;12737;3160
415;11847;4033
416;15699;8191
417;18941;4987
418;23767;8110
419;18814;5140
420;14381;1531
421;15448;478
422;13775;2152
423;20131;3718
424;23667;8281
425;25359;6571
426;22347;1558
427;24550;7309
428;23313;8605
429;22822;1126
430;19513;4384
431;22233;1684
432;23501;424
433;20293;3646
434;18089;5761
435;19109;4753
436;24691;7273
437;20281;3709
438;23652;280
439;17477;6472
440;23183;766
441;24318;7579
442;17022;6877
443;21151;2773
444;19593;4303
445;12152;3781
446;23077;8866
447;22021;2017
448;22220;1630
449;25423;6553
450;23252;622
451;22847;1036
452;24675;7327
453;20535;3313
454;19511;4375
455;17867;6058
456;19752;4150
457;21542;2413
458;11679;4267
459;15341;568
460;12404;3484
461;11945;3934
462;16071;7849
463;13489;2386
464;23713;8164
465;21078;2863
466;12347;3529
467;15242;730
468;13630;2242
469;24202;7714
470;25389;6544
471;22916;9046
472;22092;1828
473;23111;8812
474;22220;1693
475;17356;6508
476;15639;8245
477;19272;4654
478;16231;7759
479;18590;5392
480;23513;8416
481;22199;1720
482;23509;442
483;18128;5842
484;21634;2206
485;20656;3286
486;25589;6319
487;21171;2791
488;23017;910
489;22063;1864
490;18584;5383
491;25088;6841
492;18367;5527
493;18777;5203
494;23239;667
495;15091;874
496;11499;4393
497;22922;8974
498;18278;5662
499;14743;1207
500;12260;3655
501;25031;6958
502;20194;3736
503;14708;1180
504;11342;4564
505;25766;6112
506;23225;721
507;23298;8623
508;23361;8587
509;23019;937
510;18319;5626
511;23837;8092
512;19151;4717
513;17244;6724
514;17637;6292
515;19020;4897
516;20104;3817
517;20795;3124
518;18821;5032
519;23082;8857
520;23345;8578
521;19695;4213
522;22671;1297
523;19845;4087
524;19434;4456
525;22179;1756
526;20085;3826
527;24836;7111
528;18573;5410
529;24209;7660
530;17361;6562
531;15777;8200
532;20819;3106
533;23474;460
534;20020;3952
535;18800;5104
536;13975;1972
537;25877;6085
538;21873;2008
539;23958;7975
540;17457;6517
541;20899;3043
542;17321;6535
543;23358;559
544;12568;3403
545;24484;7399
546;21040;2962
547;20214;3664
548;11098;4843
549;10384;5554
550;10958;4969
551;23364;8533
552;12595;3322
553;11385;4510
554;23931;7948
555;24759;7165
556;20572;3340
557;17426;6463
558;17767;6094
559;19350;4627
560;25079;6868
561;23153;8722
562;16154;7750
563;22433;1540
564;19219;4672
565;19007;4888
566;20097;3844
567;20333;3583
568;17956;5923
569;10138;5815
570;15614;352
571;24135;7795
572;17757;6103
573;14043;1873
574;10518;5419
575;25682;6229
576;20020;3853
577;15803;136
578;14879;982
579;25268;6679
580;17751;6157
581;25712;6247
582;16582;7363
583;23588;325
584;18923;5059
585;10224;5635
586;24265;7651
587;24140;7804
588;18462;5536
589;23570;8362
590;21993;1954
591;19531;4420
592;18355;5581
593;17248;6661
594;22978;883
595;18871;5023
596;20527;3430
597;20948;2926
598;13414;2539
599;15427;532
600;26708;5221
601;23056;802
602;13432;2512
603;24372;7507
604;18253;5707
605;24344;7534
606;20781;3142
607;23379;8524
608;15903;7984
609;19270;4573
610;22967;1000
611;19536;4366
612;18195;5743
613;21131;2800
614;12299;3682
615;24387;7588
616;16977;6904
617;17939;5959
618;9802;6166
619;10913;4933
620;23500;8398
621;20017;3898
622;10112;5869
623;14640;1288
624;15560;415
625;23149;8731
626;13301;2638
627;24390;7561
