#Mode:;3
#Device:;trust_oni_wireless
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;22920;8947
1;24936;6895
2;23089;8803
3;24077;7822
4;15627;190
5;24011;7867
6;15798;8101
7;28844;3052
8;23728;8128
9;30981;883
10;23047;8866
11;19852;4060
12;27920;3943
13;21572;2323
14;30763;1099
15;26879;4924
16;23190;8713
17;30093;1702
18;19278;4600
19;31341;586
20;20955;2917
21;31470;433
22;15387;8506
23;25087;6787
24;29347;2629
25;15441;523
26;30988;847
27;20926;2980
28;29891;1990
29;23997;7786
30;24618;7273
31;24603;7354
32;20709;3196
33;30492;1297
34;23326;577
35;23312;8587
36;28098;3871
37;31250;658
38;29418;2476
39;19013;4897
40;24955;6931
41;20758;3124
42;27799;4087
43;25341;6535
44;23495;8407
45;29191;2710
46;21230;2764
47;30227;1720
48;18295;5617
49;30844;1036
50;30267;1603
51;30161;1765
52;29883;1981
53;15324;631
54;26849;5050
55;19996;3898
56;30378;1495
57;24098;7768
58;23364;8533
59;30256;1540
60;19017;4870
61;29889;1972
62;16217;7615
63;27328;4501
64;30784;1072
65;30060;1801
66;27823;4015
67;16402;7462
68;26882;5014
69;23564;370
70;26111;5806
71;30011;1873
72;23973;7831
73;30229;1666
74;18097;5734
75;27243;4663
76;16388;7534
77;30663;1270
78;29763;2134
79;31442;487
80;27557;4321
81;16356;7525
82;26122;5761
83;18479;5392
84;23382;8470
85;25119;6679
86;22792;9028
87;28562;3322
88;31621;8263
89;24720;7174
90;27783;4096
91;27442;4465
92;22729;1135
93;29328;2611
94;21101;2755
95;29981;1882
96;30378;1513
97;24488;7408
98;31384;505
99;18083;5833
100;25444;6517
101;15381;8497
102;29693;2197
103;29235;2602
104;24262;7633
105;22819;9055
106;22795;1081
107;26500;5401
108;20145;3718
109;29583;2215
110;24496;7336
111;31052;811
112;27770;4204
113;21697;2242
114;24854;7039
115;21103;2845
116;24132;7759
117;18031;5851
118;29822;2089
119;30637;1243
120;29372;2530
121;23088;8767
122;23546;316
123;30377;1504
124;18354;5446
125;24863;6958
126;28671;3286
127;30894;982
128;28897;3034
129;19533;4366
130;26938;4978
131;22484;1360
132;23871;8092
133;26434;5518
134;27082;4807
135;23591;8299
136;20685;3178
137;30483;1468
138;20818;3079
139;29784;2062
140;19345;4618
141;31198;703
142;27635;4222
143;27979;3952
144;31787;109
145;23471;388
146;29589;2206
147;21575;2278
148;31123;721
149;25816;6076
150;27511;4393
151;31595;280
152;18626;5329
153;28343;3529
154;15624;8209
155;25352;6526
156;25355;6472
157;26706;5212
158;30078;1774
159;20344;3574
160;30110;1783
161;23354;442
162;29856;2098
163;28673;3304
164;31175;649
165;27390;4510
166;21527;2395
167;23070;8821
168;17941;5878
169;23441;8461
170;22002;1945
171;26106;5815
172;25696;6202
173;25172;6688
174;29495;2386
175;23577;289
176;26341;5608
177;15851;8119
178;29879;2017
179;27217;4681
180;26455;5410
181;26818;5086
182;18956;4933
183;30035;1855
184;17111;6715
185;24533;7318
186;25617;6283
187;27549;4348
188;26009;5905
189;16794;7048
190;31187;712
191;15478;8389
192;27987;3934
193;18897;5005
194;29514;2368
195;30727;1162
196;15176;730
197;30897;991
198;17767;6139
199;29042;2899
200;25728;6238
201;15373;532
202;30880;964
203;20245;3547
204;28335;3466
205;24238;7669
206;26124;5779
207;26161;5707
208;16512;7390
209;29545;2332
210;22281;1558
211;27649;4249
212;27186;4654
213;25893;5986
214;22980;8920
215;28629;3259
216;26528;5266
217;16386;7480
218;22866;9073
219;21623;2269
220;25594;6310
221;27412;4483
222;24541;7291
223;31105;748
224;20678;3223
225;25697;6211
226;20784;3070
227;26715;5158
228;24959;6886
229;23253;8623
230;28149;3754
231;16938;6967
232;24688;7255
233;22441;1387
234;29230;2665
235;30595;1306
236;28655;3241
237;31459;451
238;25780;6103
239;28731;3106
240;22951;955
241;25446;6355
242;20415;3385
243;26702;5203
244;24869;7066
245;30258;1639
246;29050;2872
247;16516;7372
248;24264;7660
249;15896;8020
250;27286;4582
251;24302;7579
252;28642;3250
253;24594;7300
254;23716;100
255;26461;5482
256;15668;8227
257;26606;5320
258;19113;4798
259;23694;8200
260;27579;4276
261;28981;2890
262;27343;4537
263;18587;5293
264;29215;2674
265;18625;5275
266;23769;8110
267;29897;1909
268;31026;874
269;29216;2683
270;22573;1333
271;26020;5923
272;20857;3025
273;25333;6562
274;28062;3835
275;26743;5149
276;25102;6742
277;23116;784
278;25509;6292
279;21287;2521
280;27453;4438
281;31798;145
282;29651;2260
283;24312;7588
284;18683;5257
285;23512;8380
286;18107;5770
287;31305;541
288;23707;199
289;23944;7957
290;30695;1198
291;25084;6796
292;23348;8488
293;20400;3601
294;29380;2539
295;18147;5743
296;28939;2944
297;29470;2503
298;29551;2341
299;24796;7084
300;31204;8677
301;28567;3358
302;16411;7489
303;29651;2251
304;21758;2125
305;27202;4762
306;24730;7111
307;26975;4942
308;27404;4411
309;23386;8578
310;26712;5194
311;16351;7570
312;31289;568
313;16292;7561
314;28315;3556
315;27843;4051
316;26794;5104
317;30937;1000
318;19921;3979
319;27661;4168
320;18242;5572
321;27977;3916
322;29596;2296
323;25441;6463
324;27877;4033
325;20773;3115
326;31519;406
327;19895;4042
328;23190;8740
329;18653;5248
330;28855;2998
331;31077;829
332;26589;5230
333;31489;415
334;21118;2701
335;28947;2962
336;17847;6121
337;26768;5131
338;28409;3502
339;29251;2638
340;26813;5113
341;23557;298
342;23672;8191
343;21897;1999
344;28843;3007
345;23887;7948
346;26367;5500
347;31442;478
348;26467;5437
349;30297;1531
350;16653;7192
351;22921;8974
352;20700;3187
353;30338;1459
354;22916;9001
355;15391;469
356;24735;7138
357;17911;5968
358;25253;6544
359;23837;8047
360;25812;6085
361;29737;2224
362;18115;5752
363;29326;2575
364;21875;2071
365;27023;4852
366;15134;8785
367;31744;127
368;29923;1963
369;30903;910
370;27305;4591
371;18856;4969
372;23013;8857
373;14860;8992
374;25463;6445
375;27785;4114
376;24055;7840
377;25032;6832
378;23534;379
379;28215;3673
380;22479;1405
381;25216;6670
382;26413;5428
383;31116;775
384;23959;7966
385;27282;4609
386;29350;2548
387;22243;1612
388;29394;2566
389;16269;7624
390;25538;6400
391;29837;2008
392;30970;928
393;23052;8794
394;30967;8929
395;25496;6454
396;22241;1693
397;27537;4312
398;22430;1369
399;24036;7894
400;24394;7507
401;27579;4294
402;30926;919
403;30618;1252
404;29045;2854
405;17486;6409
406;27818;4069
407;21867;2035
408;25822;6067
409;27793;3997
410;23733;8164
411;26815;5059
412;20139;3736
413;23450;8398
414;16970;6913
415;28965;2881
416;27566;4285
417;23893;7984
418;28547;3394
419;21471;2413
420;28584;3313
421;14968;8812
422;27398;4375
423;22571;1315
424;26333;5554
425;23294;8596
426;25641;6328
427;29989;1918
428;23052;865
429;23492;8344
430;23459;460
431;28079;3781
432;26984;4906
433;25049;6850
434;27616;4303
435;16914;7003
436;25793;6157
437;17487;6319
438;27520;4456
439;23657;172
440;26094;5725
441;24963;6940
442;24158;7714
443;23749;8155
444;15924;8002
445;25723;6220
446;23680;217
447;29919;1936
448;24455;7498
449;28081;3799
450;28680;3151
451;27560;4240
452;30648;1216
453;20017;3880
454;25441;6382
455;23101;793
456;24044;7858
457;27512;4402
458;27998;3853
459;30578;1324
460;20003;3907
461;23410;8425
462;16755;7156
463;24298;7552
464;27838;3970
465;24444;7453
466;26131;5689
467;25815;6094
468;25192;6733
469;20419;3475
470;26791;5140
471;20943;2953
472;24535;7345
473;23564;8281
474;29095;2782
475;25927;5959
476;31384;8569
477;30079;1738
478;18179;5635
479;24970;6922
480;18368;5536
481;28498;3448
482;18219;5662
483;27060;4888
484;27750;4150
485;15519;334
486;26384;5527
487;17746;6040
488;31209;685
489;30101;1711
490;31248;613
491;24721;7129
492;20547;3340
493;24536;7309
494;21199;2719
495;31506;343
496;30536;1351
497;24944;6949
498;26299;5644
499;29360;2485
500;26439;5473
501;19377;4555
502;28301;3493
503;23511;325
504;28205;3655
505;23063;8839
506;23187;8731
507;28460;3367
508;20859;3016
509;24121;7741
510;23008;901
511;30828;1018
512;24256;7750
513;28678;3133
514;25443;6499
515;30418;1378
516;27123;4771
517;22451;1441
518;26324;5581
519;15238;8668
520;24658;7246
521;24477;7417
522;25216;6616
523;22988;8893
524;18258;5626
525;26697;5176
526;20999;2908
527;23188;8632
528;23205;8686
529;31721;181
530;26822;5032
531;27509;4384
532;25280;6598
533;22302;1585
534;24485;7399
535;23271;676
536;23843;8011
537;27788;4105
538;26695;5239
539;26200;5599
540;16887;7093
541;29812;2080
542;15192;8704
543;25056;6841
544;23066;838
545;23802;8083
546;30105;1729
