#Mode:;3
#Device:;unicomp
#Button:;11
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;13221;2629
1;11162;4753
2;10535;5248
3;18924;4960
4;15497;388
5;11392;4429
6;8959;6895
7;12012;3979
8;10600;5185
9;11939;3943
10;15713;154
11;8666;7174
12;13254;2539
13;6864;9010
14;10403;5473
15;13253;2656
16;14635;964
17;15738;118
18;14030;1837
19;12516;3349
20;11733;4051
21;12129;3754
22;13454;2413
23;14127;1711
24;7026;8821
25;14705;1207
26;14142;1612
27;16782;7066
28;10332;5563
29;14751;1081
30;7568;8272
31;7468;406
32;13016;2791
33;8257;7597
34;13564;2323
35;9674;6247
36;7533;343
37;12404;3457
38;11187;4672
39;7716;8191
40;6796;1027
41;11579;4267
42;9562;6301
43;12450;3466
44;13970;1936
45;9268;6589
46;12349;3574
47;7941;7930
48;6972;955
49;13843;1990
50;14113;1792
51;12696;3061
52;9802;6058
53;15198;721
54;12822;3043
55;12477;3421
56;7551;226
57;8207;7723
58;13171;2692
59;11383;4456
60;13416;2395
61;9812;6175
62;8267;7570
63;14979;901
64;15092;748
65;8210;7678
66;8833;7057
67;8634;7264
68;11817;4600
69;10821;5023
70;15400;460
71;10799;5104
72;12412;3502
73;15677;199
74;7137;8785
75;14558;1288
76;12737;3124
77;10166;5716
78;11920;4114
79;12532;3340
80;9279;6598
81;12560;3331
82;8367;7534
83;9523;6400
84;9594;6292
85;8623;7237
86;9618;6256
87;18850;5059
88;13400;2512
89;13325;2566
90;8976;6796
91;15333;532
92;7646;8209
93;9248;6625
94;7024;8857
95;12856;3025
96;15557;307
97;6935;8911
98;11518;4357
99;7022;865
100;13771;2071
101;11611;4249
102;10617;5329
103;5557;2296
104;9632;6229
105;10731;5113
106;14623;1252
107;21967;1918
108;13287;2620
109;10410;5464
110;13552;2431
111;13788;2080
112;15183;712
113;11497;4384
114;7988;7894
115;9348;6508
116;13200;2683
117;11989;3889
118;12033;3835
119;11771;4078
120;13703;2188
121;12185;3709
122;10616;5275
123;8880;6985
124;7291;8596
125;10505;5401
126;7437;8425
127;12438;3439
128;17588;6283
129;14224;1684
130;14289;1567
131;12404;3493
132;9356;6526
133;13614;2278
134;15943;8011
135;15637;163
136;7918;7957
137;7134;8776
138;15067;811
139;14486;1477
140;13723;2143
141;12168;3664
142;12829;3052
143;13712;2170
144;9507;6373
145;14265;1594
146;12614;3277
147;12710;3196
148;9913;5977
149;15234;640
150;13800;2098
151;10864;5014
152;13451;2440
153;9623;6274
154;8580;7327
155;14151;1774
156;11020;4879
157;13108;2764
158;8130;7921
159;13551;2332
160;9645;6238
161;11423;4438
162;8849;7021
163;12434;3511
164;12986;2944
165;7489;8416
166;10229;5572
167;15833;8047
168;11076;4798
169;12363;3538
170;12268;3583
171;11764;4123
172;14616;1270
173;14925;982
174;13340;2548
175;14954;937
176;10312;5554
177;9085;6814
178;11979;3925
179;12240;3628
180;8525;7354
181;11298;4555
182;10776;5122
183;15096;793
184;10996;4897
185;9283;6580
186;13929;1945
187;13883;2017
188;10371;5491
189;6973;8902
190;8310;7561
191;14057;1828
192;14801;1054
193;13906;1972
194;12715;3187
195;12643;3241
196;15220;8641
197;9576;6337
198;12796;3079
199;12732;3151
200;5863;2026
201;21203;2665
202;12030;3853
203;10253;5617
204;12603;3286
205;11720;4159
206;9472;6409
207;15529;289
208;13233;2647
209;20643;3259
210;15521;352
211;9253;6643
212;8343;7435
213;10400;5509
214;15408;514
215;11192;4663
216;12453;3394
217;13151;2719
218;10006;5923
219;11785;4087
220;15109;8767
221;8147;7741
222;13369;2494
223;8456;7408
224;10586;5338
225;10405;5455
226;14092;1783
227;11300;4546
228;10842;5041
229;12416;3484
230;12901;2962
231;9123;6787
232;8671;7192
233;8519;7381
234;15690;8299
235;11709;4195
236;12014;3862
237;12888;2980
238;15435;424
239;7359;8497
240;10569;5311
241;7497;8389
242;13135;2773
243;6434;1432
244;10719;5176
245;13984;1909
246;12080;3799
247;11434;4447
248;10735;5131
