#Mode:;3
#Device:;wingman
#Button:;288
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;7076;8776
1;8843;7075
2;6731;1153
3;4518;3394
4;4001;3898
5;6039;1909
6;2225;5671
7;8082;7858
8;7730;127
9;1632;6274
10;6546;1342
11;4824;3070
12;2962;4978
13;4788;3106
14;1058;6850
15;6869;1036
16;4039;3853
17;5997;1900
18;6598;1306
19;6869;1027
20;5849;2008
21;7253;8686
22;3061;4861
23;4377;3529
24;4476;3421
25;1912;5977
26;1432;6499
27;2582;5347
28;1630;6346
29;4969;2881
30;5341;2503
31;2378;5473
32;7135;775
33;6891;1018
34;2378;5527
35;4459;3385
36;4152;3799
37;6789;1126
38;4714;3205
39;8071;7822
40;8377;7543
41;7490;424
42;6063;1837
43;5110;2827
44;6885;991
45;1957;5905
46;5618;2332
47;4035;3871
48;1962;5932
49;9080;6868
50;2484;5455
51;5632;2269
52;6911;973
53;7242;667
54;7075;8866
55;7789;109
56;1149;6751
57;7377;568
58;4954;2989
59;6332;1567
60;5474;2395
61;5438;2458
62;8327;7624
63;8656;7183
64;2412;5491
65;4754;3133
66;2326;5626
67;3934;3916
68;8271;7588
69;2671;5221
70;3072;4834
71;7717;8182
72;4225;3637
73;7630;271
74;8703;7192
75;7334;8587
76;4569;3277
77;3714;4195
78;2768;5068
79;5465;2422
80;7464;8407
81;6901;1063
82;8101;7759
83;3526;4375
84;8369;7480
85;8321;7534
86;7338;8515
87;7608;8299
88;8874;7003
89;2478;5410
90;6647;1225
91;7938;7993
92;6423;1486
93;8750;7147
94;1096;6769
95;7195;730
96;7343;559
97;4743;3187
98;7370;541
99;7484;469
100;7542;433
101;2762;5140
102;1059;6859
103;7836;8083
104;8001;7813
105;4707;3196
106;2106;5824
107;3081;4816
108;3155;4690
109;1741;6157
110;1367;6598
111;2696;5167
112;2863;5086
113;6933;8974
114;6468;1378
115;1546;6292
116;6289;1576
117;6942;1045
118;1181;6778
119;7424;8479
120;2771;5023
121;7816;8092
122;3749;4069
123;3719;4186
124;3271;4591
125;7716;226
126;7749;8101
127;6514;1396
128;3354;4555
129;4316;3619
130;3721;4132
131;6904;9001
132;2475;5419
133;4573;3376
134;7929;7984
135;1566;6382
136;1808;6103
137;6890;955
138;2578;5266
139;7440;8425
140;3179;4708
141;8016;7885
142;2394;5509
143;7629;8218
144;5931;1972
145;7348;496
146;9296;6589
147;2924;4987
148;7145;8758
149;5652;2260
150;3371;4546
151;4634;3268
152;3453;4429
153;1930;5995
154;3467;4456
155;3256;4636
156;7369;577
157;6189;1711
158;7427;487
159;7102;802
160;2672;5239
161;3858;4141
162;2574;5329
163;7051;8857
164;3162;4726
165;5723;2188
166;6674;1216
167;5724;2224
168;3064;4780
169;2486;5482
170;8584;7399
171;6765;1207
172;1865;6031
173;7518;8326
174;7294;622
175;7129;820
176;2826;5077
177;4330;3646
178;7730;8137
179;8072;7903
180;6117;1774
181;6090;1801
182;8963;7021
183;3541;4501
184;4035;3862
185;1456;6463
186;1192;6670
187;3187;4744
188;5552;2251
189;961;6967
190;3822;4123
191;3042;4897
192;5066;2926
193;8854;7084
194;3819;4114
195;2042;5860
196;7130;838
197;2142;5707
198;5961;1945
199;5461;2449
200;1905;5986
201;7459;352
202;5648;2296
203;6871;9019
204;9383;6607
205;8965;6958
206;3673;4213
207;7114;811
208;7602;235
209;2120;5779
210;2803;5113
211;6987;8929
212;4497;3358
213;4851;3034
214;2616;5203
215;5301;2593
216;4294;3565
217;9066;6832
218;3191;4654
219;2325;5653
220;5346;2629
221;5457;2377
222;8775;7174
223;5440;2467
224;3158;4681
225;2071;5851
226;5719;2179
227;6297;1621
228;3279;4627
229;4763;3151
230;7006;901
231;8211;7642
232;5034;2854
233;7730;8191
234;5080;2764
235;7285;604
236;8967;6931
237;7605;325
238;7548;8353
239;8477;7453
240;3050;4843
241;5931;1963
242;1478;6391
243;5348;2557
244;3959;3925
245;7576;370
246;1854;6058
247;4301;3592
248;4495;3403
249;7066;8785
250;2139;5752
251;8314;7507
252;4124;3817
253;6112;1783
254;4591;3349
255;6771;1081
256;6290;1612
257;7483;8416
258;5346;2476
259;7902;7939
260;2095;5815
261;7608;298
262;1841;6094
263;5138;2737
264;4832;3088
265;3677;4204
266;4249;3556
267;3600;4258
268;3732;4159
269;8413;7417
270;5416;2530
271;4884;3007
272;3261;4618
273;4418;3484
274;4577;3367
275;7724;172
