#Mode:;3
#Device:;xbox360_wired
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;12881;3007
1;6990;910
2;4007;7930
3;5941;1981
4;11565;8173
5;10515;1378
6;3871;8047
7;6718;1171
8;11296;8560
9;10633;1279
10;10634;5284
11;5893;2017
12;7413;496
13;10011;5887
14;8172;3745
15;6776;1135
16;9452;6517
17;9337;2584
18;6664;1252
19;6900;1036
20;7741;199
21;6073;1837
22;6915;5005
23;7823;8110
24;6275;1648
25;3203;8704
26;6320;1621
27;5987;5941
28;9275;2665
29;12301;3619
30;7178;8794
31;6948;5032
32;8636;3250
33;7178;8740
34;10417;5500
35;4606;7318
36;6223;1693
37;7679;253
38;7384;4537
39;5421;2494
40;11463;8461
41;5264;6643
42;11813;4114
43;5391;2512
44;8508;3430
45;6098;1819
46;8991;2944
47;9159;2764
48;7763;172
49;8375;3547
50;10032;1954
51;6161;1765
52;11526;8434
53;10921;1009
54;8428;3502
55;8111;7795
56;5776;2134
57;7004;4933
58;11679;4339
59;6834;9091
60;5973;5950
61;6264;5635
62;12823;3070
63;7322;595
64;9647;2251
65;12632;3268
66;8360;7561
67;7356;4555
68;6105;1810
69;4903;2998
70;6400;1522
71;4338;3592
72;9934;5977
73;12075;3835
74;10415;1513
75;4873;7048
76;10467;5446
77;8440;7480
78;5924;5995
79;9641;2260
80;12042;3880
81;9460;6508
82;7707;4186
83;6870;1054
84;4438;3484
85;9556;2377
86;11883;4042
87;7715;8182
88;7836;4105
89;7521;388
90;7211;685
91;6344;1558
92;8193;7714
93;4872;7066
94;8180;3754
95;7765;8137
96;9608;6319
97;9694;2215
98;6140;1792
99;9952;5959
100;9640;2296
101;12257;3646
102;10965;4960
103;11186;8731
104;5134;6778
105;7157;748
106;11098;4834
107;11465;460
108;11309;8587
109;4757;7147
110;10984;4879
111;6640;1288
112;7143;4762
113;8740;7174
114;10736;5194
115;9490;2413
116;7513;4411
117;12551;3340
118;11723;4213
119;10418;1504
120;9430;2467
121;11534;4384
122;5809;2089
123;6797;1126
124;10055;5860
125;4604;7336
126;5783;6130
127;10947;4996
128;5879;2035
129;6443;1468
130;7062;865
131;11519;4393
132;8972;6940
133;9576;2350
134;6081;5833
135;7208;766
136;9319;2575
137;7040;4870
138;13103;2809
139;6432;1477
140;8477;3466
141;9129;6715
142;11559;4348
143;10827;1081
144;6664;5239
145;8898;7003
146;5676;2224
147;6080;5842
148;7553;8344
149;9928;5968
150;6710;5185
151;6465;5464
152;10540;5302
153;5872;2062
154;7310;4636
155;8886;7021
156;6569;1342
157;7444;4447
158;6177;1729
159;5644;6274
160;5746;2152
161;7103;883
162;7040;838
163;9653;2278
164;6829;1090
165;9046;6850
166;8960;2926
167;6068;5851
168;7346;568
169;5709;6211
170;4093;7822
171;6049;1864
172;8932;2989
173;5391;6535
174;11896;4069
175;11587;4321
176;11472;8416
177;3239;676
178;6605;1315
179;11188;8695
180;8571;3349
181;6683;1243
182;8623;7300
183;10014;1918
184;6963;4951
185;6014;1900
186;9490;2431
187;5919;6022
188;6680;1189
189;9478;2440
190;8702;3205
191;7875;8056
192;10028;1909
193;11260;8641
194;5459;6472
195;6468;1450
196;4589;7408
197;4759;7165
198;5956;1945
199;11328;8596
200;4444;7399
201;10139;1801
202;7617;307
203;4676;7219
204;6389;1540
205;7799;8128
206;9183;2800
207;4190;7723
208;10510;5428
209;6206;1747
210;3045;8875
211;7239;8677
212;9655;6247
213;9379;2476
214;4652;7264
215;12645;3286
216;7762;163
217;8158;3763
218;10863;5068
219;4308;3601
220;9412;6427
221;9288;6634
222;11113;8821
223;5750;6148
224;7677;4258
225;6569;1351
226;6511;5410
227;8226;3682
228;8866;7039
229;8652;7255
230;11717;8209
231;3455;478
232;7538;8380
233;10704;5212
234;11924;7984
235;8752;3160
236;7761;4159
237;6763;1153
238;7328;4582
239;8272;3655
240;12490;3421
241;8567;7363
242;10257;1666
243;6779;5122
244;10304;5608
245;6175;1720
246;7825;100
247;5072;2845
248;3628;8236
249;10354;5554
250;12533;7381
251;11482;469
252;8817;3088
253;9216;6688
254;12459;3475
255;11558;8362
256;3644;280
257;9443;6463
258;4962;2953
259;11046;8866
260;7771;4141
261;12050;3871
262;7232;8668
263;6538;5365
264;7151;847
265;5584;2332
266;9542;2422
267;7702;8227
268;11590;4330
269;5439;6490
270;7603;4312
271;7705;8218
272;4113;3808
273;7289;631
274;10983;4942
275;9037;2881
276;6141;1774
277;9337;6580
278;5353;6553
279;8517;7417
280;5166;2746
281;7458;4465
282;12009;3925
283;4874;3043
284;4902;7012
285;5544;2386
286;6454;5482
287;8720;3187
288;12281;3610
289;5113;2782
290;6652;1261
291;7803;118
292;9840;2098
293;8628;7291
294;4993;2917
295;6579;5338
296;12486;3448
297;11893;4033
298;5891;6076
299;6838;5086
300;9413;6526
301;5998;1927
302;7568;352
303;8179;7750
304;8104;3817
305;6770;1144
306;4656;3241
307;6062;1855
308;11396;4519
309;8125;3862
310;6847;9055
311;11458;4474
312;9290;2638
313;7655;271
314;7331;8614
315;5820;6121
316;8358;3556
317;11877;4015
318;9505;6481
319;9057;2872
320;6096;5815
321;11126;4789
322;11779;4150
323;10834;9082
324;4412;7507
325;10944;8974
326;6545;1369
327;7568;8308
328;5044;6877
329;6387;5563
330;11417;4402
331;6334;1576
332;7280;649
333;5059;2854
334;7400;541
335;11799;4123
336;11029;8884
337;5218;6697
338;4425;7489
339;11941;3970
340;7287;4627
341;6711;1207
342;5379;2539
343;8098;3826
344;10144;5788
345;7116;802
346;7220;4708
347;9097;6832
348;8335;7588
349;5691;6301
350;11075;8839
351;11179;8758
352;7009;4924
353;9696;6202
354;7716;190
355;3831;8092
356;9881;6085
357;11754;4168
358;4836;7084
359;7272;4663
360;7278;640
361;3014;901
362;10401;5518
363;8349;7570
364;3917;8002
365;7111;4771
366;5256;2656
367;3803;8119
368;7210;721
369;9722;6184
370;6656;5248
371;7456;8452
372;9145;6769
373;11928;7993
374;7943;3979
375;8131;3790
376;9868;6040
377;11723;4204
378;12025;7894
379;11113;811
380;10961;8956
381;7030;4888
382;10508;5392
383;7217;730
384;9469;2449
385;7577;8317
386;7530;8335
387;7960;3961
388;5120;6796
389;11528;4375
390;6339;1567
391;8828;3097
392;11969;3952
393;7367;550
394;5105;6814
395;12053;3934
396;9684;6238
397;10530;1459
398;10221;5707
399;8352;7579
400;11388;8542
401;7355;4564
402;4254;7633
403;10516;5383
404;10660;5275
405;11224;8686
406;10867;9073
407;11125;775
408;4295;7597
409;9561;6364
410;8370;7543
411;5977;5923
412;7485;442
413;9129;6805
414;10945;973
415;7379;4546
416;8473;7444
417;10118;5797
418;8121;3799
419;7630;289
420;4738;3178
421;6744;5176
422;12222;3700
423;9646;6265
424;6338;5590
425;9985;5932
426;7206;712
427;8038;3907
428;8288;7642
429;4999;2935
430;8087;3844
431;8965;6949
432;10918;5014
433;11549;8398
434;5259;6652
435;7623;4285
436;7402;8524
437;10287;5671
438;5459;6499
439;8221;3709
440;10193;5725
441;9500;6400
442;10175;1756
443;5187;6724
444;12197;3736
445;11736;4177
446;11012;8893
447;5586;6346
448;6302;5644
449;11273;4654
450;7395;514
451;4887;7030
452;6871;1045
453;7206;4735
454;12008;3916
455;12473;3457
456;7230;4699
457;6800;5104
458;7672;8326
459;10959;4978
460;8567;3376
461;6202;5716
462;10430;5374
463;10383;5527
464;7078;4852
465;6284;1630
466;10059;5869
467;9889;2044
468;4461;7453
469;7099;8812
470;4866;2971
471;5003;6922
472;7694;235
473;11052;8902
474;8405;3511
475;6248;5680
476;7712;8191
477;7233;667
478;5913;6004
479;4909;3025
480;4773;7183
481;3339;8569
482;5305;2611
483;7607;325
484;5135;2773
485;7159;829
486;7920;8020
487;9820;6103
488;5760;6175
489;3659;8281
490;9252;6670
491;6341;1585
492;5472;6454
493;10857;5059
494;11434;4483
495;9809;2116
496;5996;5896
497;5671;2242
498;5004;6886
499;8195;3727
500;8731;7237
501;6838;1099
502;7250;4672
503;8154;7768
504;10641;5266
505;7652;4267
506;7409;4492
507;10337;5581
508;6666;1225
509;5754;6166
510;5285;2602
511;7201;4726
512;5777;2107
513;7621;316
514;12880;3016
515;6033;1882
516;12404;7516
517;10526;1414
518;4824;7093
519;7780;136
520;8256;3673
521;6936;4987
522;11116;4798
523;6983;8947
524;4646;7273
525;5484;6418
526;5511;2395
527;7591;4429
528;7003;928
529;6194;1657
530;7867;4060
531;7882;8011
532;4839;3124
533;9109;2827
534;7697;208
535;4600;7327
536;3278;8605
537;8788;7111
538;8094;7903
539;10524;1423
540;9199;2728
541;10522;5356
542;10182;5806
543;10030;1891
544;10870;5041
545;5756;2161
546;11109;8830
547;6022;5905
548;12956;2980
549;5850;2008
550;5859;6112
551;13122;2818
552;6933;955
553;4106;7804
554;12593;3331
555;9677;6193
556;6854;5131
557;6527;1405
558;12019;3853
559;3523;379
560;11299;4618
561;10209;5662
562;10443;1495
563;4515;7390
564;12247;3691
