#Mode:;3
#Device:;xbox360_wireless
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6498;8857
1;10365;5131
2;12271;2476
3;8775;6832
4;8597;7327
5;13182;739
6;13234;3259
7;10827;3331
8;12127;1531
9;10410;3448
10;7811;7534
11;10004;5680
12;10122;5842
13;7129;1036
14;9697;6463
15;11815;4600
16;11426;5149
17;12224;3466
18;11328;4816
19;7164;8515
20;7921;7993
21;14998;1504
22;7158;748
23;10002;5896
24;10982;5518
25;14046;1558
26;13505;2872
27;12699;3610
28;8050;7885
29;15041;1135
30;10824;3376
31;12887;3880
32;9097;6850
33;13865;2683
34;14697;2080
35;11804;5005
36;8093;316
37;10182;5770
38;14540;1108
39;13027;5590
40;12975;2953
41;12737;4015
42;12871;2593
43;13391;3412
44;13188;3646
45;13240;3574
46;9675;6220
47;8178;8407
48;13302;4114
49;13750;2233
50;8978;7822
51;9814;6184
52;9955;6805
53;14480;928
54;14074;2350
55;8685;8074
56;12222;4537
57;14002;1936
58;7411;1072
59;7830;8965
60;10223;5329
61;13707;3079
62;11535;3898
63;7259;8668
64;13325;3511
65;12821;2206
66;14389;1567
67;8947;6679
68;7512;964
69;14894;1054
70;7114;1324
71;11617;4825
72;11585;4978
73;12687;3196
74;8271;8254
75;14476;1720
76;13982;1378
77;14547;1351
78;7085;334
79;13835;2971
80;9631;6022
81;11548;4420
82;12189;3475
83;14192;1792
84;13903;1126
85;9268;6922
86;14902;1630
87;11333;5410
88;9998;6481
89;11344;7183
90;12019;3871
91;11358;5446
92;13393;1891
93;12495;3709
94;11868;4717
95;12861;2773
96;12976;2701
97;7600;595
98;13124;3628
99;8548;7813
100;9288;6607
101;9716;6517
102;7767;505
103;14040;1468
104;8184;244
105;12475;4321
106;13451;2188
107;9040;4627
108;6817;532
109;13336;3484
110;11677;3106
111;8574;6994
112;7533;883
113;11908;6616
114;7034;847
115;8491;7426
116;11184;2719
117;7775;640
118;10347;5077
119;8512;7336
120;11168;2998
121;14547;1540
122;11923;3547
123;10768;3151
124;7668;1162
125;14289;1648
126;10056;5824
127;8658;6886
128;7922;7714
129;7029;9091
130;7969;163
131;9982;5986
132;7226;910
133;10555;5581
134;11382;2566
135;7000;8722
136;12302;1225
137;8287;7570
138;7088;1063
139;11182;2764
140;7082;8353
141;10201;3727
142;11443;1828
143;7411;514
144;7438;8704
145;15207;1585
146;9273;5122
147;12210;1738
148;14649;1846
149;10185;6337
150;14963;1756
151;9844;3826
152;6360;712
153;6722;8956
154;9935;6877
155;9118;9082
156;10997;3241
157;8434;7264
158;6987;8866
159;11473;2449
160;10919;3601
161;8554;271
162;9035;4357
163;8067;145
164;9273;7507
165;7597;3394
166;7005;3493
167;7922;8146
168;12142;2692
169;12090;2098
170;7759;8173
171;9936;4042
172;10044;6094
173;9792;3889
174;10392;5491
175;11633;4249
176;9272;6625
177;13027;8587
178;7396;7975
179;8236;7678
180;10234;3745
181;7845;8380
182;8780;6931
183;11861;1171
184;10012;3385
185;11527;4708
186;10436;6049
187;11958;2602
188;10179;5545
189;6996;955
190;9391;3637
191;11538;5257
192;11375;2548
193;7317;343
194;9213;7237
195;11716;1684
196;8496;6904
197;9336;7201
198;9186;6733
199;7405;802
200;11636;2737
201;8501;7417
202;10029;7642
203;7087;8461
204;10188;4276
205;11259;5536
206;8649;1279
207;11521;2467
208;8572;8200
209;8601;7111
210;8345;8245
211;12452;4177
212;9910;4870
213;9555;6283
214;7223;730
215;7757;8794
216;11496;4501
217;8581;2323
218;6910;757
219;9487;4456
220;9515;4384
221;13242;703
222;6585;1315
223;9894;5806
224;10150;4924
225;11116;4762
226;8953;1486
227;10778;2278
228;12406;8002
229;11823;1855
230;7683;8182
231;10815;4636
232;10439;2926
233;9779;4519
234;10716;3187
235;11894;1783
236;10397;4132
237;7242;9073
238;10971;3358
239;9795;3232
240;10941;5374
241;12579;1999
242;10086;5392
243;8426;8065
244;11312;3142
245;10483;2557
246;11380;3070
247;11897;1765
248;12439;1918
249;8682;7210
250;8028;8164
251;12751;8767
252;10731;3178
253;11030;4474
254;10728;6058
255;12235;1945
256;8989;6940
257;8016;7012
258;12147;2440
259;8420;6589
260;9700;7120
261;12079;2242
262;11875;2062
263;7673;7372
264;11071;3277
265;9090;4780
266;10492;5455
267;9746;4150
268;7388;7921
269;13621;2881
270;11737;3754
271;6746;8308
272;11911;2620
273;10009;5653
274;11199;3367
275;9897;5662
276;6419;676
277;10215;5716
278;8220;6814
279;6696;388
280;7656;8236
281;10171;6031
282;10785;2260
283;7165;8326
284;10409;5158
285;11896;2053
286;10236;4204
287;12494;9055
288;11524;2458
289;6802;8299
290;14307;7876
291;12052;982
292;9180;3817
293;11404;2026
294;8017;181
295;10844;4807
296;10283;6256
297;11051;3124
298;6752;901
299;12126;2071
300;11346;4582
301;11997;4771
302;10919;6697
303;8546;7102
304;8518;7597
305;10547;3907
306;9951;6247
307;9792;6346
308;9501;4942
309;8285;8524
310;13116;3520
311;13100;2710
312;15141;8812
313;14674;1576
314;13821;8470
315;15479;469
316;11696;3682
317;10266;5905
318;7755;154
319;9185;6724
320;11671;1189
321;11472;4735
322;14422;1972
323;10587;6229
324;12788;568
325;7938;7363
326;7846;8893
327;15083;865
328;12927;3718
329;14027;1729
330;11488;3529
331;14156;1981
332;17071;7435
333;16721;7849
334;14174;1081
335;12392;3097
336;13719;2152
337;12833;3691
338;11592;4294
339;14911;7606
340;10928;5878
341;12550;3556
342;15520;8911
343;15297;559
344;11264;4141
345;13494;2647
346;15865;307
347;11704;5086
348;7656;550
349;9510;4879
350;6746;3403
351;11172;6508
352;10176;5302
353;10025;3934
354;15329;1243
355;10023;6292
356;16370;5104
357;7349;1495
