#Mode:;3
#Device:;xboxone_wireless
#Button:;311
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;11378;3799
1;11296;3889
2;7407;7795
3;6065;235
4;6414;8821
5;6572;1036
6;5306;8596
7;7938;7219
8;12388;2800
9;4551;2971
10;7847;7300
11;6231;7723
12;6322;1180
13;5573;1963
14;7431;7741
15;5864;1801
16;11631;3565
17;5325;2269
18;6602;919
19;6283;2638
20;11954;3133
21;10302;4915
22;6138;9010
23;8200;5725
24;5994;1576
25;5617;1972
26;5173;1081
27;6597;8569
28;8804;6418
29;9775;5392
30;6934;658
31;5448;2125
32;7038;550
33;4623;2881
34;7563;7642
35;7288;271
36;9213;5860
37;6274;1315
38;4933;2566
39;11517;3538
40;12123;3043
41;7535;7687
42;5343;2242
43;8896;5005
44;8795;6319
45;7118;442
46;5604;1981
47;10817;4339
48;11970;3196
49;10569;4546
50;7038;523
51;5456;2071
52;8038;7129
53;5951;1639
54;5280;2287
55;5715;1828
56;9961;6589
57;10515;3376
58;6205;8992
59;7843;7345
60;5780;1765
61;5867;1684
62;5753;1792
63;7419;100
64;8666;6508
65;5507;2080
66;8661;6535
67;4876;4042
68;9661;5428
69;9053;6202
70;6669;8497
71;8265;5815
72;5937;1567
73;10471;4708
74;8003;7174
75;11166;4006
76;6704;7183
77;11399;3754
78;6185;8983
79;7122;469
80;6019;3241
81;5864;1666
82;6217;9001
83;7205;7939
84;9448;4474
85;11854;3313
86;8207;6985
87;5194;2368
88;10478;4726
89;6539;1045
90;8616;6553
91;7033;541
92;6453;1108
93;6469;1000
94;10288;4870
95;6181;1333
96;8589;334
97;8952;6238
98;9284;4627
99;6928;577
100;6677;910
101;10470;3457
102;9691;5473
103;6337;1252
104;6368;1117
105;6785;784
106;8879;6274
107;7956;7201
108;12192;2998
109;5360;2143
110;6838;8407
111;9103;6139
112;8125;5806
113;12632;8731
114;11956;3178
115;6648;8470
116;7060;496
117;9683;4258
118;4730;2782
119;7725;7498
120;6309;1198
121;10459;4717
122;10038;5131
123;8266;6904
124;9084;6040
125;7493;6598
126;11535;3583
127;17101;3088
128;7119;8038
129;10870;4303
130;4714;2872
131;4878;2656
132;11538;3682
133;6408;1099
134;7121;424
135;10173;4978
136;4106;3421
137;9695;5383
138;10194;5059
139;6466;1144
140;11358;3772
141;5739;1837
142;11800;3367
143;12176;2953
144;10598;3259
145;5049;2458
146;5043;2557
147;10527;3439
148;5571;1918
149;9189;5950
150;10194;5014
151;17707;3709
152;4813;1468
153;5391;2188
154;6062;1513
155;7909;6031
156;10607;4582
157;7084;487
158;6135;9028
159;10863;4330
160;13494;1549
161;7877;7255
162;7968;7264
163;17151;3034
164;11629;3358
165;5231;2350
166;7751;7426
167;11471;3637
168;10266;3610
169;4278;3205
170;7761;7462
171;10307;3574
172;13528;262
173;8764;6292
174;17769;4771
175;8535;6625
176;5957;8020
177;5295;2278
178;8237;7048
179;4551;1738
180;7424;7768
181;5235;2314
182;9789;4114
183;10534;4591
184;6162;1369
185;4212;3385
186;11886;4699
187;10953;3025
188;9612;5482
189;7001;559
190;11019;2917
191;5887;1630
192;7344;217
193;7140;370
