#Mode:;3
#Device:;hirschtest2
#Button:;304
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6292;8920
1;13134;3826
2;2388;5950
3;8;7237
4;11740;5977
5;11257;4348
6;12953;973
7;14605;6103
8;10198;4807
9;11917;2179
10;9288;6958
11;8902;541
12;12675;3466
13;17508;6202
14;16991;6688
15;10835;5581
16;8986;6076
17;18011;6148
18;13276;2575
19;11062;4888
20;11285;1981
21;12693;784
22;10490;3133
23;13823;7228
24;14481;7903
25;18766;5527
26;13431;2476
27;15301;1450
28;9743;5554
29;13266;8065
30;16789;7399
31;15635;8542
32;14861;253
33;17885;6121
34;16667;6679
35;13535;2611
36;15153;802
37;15465;8056
38;11000;4663
39;14919;6526
40;14731;1108
41;18448;4141
42;14975;451
43;11371;3871
44;16069;7480
45;12903;3043
46;7835;1819
47;11928;4312
48;18219;6463
49;15308;352
50;11941;4402
51;10740;5149
52;9541;2269
53;10493;7795
54;11349;4609
55;13061;1504
56;11172;1918
57;11859;4105
58;13733;1927
59;13077;8182
60;12764;496
61;11904;2008
62;8600;6814
63;11939;6616
64;11152;6229
65;8305;7561
66;11050;5320
67;9792;370
68;12284;4582
69;12672;1747
70;11792;1873
71;14294;8101
72;12111;4015
73;12096;4816
74;8407;442
75;9035;8362
76;9354;5995
77;9385;6715
78;13528;1990
79;9835;6625
80;13729;2422
81;12606;1603
82;11285;4825
83;13716;2683
84;8346;7066
85;8402;9019
86;8684;8605
87;11231;4096
88;11540;1234
89;9982;6967
90;9539;1396
91;10785;4654
92;9500;7516
93;8247;2206
94;12281;3385
95;9603;6706
96;12785;2728
97;12727;2800
98;12114;5833
99;12020;1270
100;12506;3682
101;10642;7651
102;13168;2710
103;12392;1774
104;12497;8992
105;12352;9010
106;9535;6058
107;13320;595
108;11906;1792
109;10600;4897
110;10683;8029
111;11809;3709
112;13304;676
113;11187;4771
114;12300;3025
115;8757;6697
116;12221;2314
117;10973;4456
118;12964;3223
119;12461;1513
120;14296;7606
121;12471;3898
122;9915;8281
123;8234;1720
124;11938;7894
125;10882;7309
126;8959;109
127;9717;6859
128;8891;532
129;12823;1288
130;11334;3763
131;9163;739
132;12124;6544
133;9181;1018
134;9743;937
135;8688;8938
136;10231;5491
137;10386;5113
138;11544;5842
139;12796;2863
140;12576;8461
141;11625;1630
142;8594;6472
143;13221;4690
144;13179;1351
145;12567;3673
146;11739;6166
147;13109;3097
148;11062;2197
149;13159;2530
150;9092;640
151;9233;6130
152;13244;883
153;15094;8533
154;7756;172
155;11419;2782
156;15879;523
157;11010;4186
158;13655;1567
159;12385;5293
160;10478;5374
161;12726;1558
162;10111;5347
163;9379;1090
164;13809;7786
165;9238;6220
166;13387;2908
167;10516;3610
168;12510;1081
169;10303;5041
170;14499;1432
171;13511;658
172;15939;7543
173;9198;8713
174;10903;5023
175;9746;7264
176;10225;6310
177;8861;6562
178;13965;2584
179;15531;8407
180;9229;8479
181;12708;2836
182;9854;865
183;8648;2071
184;9323;5689
185;9615;6283
186;12890;2161
187;10949;4537
188;10998;4429
189;11827;4789
190;10265;5986
191;12512;3691
192;14452;8929
193;13564;2251
194;13128;1936
195;13086;2368
196;15064;469
197;14007;991
198;12010;4114
199;13304;2602
200;11192;4717
201;13568;2143
202;13014;2881
203;11999;3088
204;9336;6094
205;12099;4681
206;14921;1423
207;15158;1198
208;11839;5599
209;12191;3745
210;14560;1810
211;14786;2593
212;9067;6454
213;13970;2134
214;16566;7345
215;15338;1477
216;10962;4600
217;13698;2224
218;15564;433
219;15457;406
220;13474;2431
221;11930;4357
222;11428;4519
223;10880;5077
224;10508;5401
225;13068;4006
226;14905;190
227;10654;7471
228;10303;7804
229;9089;7291
230;8333;7579
231;12657;8848
232;14777;8830
233;11930;4375
234;12782;3169
235;12782;2674
236;16174;8389
237;12383;8884
238;11003;3997
239;14317;1864
240;12400;3889
241;10133;6112
242;9190;1585
243;15022;847
244;12876;3916
245;9572;5536
246;14390;1549
247;14844;1036
248;11756;3925
249;14227;7435
250;10726;4735
251;9556;1063
252;9501;8137
253;11060;5302
254;12799;5050
255;11336;6328
256;12966;3376
257;8926;7426
258;16539;7390
259;13317;4069
260;13870;8326
261;12034;4393
262;11335;4618
263;13628;2062
264;10526;5734
265;15438;1909
266;10897;3205
267;12498;8200
268;11905;1846
269;13059;8272
270;13655;505
271;9175;6355
272;10868;5284
273;12696;3547
274;11654;3646
275;11457;622
276;13327;8614
277;9397;5563
278;12225;3880
279;12996;9091
280;12022;4501
281;13616;2503
282;8785;7156
283;11751;4780
284;10358;7084
285;12591;3034
286;8974;6940
287;13287;2341
288;11687;3394
289;12034;4123
290;12458;2026
291;12991;8047
292;13990;8425
293;12385;3736
294;11409;4753
295;12632;3520
296;11253;4078
297;12885;361
298;12417;1963
299;10581;5644
300;9068;1369
301;13636;2701
302;12537;3115
303;11330;5365
304;10419;4636
305;10386;4906
306;8594;7210
307;10559;5653
308;12895;8956
309;13302;1522
310;8186;6796
311;12500;3421
312;12558;8398
313;12370;244
314;10032;5680
315;8498;1594
316;12283;2359
317;9553;6085
318;12859;4384
319;9223;1207
320;12597;2692
321;12139;8911
322;9263;7255
323;10311;6778
324;10744;5797
325;9459;8776
326;8631;9073
327;11874;6040
328;8995;6949
329;10289;7444
330;11766;3196
331;12799;208
332;10787;5266
333;13617;3277
334;10528;5743
335;11310;4546
336;12801;3313
337;11880;3493
338;9788;5851
339;12440;6049
340;12287;3907
341;10111;4978
342;13029;6742
343;9948;1666
344;11723;3430
345;11847;2971
346;11996;4150
347;12028;3349
348;13783;2395
349;8979;6067
350;12607;3943
351;13936;8641
352;12626;3628
353;9594;316
354;9353;577
355;11562;4060
356;10983;3304
357;7942;7075
358;12865;9001
359;7725;7318
360;9925;6175
361;10589;217
362;9621;7759
363;10980;4366
364;11116;3412
365;9264;6634
366;11628;4204
367;11729;4132
368;12939;721
369;13932;7687
370;12327;712
371;12094;3574
372;10980;6922
373;13660;2215
374;13487;685
375;12240;1954
376;9517;6400
377;12026;1612
378;11422;5086
379;9450;8947
380;9232;8227
381;11339;6571
382;10968;4267
383;13463;3556
384;9000;748
385;8978;910
386;11629;6022
387;13653;856
388;10404;3232
389;12480;8596
390;13833;604
391;11987;3403
392;8750;8902
393;10308;6265
394;9221;7858
395;12354;5248
396;9414;1252
397;12115;5455
398;11071;7408
399;16624;7525
400;13638;8254
401;12411;3358
402;8627;8821
403;11274;2278
404;14296;7615
405;11377;2449
406;10784;4195
407;11968;4942
408;13816;2332
409;9725;6751
410;10007;7966
411;8325;1531
412;8196;2467
413;12180;5473
414;13758;8344
415;11568;4339
416;12490;3007
417;14220;7930
418;11393;4510
419;13428;7912
420;7947;7885
421;17718;7048
422;17998;8335
423;16630;7489
424;12726;4222
425;13765;154
426;16614;7093
427;14697;1783
428;17641;6517
429;13647;2305
430;14970;766
431;14774;8839
432;18101;5428
433;11342;4321
434;12593;3619
435;11249;4483
436;14608;8686
437;14124;7300
438;17452;6931
439;11740;4447
440;17707;7057
441;15652;1171
442;11092;6823
443;14569;757
