#Mode:;3
#Device:;hirschtest
#Button:;304
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;14710;1162
1;12350;2701
2;15057;1918
3;11742;3817
4;12587;3889
5;11723;2791
6;8674;7615
7;13228;8308
8;15765;8101
9;15394;4186
10;12857;5437
11;15445;2080
12;10776;118
13;10194;622
14;13013;2899
15;8066;1333
16;11022;6364
17;12369;4519
18;11401;4528
19;10408;5554
20;11541;4429
21;13858;496
22;10478;4537
23;7737;109
24;12363;5185
25;8504;2116
26;8487;1441
27;14635;1540
28;10630;4798
29;10353;7273
30;12973;1207
31;13257;3025
32;10672;5014
33;12025;1945
34;11562;3448
35;9139;1459
36;9618;757
37;9049;8002
38;13110;2584
39;14047;8245
40;12774;1099
41;11435;2665
42;9246;5698
43;9276;1486
44;8481;586
45;13237;892
46;9432;6724
47;11232;6850
48;9883;847
49;9368;8263
50;12483;6184
51;12319;5860
52;12639;3700
53;10475;2026
54;13594;307
55;13243;3349
56;12502;6220
57;12731;3358
58;11179;3853
59;9612;8965
60;10110;7795
61;10406;7498
62;11890;6058
63;12142;3979
64;13740;226
65;8701;6868
66;11720;6472
67;10047;7642
68;9759;8938
69;13178;2728
70;9852;6238
71;12589;2935
72;8579;7255
73;9960;7435
74;12935;2980
75;12366;2638
76;9613;7426
77;11878;5113
78;12948;3952
79;10778;4213
80;9221;649
81;10946;6094
82;13057;3430
83;10251;3412
84;11772;3268
85;11784;4582
86;8750;6859
87;12418;3097
88;12819;3484
89;10643;6895
90;11096;5986
91;13899;2818
92;8655;7489
93;10513;7102
94;12706;3313
95;11859;4303
96;11186;5239
97;10393;1693
98;11724;4681
99;11570;3727
100;11581;1765
101;13156;820
102;9715;5320
103;11637;5968
104;12427;3754
105;13159;7885
106;12951;1585
107;10879;4474
108;12058;4132
109;11634;2503
110;9788;6742
111;11294;6328
112;9684;721
113;11919;5662
114;12422;4501
115;9140;6769
116;8332;1576
117;11812;3466
118;11974;4159
119;9328;8560
120;8698;2098
121;13233;2341
122;11499;2305
123;9778;6139
124;11784;3916
125;10750;4951
126;11059;5149
127;13615;901
128;8282;6760
129;10623;6994
130;8698;8956
131;12946;2683
132;12289;2719
133;12894;2368
134;10685;4330
135;9945;7966
136;11011;6373
137;8809;1720
138;17089;6508
139;9779;6679
140;13563;1711
141;10876;4546
142;12376;3745
143;13173;703
144;12146;8821
145;14063;7912
146;11971;1981
147;12305;2107
148;13079;568
149;13350;1414
150;11952;1954
151;11129;2152
152;8850;6157
153;13132;3088
154;13417;1054
155;8802;7120
156;13570;3385
157;10962;3142
158;9364;6229
159;15585;8353
160;10797;4510
161;9619;5959
162;9727;7624
163;10610;2656
164;13482;2071
165;12353;1837
166;12066;3502
167;13216;2035
168;10538;4996
169;11986;3988
170;11803;2404
171;10763;3133
172;13698;8191
173;12014;8992
174;12443;2089
175;12149;874
176;12195;2269
177;12600;1531
178;9623;6301
179;12293;7480
180;12850;5338
181;12014;3844
182;11540;3709
183;12497;4366
184;12465;2845
185;12043;1450
186;13060;2224
187;13484;2233
188;17541;6076
189;14083;2395
190;18389;5887
191;15164;8641
192;15184;1684
193;16253;7417
194;13594;2512
195;10258;5905
196;12859;973
197;14002;1288
198;15460;8974
199;16432;7210
200;17044;6517
201;14823;829
202;10808;5086
203;11880;4051
204;10935;3277
205;12621;3772
206;15247;8020
207;19135;5446
208;7564;2359
209;14271;1621
210;16456;7003
211;16097;7759
212;15231;7849
213;11580;4780
214;11813;4150
215;13446;2467
216;10167;5680
217;10052;1666
218;11092;6904
219;10423;6967
220;9406;1144
221;9590;7786
222;11623;3637
223;9697;730
224;9555;325
225;12232;3016
226;12389;3187
227;13388;2521
228;13805;361
229;17866;4078
230;12181;4123
231;12943;2692
232;13178;685
233;10741;4258
234;11328;4375
235;9124;6787
236;9118;1504
237;8730;9064
238;11888;4042
239;13934;334
240;10333;5581
241;9729;8452
242;9111;8272
243;11743;3925
244;12901;1342
245;11116;2800
246;10111;5833
247;11631;3610
248;10965;2944
249;12827;1315
250;13351;1072
251;10751;4240
252;11625;5941
253;8057;1045
254;12243;5140
255;13454;2188
256;10448;5869
257;10447;7453
258;8180;1216
259;8550;793
260;9744;559
261;10067;406
262;8402;613
263;11718;5752
264;13084;2782
265;12092;1756
266;9140;6391
267;11549;4573
268;13170;2962
269;9638;8785
270;12171;4060
271;11257;2611
272;9358;7048
273;12074;3241
274;8630;7093
275;11183;4456
276;11865;3808
277;10303;6751
278;8988;1747
279;9531;8074
280;13388;2575
281;11161;4105
282;8746;1900
283;10971;4618
284;14144;154
285;12682;964
286;7989;7354
287;12445;3961
288;13856;8290
289;10653;5482
290;9293;1189
291;9481;424
292;9269;1513
293;10969;4753
294;11839;2125
295;12933;8704
296;12730;3511
297;7564;1891
298;13627;2287
299;14062;514
300;11249;2872
301;9676;6310
302;9778;7750
303;8657;883
304;10367;7768
305;10954;6931
306;9880;7777
307;8105;1810
308;9701;8011
309;8851;1873
310;10805;7534
311;9508;352
312;12964;3205
313;15486;9010
314;12972;4600
315;11258;4672
316;11963;3250
317;12067;3457
318;9880;5491
319;12578;5329
320;12532;3673
321;8959;7840
322;14820;1081
323;16324;3403
324;13777;2323
325;11716;5293
326;11364;4492
327;13882;7543
328;14562;1306
329;15171;8713
330;12965;5563
331;15297;3034
332;13357;2161
333;10897;4987
334;13395;2539
335;10218;7399
336;11615;4285
337;14886;595
338;12885;2170
339;13304;856
340;8802;6697
341;9030;8596
342;11983;3592
343;9006;6832
344;12842;3439
345;12965;2557
346;9135;7111
347;10450;5464
348;12884;8164
349;11923;4465
350;15603;811
351;9813;6589
352;10531;6274
353;12838;3070
354;8865;7462
355;11586;3421
356;15134;1297
357;9881;6022
358;10903;5050
359;13416;2386
360;11388;5455
361;10926;4969
362;14351;1549
363;8845;7696
364;9751;5707
365;9756;5788
366;10910;4960
367;13456;2530
368;15560;7903
369;15807;8614
370;8797;7606
371;15575;802
372;10690;4627
373;15124;1279
374;11529;4861
375;11828;4879
376;10734;5095
377;10324;5590
378;15506;7948
379;11146;4816
380;10616;5032
381;16116;8650
382;10299;6031
383;12856;2440
384;11363;4069
385;12277;4114
386;14447;1936
387;8710;7660
388;11411;6778
389;11251;4942
390;8855;766
391;7677;8236
392;15973;7930
393;14881;8947
394;8149;6958
395;14208;8623
396;9705;5779
397;10565;208
398;10839;5392
399;12517;739
400;10270;5311
401;10253;5653
402;13295;919
403;16042;244
404;9266;6013
405;14837;4915
406;15148;7921
407;9196;6283
408;10058;7390
409;12207;3655
410;12808;3997
411;12706;1432
412;11490;4447
413;12184;4096
414;12572;8479
415;10557;5518
416;17080;2674
417;9033;640
418;11482;4411
419;8572;7561
420;11971;5059
421;9406;8173
422;12079;3529
423;11817;3583
424;12399;2998
425;11493;1738
426;11169;2044
427;9220;6877
428;11845;5167
429;13279;3106
430;9371;6805
431;12877;2746
432;10151;5743
433;9702;7300
434;11670;5203
435;12535;2854
436;12992;5923
437;8531;8848
438;12241;3160
439;10132;4906
440;11981;5005
441;10643;4762
442;12528;3394
443;9064;6454
444;9378;8767
445;12608;6886
446;13439;2881
447;11790;3682
448;13234;2242
449;11274;3304
450;10563;4789
451;8882;8731
452;11751;6193
453;11345;4825
454;12543;8407
455;9411;6661
456;10677;6913
457;8873;127
458;11859;6409
459;9192;199
460;10380;4852
461;7843;7705
462;7829;1522
463;10287;433
464;10607;7345
465;8235;1378
466;11431;4726
467;13585;7444
468;11031;4870
469;11693;6265
470;12102;3574
471;13658;550
472;9247;6490
473;9865;694
474;11421;6121
475;8031;2377
476;13880;1990
477;13437;3520
478;14239;1657
479;11466;1360
480;11007;4294
481;9075;9019
482;9317;532
483;11097;7192
484;10133;370
485;10367;7030
486;16719;6292
487;12573;1612
488;11935;1774
489;10673;5635
490;11394;6004
491;9780;8299
492;13153;3007
493;12296;1801
494;9061;5995
495;10831;7264
496;10051;5266
497;12007;1225
498;13402;8281
499;9400;5689
500;11935;3295
501;12596;658
502;9305;7039
503;10328;7939
504;10641;6940
505;8343;676
506;10631;7336
507;9221;8155
508;9880;7975
509;9881;8029
510;9529;8047
511;11640;6544
512;8767;8605
513;8881;8983
514;13050;3079
515;12159;3781
516;9726;8416
517;13333;2620
518;9955;5131
519;10331;8380
520;12667;3151
521;11827;3232
522;10763;9046
523;13351;8443
524;10582;5878
525;11358;6040
526;11303;4006
527;8646;6625
528;9053;7228
529;13066;2566
530;11963;3475
531;10424;6949
532;13202;8740
533;10482;5428
534;12786;2890
535;10497;5176
536;9872;712
537;12439;2836
538;10182;4834
539;10009;5572
540;8466;7057
541;10567;145
542;11282;7246
543;9491;784
544;13535;2197
545;11920;4555
546;13012;2908
547;11697;4609
548;11481;5644
549;8884;6985
550;10207;8569
551;12763;3835
552;12253;1036
553;15731;5500
554;10438;4654
555;12153;4276
556;9434;6445
557;9003;316
558;11508;4438
559;9601;6733
560;8817;1963
561;14434;1252
562;16071;5365
563;11165;5284
564;11212;2764
565;13474;1009
566;14241;1018
567;14201;2134
568;14800;8839
569;10101;3331
570;11205;5797
571;8775;235
572;10293;7894
573;11101;5068
574;14388;7525
575;14848;6112
576;14619;8668
577;10704;4933
578;8320;7291
579;17549;6346
580;15433;8092
581;18763;6049
582;17554;7138
583;15728;8695
584;17571;7318
585;16556;6643
586;15638;8218
587;14285;1819
588;15670;262
589;10794;5401
590;15459;910
591;17480;7021
592;17938;5545
593;10725;5419
594;7841;1603
595;13207;460
596;12250;3934
597;17156;6418
598;12942;3196
599;15974;8524
600;14609;2179
601;17981;5734
602;15577;7993
603;14423;9091
604;10840;5077
605;14260;1351
606;9838;1882
607;10182;7597
608;10310;7066
609;10053;8488
610;12438;5896
611;7791;1630
612;12590;7174
613;11174;6499
614;11967;3547
615;13289;7732
616;11078;9037
617;11691;3646
618;9412;8470
619;11056;6562
620;10247;280
621;7713;1243
622;10600;4735
623;10524;298
624;9161;181
625;8887;1639
626;11716;3718
627;10803;2296
628;12851;8434
629;13478;8110
630;12695;8362
631;10427;5761
632;11647;4744
633;12756;8578
634;12635;1270
635;11782;4384
636;12151;5608
637;10519;6580
638;13004;6166
639;11832;5716
640;11897;5158
641;9596;937
642;11057;6319
643;10536;6814
644;11264;6598
645;9606;604
646;11454;4177
647;15652;8533
648;10566;4645
649;10139;1855
650;11102;5041
651;11401;6202
652;13235;3601
653;12682;1153
654;11009;4087
655;10395;8425
656;7654;1423
657;9803;7633
658;11047;6634
659;11781;3943
660;13796;7183
661;9846;6211
662;12320;5221
663;8394;1468
664;11236;7219
665;10970;5212
666;12092;8920
667;11072;5410
668;12770;3367
669;11891;3736
670;13688;2548
671;11535;4339
672;9822;1972
673;12818;3556
674;12099;1999
675;12562;3538
676;9411;451
677;11674;5248
678;12092;8875
679;11620;1675
680;12960;946
681;13708;442
682;10941;5194
683;10888;6148
684;8392;1495
685;10352;7813
686;11247;6382
687;9713;5977
