#Mode:;3
#Device:;6312kw
#Button:;21
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;39110;865
1;64729;7264
2;43920;4096
3;63526;8533
4;69276;2728
5;44043;3988
6;39244;757
7;31303;604
8;68851;3187
9;44385;3565
10;39805;208
11;65062;7003
12;64559;7462
13;41255;6751
14;63344;8704
15;45245;2800
16;36378;3646
17;31729;343
18;38435;1594
19;64191;7831
20;34996;5032
21;64307;8047
22;37671;2386
23;37342;2530
24;64536;7453
25;39081;928
26;64695;7381
27;39065;919
28;31322;730
29;67133;4879
30;65646;6328
31;35662;4321
32;31078;874
33;66651;5320
34;44896;3151
35;65658;6355
36;39485;559
37;44118;3898
38;35920;4087
39;66677;5230
40;64660;7363
41;66875;5158
42;44330;3700
43;43575;4447
44;36192;3808
45;39449;577
46;65679;6364
47;63402;8605
48;37822;2098
49;38349;1648
50;68350;3682
51;65645;6391
52;35483;4384
53;38275;1738
54;67749;4555
55;36705;3412
56;66004;6013
57;63091;8920
58;33936;6112
59;39072;982
60;45411;2602
61;29789;2224
62;68942;3070
63;31851;190
64;46603;1468
65;31285;748
66;47089;910
67;67380;4627
68;66192;5878
69;36338;3655
70;39466;586
71;46549;1450
72;31446;532
73;63673;8407
74;43769;4258
75;43214;4807
76;38669;1288
77;38385;1711
78;68129;3871
79;43067;4960
80;39149;829
81;31198;802
82;46569;1477
83;64533;7480
84;42381;5635
85;34338;5662
86;66139;5941
87;41206;7120
88;63685;8299
89;64173;7849
90;62970;9037
91;46650;1306
92;31820;172
93;37719;2269
94;36408;3601
95;67261;4762
96;38175;1864
97;44492;3538
98;29827;2188
99;45830;2278
100;67322;4699
101;37014;3034
102;63352;8758
103;42531;5491
104;41061;6535
105;69298;2782
106;64909;7192
107;35977;4123
108;65623;6463
109;35871;4159
110;30918;1090
111;46846;1144
112;30474;1531
113;69522;2440
114;66080;5932
115;41547;6481
116;33441;6571
117;63849;8218
118;35437;4501
119;38783;1180
120;31513;109
121;34041;5797
122;35919;3907
123;45365;2548
124;63359;8515
125;36111;3754
126;42761;5113
127;38105;1783
128;44097;3763
129;43042;4834
130;40797;7102
131;66488;5401
132;43624;4240
133;43539;4429
134;36259;3619
135;65637;6184
136;41342;6418
137;68547;3349
138;43872;3862
139;64893;6958
140;35815;4105
141;36392;3493
142;45859;2035
143;66574;5284
144;40251;7660
145;64748;7156
146;65773;6094
147;38809;1072
148;30591;1315
149;70378;1504
150;64755;7174
151;42516;5383
152;38058;1837
153;64152;7723
154;37650;2242
155;63937;7957
156;39398;8497
157;63353;8551
158;30386;1513
159;66768;5122
160;66046;5851
161;36968;2917
162;63293;8623
163;38643;1252
164;44186;3718
165;38919;955
166;67149;4753
167;42941;4978
168;70828;9055
169;66973;4924
170;37269;2611
171;67808;4069
172;65527;6382
173;34609;5266
174;37124;2773
175;31287;595
176;71039;8866
177;46223;1621
178;66660;5203
179;35602;4294
180;31387;496
181;65056;6832
182;30645;1333
183;62887;8992
184;43363;4492
185;38314;1549
186;65748;6157
187;64383;7498
188;68488;3394
189;31108;775
190;68285;3628
191;64053;7858
192;63491;8371
193;67849;4051
194;29507;2359
195;47474;442
196;67470;4420
197;43478;4465
198;36526;3331
199;66175;5707
200;37608;2287
201;30329;1567
202;67948;3943
203;29011;2890
204;66511;5365
205;29162;2710
206;66892;4996
207;29178;2620
208;45771;2134
209;63594;8326
210;36087;3781
211;29650;2215
212;66785;5095
213;30598;1414
214;67927;3925
215;44403;3466
216;64153;7714
217;40047;7939
218;46206;1603
219;66697;5194
220;38540;1351
221;63253;8668
222;37859;2080
223;64332;7552
224;64320;7606
225;64067;7795
226;67167;4708
227;34987;4906
228;30948;946
229;46510;1378
230;45510;2413
231;43112;4798
232;37201;2674
233;31633;226
234;65099;6787
235;66076;5806
236;36840;3043
237;31562;325
238;66162;5734
239;66658;5257
240;35872;3997
241;66700;5167
242;63546;8344
243;46848;1036
244;30614;1369
245;38839;1054
246;43197;4690
247;35376;4510
248;30036;1846
249;68164;3745
250;31521;370
251;64429;7471
252;28592;3313
253;45521;2377
254;63819;8056
255;36628;3250
256;29642;2251
257;63954;7921
258;63968;7930
259;36544;3358
260;43471;4411
261;36744;3088
262;44602;3268
263;64853;7039
264;37743;2152
265;65756;6139
266;36755;3106
267;43372;4519
268;41344;6544
269;34450;5428
270;43268;4618
271;35194;4681
272;44155;3727
273;64005;7876
274;67223;4654
275;30203;1666
276;68776;2791
277;29842;1999
278;69116;2755
279;30758;1108
280;68408;3520
281;66065;5788
282;64575;7291
283;69063;2845
284;62996;8893
285;39348;541
286;30993;892
287;66453;5419
288;29517;2368
289;47018;811
290;44512;3385
291;65941;5959
292;37938;2017
293;43597;4366
294;38498;1396
295;67101;4780
296;36994;2899
297;31451;550
298;67306;4573
299;44696;3142
300;65340;6562
301;38556;1324
302;42620;5248
303;40844;7030
304;47092;784
305;45319;2539
306;64011;7885
307;63783;8101
308;66789;5176
309;28927;2944
310;67271;4600
311;64986;6904
312;37021;2881
313;65280;6616
314;63215;8677
315;66030;5824
316;43991;3889
317;38534;1342
318;31250;640
319;65765;6121
320;63432;8461
321;37209;2683
322;65207;6742
323;36035;3916
324;66905;4969
325;35657;4213
326;30856;1027
327;67606;4276
328;43664;4204
329;42309;5554
330;35457;4564
331;63150;8740
332;34793;5050
333;64246;7525
334;36768;3124
335;39014;883
336;66444;5446
337;39716;199
338;30593;1297
339;35359;4528
340;62942;8947
341;34687;5212
342;41688;6238
343;63356;8542
344;67111;4870
345;28578;3277
346;63397;8434
347;42485;5374
348;42330;5563
349;38864;1063
350;37046;2854
351;67549;4357
352;41689;6256
353;38852;1135
354;65769;6202
355;39539;361
356;66110;5743
357;37154;2737
358;42288;5608
359;35866;4024
360;31581;307
361;65484;6409
362;64302;7588
363;34593;5338
364;31398;523
365;69582;2332
366;30071;1828
367;66915;4987
368;64414;7444
369;64216;7687
370;45779;2116
371;44135;3772
372;63404;8488
373;37089;2836
374;29694;2170
375;68734;3160
376;29848;2053
377;65190;6661
378;30647;1261
379;31214;694
380;63334;8560
381;65026;6877
382;64338;7570
383;34291;5725
384;43849;4150
385;38104;1693
386;66321;5644
387;37951;1927
388;44219;3673
389;39579;334
390;64011;7894
391;39748;154
392;44536;3457
393;38284;1639
394;66306;5590
395;36365;3547
396;64395;7507
397;41610;6283
398;65093;6814
399;31525;379
400;69355;2593
401;65940;5977
402;64311;7597
403;65780;6103
404;66147;5761
405;41023;6895
406;34284;5626
407;63031;8875
408;70812;9082
409;63263;8641
410;63100;8812
411;37959;1990
412;37974;1972
413;65465;6445
414;37237;2665
415;66848;5059
416;42783;5104
417;37616;2197
418;30861;1045
419;45742;2233
420;64274;7633
421;39665;244
422;43776;4114
423;39075;847
424;64617;7345
425;39337;649
426;45935;1900
427;63066;8839
428;41983;5923
429;33074;6850
430;42655;5302
431;41029;6886
432;63622;8281
433;44775;3232
434;42444;5455
435;36299;3556
436;43521;4330
437;64225;7651
438;64839;7066
439;29922;1936
440;69267;2629
441;64412;7408
442;62842;9064
443;68922;2935
444;31451;451
445;68766;3133
446;43218;4672
447;64905;6949
448;35828;4060
449;35939;4033
450;66790;5068
451;37941;1963
452;63589;8335
453;64102;7813
454;39824;8065
455;65355;6580
456;43607;4312
457;63470;8470
458;69657;2260
459;63098;8794
460;37706;2179
461;31732;163
462;46054;1720
463;45996;1909
464;65249;6670
465;39279;613
466;65569;6274
467;33972;5968
468;64668;7237
469;33859;6040
470;65722;6175
471;38928;1000
472;28579;3223
473;63227;8686
474;65278;6553
475;37712;2125
476;64570;7327
477;35241;4663
478;64808;7111
479;41304;6508
480;66016;5986
481;29335;2575
482;45969;2008
483;66551;5347
484;37533;2404
485;63921;7984
486;39291;622
487;64746;7165
488;36728;3214
489;66651;5293
490;63831;8074
491;34143;5770
492;37472;2431
493;67530;4438
494;65207;6697
495;40058;7966
496;65936;5905
497;43799;4132
498;42187;5698
499;38744;1126
500;65399;6472
501;34001;5833
502;65196;6706
503;39657;280
504;41729;6166
505;38618;1198
506;65605;6292
507;38898;964
508;64354;7561
509;33952;5950
510;31024;901
511;65662;6310
512;30136;1675
513;45272;2584
514;65779;6130
515;37249;2638
516;67112;4789
517;36093;3799
518;63021;8965
519;41252;6607
520;37508;2395
521;63956;8020
522;38191;1702
523;39479;460
524;65573;6319
525;64875;7012
526;38416;1486
527;37235;2656
528;30726;1153
529;35217;4726
530;42989;4897
531;34086;5752
532;30187;1729
533;45831;2071
534;44579;3340
535;38317;1612
536;30901;1009
537;39573;8272
538;45755;2143
539;66577;5329
540;64362;7543
541;66177;5689
542;65621;6247
543;41396;6634
544;39487;514
545;63812;8083
546;37567;2323
547;39484;352
548;45449;2449
549;44072;3817
550;36306;3592
551;66600;5356
552;39639;262
553;30550;1441
554;47473;424
555;64493;7399
556;37683;2206
557;63248;8650
558;63994;7903
559;70954;8929
560;46210;1765
561;65223;6589
562;38997;820
563;65687;6220
564;41504;6400
565;39489;8380
566;64916;6985
567;62879;9073
568;38932;973
569;38569;1405
570;46688;1207
571;62916;8974
572;34343;5545
573;44055;3853
574;63822;8092
575;36455;3448
576;63170;8713
577;39134;721
578;37926;1981
579;65470;6346
580;36352;3574
581;45086;2809
582;43514;4375
583;34508;5392
584;64697;7219
585;38593;1387
586;63059;8884
587;64131;7777
588;65177;6724
589;30411;1495
590;64642;7282
591;67121;4888
592;38051;1756
593;63732;8164
594;63334;8569
595;66749;5140
596;43030;4861
597;65200;6760
598;36586;3304
599;41812;6085
600;38561;1432
601;42867;5086
602;38724;1243
603;65232;6688
604;63535;8398
605;63676;8227
606;63850;8155
607;35541;4267
608;29462;2476
609;62858;9046
610;43693;4195
611;36688;3205
612;45194;2701
613;63926;8011
614;39808;100
615;29964;1882
616;67420;4474
617;62885;9010
618;37250;2647
619;31118;793
620;68868;3025
621;42796;5149
622;40752;7138
623;34826;5077
624;35756;4141
625;45933;1954
626;29717;2161
627;63535;8353
628;64154;7759
629;41626;6265
630;68891;3007
631;65473;6427
632;42553;5311
633;39824;181
634;42360;5527
635;34008;5869
636;30957;937
637;65561;6337
638;29433;2458
639;31115;667
640;34191;5617
641;64806;7093
642;34339;5473
643;66360;5536
644;41402;6499
645;66320;5581
646;66970;4942
647;42457;5464
648;39471;487
649;35637;4249
650;44732;3178
651;42815;5023
652;64457;7435
653;67280;4636
654;66588;5410
655;36618;3241
656;64579;7336
657;36446;3367
658;64238;7669
659;41599;6301
660;33125;6778
661;42386;5500
662;37482;2422
663;42758;5131
664;39651;253
665;30125;1774
666;64466;7426
667;44490;3376
668;65894;6022
669;41010;6859
670;66400;5509
671;28975;2818
672;46887;1018
673;65981;5842
674;63919;8002
675;33099;6805
676;64819;7075
677;39449;469
678;36001;3880
679;64276;7615
