#Mode:;3
#Device:;bt58
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;8281;7525
1;13984;1936
2;8531;7354
3;9385;6463
4;10962;4942
5;10548;5338
6;15723;8173
7;11111;4771
8;16575;7273
9;14422;1441
10;15587;298
11;15271;649
12;14103;1648
13;16023;7921
14;13491;2413
15;14644;1315
16;15264;694
17;14985;8893
18;10881;4987
19;7613;307
20;7277;8623
21;12621;3304
22;14284;1576
23;11962;4069
24;9784;6121
25;10789;5104
26;12064;3781
27;14086;1774
28;13431;2467
29;14966;8920
30;11375;4492
31;12958;2944
32;14104;1756
33;17580;6400
34;10410;5374
35;15603;289
36;10876;5023
37;15894;8083
38;10448;5464
39;10868;4996
40;12076;3808
41;11969;3934
42;13598;2305
43;15092;811
44;9933;5968
45;14398;1459
46;12071;3853
47;13050;2899
48;15133;820
49;7154;8740
50;13220;2665
51;8769;7201
52;9766;6112
53;9978;5914
54;13542;2341
55;12755;3133
56;13967;1918
57;13725;2170
58;7950;7948
59;12066;3826
60;11537;4348
61;8884;6994
62;14056;1711
63;12050;3844
64;11592;4303
65;11572;4312
66;10365;5527
67;15183;721
68;8662;7255
69;10122;5851
70;10446;5446
71;8347;7453
72;14596;1369
73;9593;6310
74;8815;7048
75;10959;4933
76;10299;5599
77;15493;406
78;15580;316
79;13948;1954
80;11286;4609
81;12858;3025
82;14991;919
83;14332;1504
84;12847;3016
85;8179;7597
86;9003;6868
87;11910;3988
88;8448;7381
89;13813;2080
90;7310;8569
91;9922;5950
92;15366;514
93;9730;6148
94;15343;541
95;12756;3124
96;9942;5941
97;8312;7480
98;15767;136
99;9684;6193
100;8950;6958
101;14944;8929
102;15223;955
103;11574;4276
104;14559;1279
105;14349;1477
106;12352;3502
107;17060;6778
108;10753;5113
109;13654;2161
110;12978;2980
111;11375;4438
112;15759;8065
113;7002;8830
114;7847;7957
115;14932;910
116;7944;7858
117;7585;8209
118;7173;8668
119;8065;7732
120;14870;964
121;9237;6616
122;13222;2638
123;14417;1378
124;15790;163
125;10689;5158
126;6967;8875
127;15397;451
128;8518;7345
129;10798;5059
130;13440;2422
131;7485;8380
132;10964;4888
133;11959;3907
134;11060;4807
135;10031;5815
136;15172;703
137;11016;4906
138;13346;2494
139;12610;3223
140;8243;7633
141;11247;4591
142;14120;1729
143;11840;4015
144;11254;4600
145;13872;1990
146;7473;8407
147;7018;8866
148;12454;3439
149;12518;3349
150;8366;7498
151;11607;4249
152;13399;2458
153;12585;3277
154;7699;8146
155;6885;8974
156;9455;6391
157;12055;3799
158;11374;4474
159;11190;4645
160;7498;8353
161;9103;6796
162;13938;1909
163;15752;145
164;12641;3169
165;10272;5518
166;6856;9019
167;12615;3268
168;12985;3061
169;15001;8848
170;14792;1081
171;11444;4420
172;10612;5239
173;10205;5680
174;17671;6292
175;13531;2323
176;11156;4672
177;8760;7084
178;15120;757
179;12040;3835
180;8687;7264
181;13137;2701
182;12408;3448
183;11400;4654
184;9020;6814
185;10831;5032
186;14108;1738
187;11989;3952
188;12938;2917
189;15966;7885
190;13077;2773
191;14873;991
192;15475;388
193;12649;3088
194;13509;2350
195;6933;8947
196;15073;802
197;13907;1927
198;17265;6607
199;13288;2557
200;6990;784
201;11938;3925
202;9029;6823
203;15308;8542
204;9748;6139
205;11221;4627
206;14336;1522
207;6541;1288
208;16961;6895
209;6981;748
210;13511;2368
211;12609;3097
212;8215;7624
213;11747;4096
214;15439;433
215;15354;8506
216;16875;6985
217;9645;6211
218;7530;8326
219;13439;2440
220;10476;5356
221;13664;2197
222;14451;1432
223;15607;253
224;13344;2512
225;15396;8461
226;14774;9073
227;15121;739
228;8849;7003
229;11823;4051
230;9958;5887
231;12716;3142
232;10132;5716
233;16008;7831
234;6750;9091
235;6787;9055
236;11566;4195
237;9377;6472
238;10265;5572
239;13252;2575
240;14859;1045
241;8131;7723
242;12585;3241
243;15476;379
244;12386;3466
245;7833;8101
246;12368;3493
247;12590;3214
248;8899;7021
249;12265;3592
250;8276;7543
251;7875;7975
252;10937;4924
253;13095;2755
254;12485;3367
255;8415;7444
256;14088;1702
257;8496;7363
258;7657;8047
259;12401;3457
260;13002;2863
261;15182;676
262;7786;8074
263;8034;7840
264;11060;4780
265;11100;4735
266;10641;5212
267;7922;7930
268;14014;1846
269;13903;1963
270;12197;3673
271;11455;4411
272;10347;5500
273;14309;1558
274;11680;4168
275;13675;2188
276;10654;5293
277;9884;5959
278;15338;523
279;15083;793
280;8901;6949
281;11384;4456
282;12739;2971
283;10090;5770
284;8752;7102
285;8958;6904
286;13529;2296
287;12064;3790
288;14564;1297
289;15125;8731
290;14600;1261
291;18534;5311
292;16711;7147
293;8152;7705
294;8597;7228
295;12505;3376
296;10706;5122
297;15639;190
298;14739;1090
299;11058;4861
300;8350;7471
301;12343;3475
302;12485;3340
303;13377;2359
304;8416;7399
305;7200;8641
306;13085;2818
307;9709;6130
308;9738;6094
309;7645;8218
310;14469;1405
311;15116;730
312;12181;3691
313;13161;2647
314;15235;613
315;11100;4744
316;10446;5410
317;10970;4870
318;14471;1396
319;12918;2935
320;9785;5977
321;11702;4159
322;15501;361
323;12835;2998
324;7512;8335
325;14757;1189
326;8115;7741
327;15007;865
328;12651;3187
329;14365;1495
330;14851;9001
331;12209;3655
332;15513;8344
333;15372;505
334;11975;3889
335;15336;532
336;15296;568
337;12110;3754
338;10433;5401
339;13624;2233
340;9984;5869
341;9306;6535
342;8246;7534
343;12271;3574
344;15723;181
345;11807;4042
346;10104;5779
347;14832;9028
348;7037;8812
349;7235;8659
350;8722;7129
351;14983;8857
352;7418;442
353;14863;1000
354;15507;334
355;11024;4699
356;9188;6697
357;8083;7777
358;9358;6688
359;13087;2746
360;8272;7552
361;11976;3871
362;9673;6184
363;14503;1324
364;15185;685
365;9434;6427
366;9976;5896
367;9359;6499
368;14616;1234
369;11833;4024
370;12167;3700
371;12854;3007
372;8556;7300
373;7643;8227
374;8425;7435
375;7774;8092
376;11444;4393
377;11480;4384
378;15751;127
379;9184;6661
380;12594;3250
381;13196;2656
382;9642;6202
383;8257;7588
384;7742;8137
385;12279;3664
386;12349;3511
387;10132;5734
388;13590;2215
389;11111;4753
390;7806;8056
391;9275;6580
392;11657;4204
393;8439;7426
394;12774;2890
395;13444;2386
396;15645;217
397;14619;1207
398;10010;5833
399;9125;6733
400;15239;8605
401;18098;5761
402;8920;6832
403;10694;5167
404;9366;6508
405;14945;856
406;8948;6886
407;11790;4186
408;10194;5653
409;15592;8290
410;11081;4789
411;10666;5185
412;15637;226
413;8667;7165
414;12789;3070
415;7358;8497
416;11016;4834
417;10468;5392
418;10709;5140
419;9774;6076
420;13174;2674
421;14139;1720
422;11522;4321
423;7427;8434
424;10260;5590
425;12395;3394
426;11906;3979
427;13310;2539
428;7795;8155
429;9536;6319
430;13608;2206
431;10764;5095
432;11571;4285
433;7736;8119
434;9318;6436
435;11896;3970
436;15756;118
437;14959;8902
438;11135;4726
439;11365;4483
440;13484;2395
441;13884;1981
442;10037;5743
443;11379;4447
444;15178;8704
445;11778;4060
446;13370;2485
447;14042;1819
448;10378;5482
449;15673;8182
450;11813;4132
451;16692;7156
452;9595;6346
453;10876;4978
454;15287;577
455;13809;2062
456;15521;343
457;15863;8002
458;12335;3529
459;12960;2881
460;8394;7462
461;10193;5662
462;10690;5194
463;13789;2044
464;9052;6805
465;15230;667
466;14813;1036
467;10720;5131
468;10305;5545
469;12608;3205
470;13617;2314
471;14181;1666
472;14849;9010
473;14326;1531
474;17619;6229
475;13154;2782
476;9823;6031
477;11485;4357
478;15647;208
479;12505;3331
480;14881;8956
481;7664;8191
482;9205;6643
483;11912;3916
484;13522;2287
485;13080;2719
486;14257;1567
487;14811;1027
488;7104;8713
489;14740;9082
490;16425;7417
491;10309;5554
492;11621;4231
493;10004;5824
494;14544;1306
495;10622;5230
496;14466;1414
497;10593;5275
498;8247;7687
499;8987;6859
500;13800;2053
501;15242;8596
502;16570;7291
503;11378;4510
504;11634;4213
505;9486;6364
506;16176;7750
507;13695;2152
508;10401;5455
509;10506;5365
510;8529;7408
511;7372;8479
512;8754;7093
513;10992;4843
514;15505;370
515;14754;1117
516;8263;7570
517;11923;3943
518;14056;1792
519;15516;352
520;9851;6004
521;11302;4636
522;14699;1180
523;15764;109
524;8636;7210
525;12014;3862
526;9315;6544
527;13048;2800
528;8212;7651
529;7592;8299
530;10708;5203
531;13959;1855
532;9963;5878
533;14607;1252
534;10894;4960
535;9870;6013
536;13299;2566
537;15620;235
538;8383;7489
539;13953;1891
540;13240;2611
541;7841;8110
542;13013;2836
543;8257;7579
544;11600;4240
545;15063;8776
546;14357;1513
547;17250;6625
548;15257;496
549;14763;8938
550;12646;3160
551;14997;838
552;9434;6409
553;15081;883
554;14734;1198
555;14209;1639
556;14765;1099
557;10706;5176
558;13004;2845
559;12218;3628
560;15286;595
561;10279;5581
562;8535;7327
563;13721;2134
564;14860;1009
565;10709;5068
566;12737;3106
567;14054;1801
568;12425;3430
569;7991;7867
570;11273;4582
571;11321;4537
572;12619;3196
573;13900;1999
574;8740;7138
575;7308;8533
576;13251;2593
577;14210;1747
578;9365;6481
579;9630;6238
580;13230;2629
581;10139;5689
582;13583;2269
583;12226;3637
584;9582;6265
585;15692;280
586;13854;2008
587;14953;892
588;12825;3034
589;13480;2377
590;13327;2521
591;13381;2476
592;14902;8965
593;15067;8785
594;13349;2530
595;11616;4258
596;9107;6760
597;12771;3079
598;12586;3259
599;11490;4375
600;13071;2809
601;10784;5077
602;11304;4546
603;14806;9046
604;14005;1873
605;12230;3619
606;9338;6517
607;11290;4555
608;15304;640
609;13768;2098
610;7568;8263
611;10859;4969
612;9312;6526
613;11478;4402
614;14614;1225
615;14271;1594
616;9900;5986
617;15095;775
618;10036;5797
619;10006;5842
620;14020;1837
621;7466;8398
622;8049;7804
623;11756;4105
624;8935;6931
625;10341;5509
626;10472;5383
627;15318;550
628;7048;8821
629;11872;3898
630;8014;7768
631;10753;5014
632;13761;2107
633;12935;2926
634;12476;3547
635;14477;1360
636;7584;8272
637;11021;4825
638;13516;2332
639;11174;4690
640;14914;946
641;9500;6355
642;10597;5257
643;10377;5473
644;9151;6706
645;8607;7246
646;9987;5860
647;12576;3313
648;11373;4465
649;13097;2764
650;7878;7993
651;15151;8686
652;17112;6751
653;16281;7561
654;12815;3043
655;14723;1108
656;10783;5041
657;7961;7912
658;9465;6373
659;15228;631
660;19274;4573
661;17438;6418
662;8527;7336
663;14790;1054
664;13121;2710
665;13152;2692
666;10065;5788
667;10116;5752
668;13347;2503
669;9408;6454
670;8797;7075
671;9734;6085
672;15542;8281
673;15230;604
674;11138;4681
675;16201;7615
676;15109;8695
677;10116;5698
678;9955;5806
679;7914;7939
680;12529;3295
681;7310;8551
682;12562;3286
683;8073;7795
684;10196;5644
685;10544;5302
686;7375;8470
687;12510;3358
688;10335;5437
689;14511;1351
690;10014;5905
691;8877;6940
692;8661;7192
693;10149;5707
694;14378;1468
695;12148;3718
696;7478;8371
697;8625;7237
698;11388;4366
699;11256;4618
700;8193;7642
701;8310;7516
702;14454;1387
703;8651;7219
704;10791;5050
705;15586;271
706;13613;2242
707;9081;6769
708;14253;1612
709;9319;6562
710;14288;1603
711;10238;5635
712;7548;8308
713;10902;4951
714;7612;8254
715;12378;3484
716;14685;1171
717;9143;6715
718;9603;6256
719;10358;5491
720;15146;8677
721;16929;6922
722;12869;2989
723;8737;7111
724;13780;2071
725;14862;982
726;14711;1135
727;12318;3556
728;9852;6067
729;12598;3232
730;9805;6049
731;14232;1621
732;11082;4798
