#Mode:;3
#Device:;intelli_new
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6685;2134
1;6460;1441
2;6263;7615
3;6291;4627
4;6752;145
5;6608;3304
6;6886;3007
7;7049;8866
8;6338;5491
9;6975;3925
10;6690;2116
11;7048;4852
12;6703;2233
13;6416;2521
14;6723;3187
15;7063;6805
16;6796;7147
17;6331;2485
18;6227;577
19;6233;2620
20;6484;478
21;6966;1810
22;6559;2971
23;6359;6211
24;6427;4042
25;6390;2242
26;6645;109
27;7151;6715
28;6746;1738
29;7077;5428
30;6318;595
31;6817;3943
32;6693;8101
33;6789;3061
34;6447;3079
35;6466;5185
36;6557;2341
37;6654;4114
38;6551;5023
39;6378;3511
40;6323;6094
41;6304;6256
42;6792;4942
43;6415;3043
44;6715;8821
45;6704;8029
46;6339;5131
47;6609;6877
48;6234;6463
49;6949;4816
50;6424;8245
51;6661;3160
52;6721;4330
53;6704;6139
54;6799;7966
55;7210;2656
56;6521;3340
57;6909;7948
58;6859;6994
59;6992;7867
60;6446;2440
61;6347;7507
62;7409;7516
63;6551;334
64;7135;712
65;7089;8767
66;7185;3646
67;7167;6679
68;6614;3223
69;6982;8794
70;6485;1360
71;6906;2944
72;6380;460
73;6647;4213
74;7240;2602
75;7150;3700
76;7309;8542
77;6798;5050
78;7163;7705
79;7272;8578
80;7361;1423
81;6752;5104
82;6726;3133
83;7339;6499
84;6756;4096
85;6594;6265
86;7098;2764
87;6928;5932
88;6385;3466
89;7577;316
90;7721;2287
91;6997;2026
92;7633;7381
93;7101;946
94;6854;3178
95;7447;1603
96;7493;2566
97;7677;154
98;7256;5761
99;6877;5122
100;6876;613
101;6621;3295
102;6597;7291
103;7289;6589
104;6888;2998
105;7192;5680
106;6723;199
107;6842;1036
108;7212;4690
109;6478;4465
110;6709;6130
111;6691;2188
112;6960;7957
113;6673;6247
114;6496;3331
115;6990;7894
116;7208;3619
117;6592;4303
118;7031;1693
119;6539;2350
120;7258;1396
121;7050;4843
122;7100;4753
123;5675;5212
124;5651;6238
125;6051;7831
126;5925;1936
127;5544;5347
128;6237;8632
129;6264;559
130;5685;2224
131;6075;3736
132;6132;8695
133;5643;190
134;6193;6625
135;5461;3394
136;5999;6841
137;5419;6418
138;5541;3286
139;5359;6454
140;6011;3808
141;6094;3826
142;5386;4510
143;5859;6922
144;5413;5293
145;5977;2899
146;5954;1765
147;5957;919
148;6149;2782
149;5904;5896
150;6329;4528
151;5567;289
152;6355;5419
153;5608;7183
154;5839;8920
155;6231;5581
156;5646;8146
157;5946;6814
158;5907;5986
159;6024;2773
160;6126;3745
161;6257;2629
162;5941;1882
163;5403;2422
164;6314;6526
165;6047;901
166;6084;5743
167;6286;5536
168;5412;6481
169;5467;3403
170;5874;2962
171;6370;5446
172;5717;4105
173;5862;4969
174;5467;3268
175;6337;8560
176;6070;1792
177;5814;3052
178;5458;442
179;5749;4996
180;5513;8308
181;5873;5014
182;5985;8983
183;6261;4636
184;6391;8497
185;6132;1819
186;6331;6580
187;6226;1666
188;6337;2548
189;6316;505
190;6328;1315
191;5966;5869
192;5884;3907
193;6201;4681
194;6084;4870
195;6457;6436
196;6172;7714
197;6108;2746
198;6298;3520
199;6446;7318
200;5544;8362
201;5867;7012
202;6428;5482
203;5667;7210
204;5723;2161
205;6274;1270
206;6056;820
207;6386;3502
208;5987;4915
209;5504;3322
210;5884;955
211;5556;7336
212;6297;1351
213;6263;1585
214;5600;5266
215;6170;4735
216;5916;8929
217;5722;4168
218;5697;2170
219;6286;3592
220;6248;4573
221;5653;2152
222;6309;4546
223;5495;4339
224;6090;2638
225;6266;4519
226;6376;4501
227;5749;7993
228;5978;8974
229;5725;100
230;5976;3880
231;5617;8128
232;6500;7426
233;6382;8407
234;5969;838
235;5932;4798
236;5942;1963
237;6299;2431
238;5869;4987
239;5976;6085
240;5681;6184
241;6202;4654
242;6238;6616
243;6202;2665
244;6276;2575
245;6657;1972
246;6519;6346
247;6656;5203
248;6076;3790
249;5748;8092
250;6369;2476
251;6061;5806
252;6447;6409
253;5801;9073
254;5961;1873
255;5880;5959
256;6188;6661
257;5959;1837
258;5843;6004
259;6098;6742
260;5825;118
261;5989;874
262;6681;7156
263;5940;1918
264;6201;4663
265;6065;1684
266;6529;2989
267;7031;9001
268;7131;811
269;6416;6643
270;6482;5032
271;6743;181
272;6426;6607
273;6977;8056
274;7076;5950
275;6982;5059
276;6561;3484
277;6370;8668
278;6706;2791
279;7039;1927
280;6747;8272
281;6883;5167
282;7085;2926
283;6528;2512
284;6998;1000
285;6502;4537
286;6523;7543
287;6327;8677
288;7102;6967
289;6770;3259
290;6491;6328
291;6632;4231
292;6370;8515
293;6872;6175
294;6994;7066
295;6801;7246
296;6295;2710
297;6304;7678
298;6586;244
299;6129;3718
300;5827;1981
301;6600;7201
302;5981;1846
303;6619;6202
304;5910;3889
305;6031;8785
306;5696;8911
307;6275;532
308;6136;766
309;5936;4978
310;5686;1162
311;6484;4366
312;5930;982
313;6496;397
314;5815;7093
315;6021;7876
316;6256;1594
317;6120;739
318;6665;3205
319;6621;2323
320;5731;8209
321;6169;6769
322;5940;6958
323;6242;7624
324;6476;4402
325;6194;8731
326;5947;8938
327;6115;1756
328;6219;7687
329;5883;6985
330;6516;3385
331;6270;685
332;5860;5086
333;5707;1171
334;5931;9019
335;6364;4492
336;6051;1720
337;6419;1477
338;6627;3313
339;6431;4429
340;6677;3106
341;5782;7075
342;6714;1288
343;5999;784
344;6121;5797
345;6499;6391
346;6441;7327
347;6583;4258
348;6013;7912
349;5951;8857
350;6414;6427
351;6577;7228
352;6220;2674
353;5996;6868
354;6531;6373
355;5948;3952
356;5980;3916
357;5782;3097
358;6717;1180
359;6296;7606
360;6179;757
361;6658;5230
362;6096;7795
363;6321;3493
364;6155;8758
365;5992;1864
366;6106;5788
367;6084;8839
368;6762;6148
369;5958;5941
370;6520;4348
371;6731;5149
372;6746;7084
373;6362;5563
374;6303;4600
375;6099;2818
376;5997;8902
377;5970;5995
378;6226;6571
379;6032;3835
380;6070;8830
381;6776;2107
382;6159;5653
383;6057;6850
384;5804;8083
385;6462;8434
386;6690;1207
387;6485;7408
388;6025;7885
389;5886;4015
390;6280;7660
391;6494;8389
392;6519;8380
393;5972;6976
394;6081;3862
395;5996;5851
396;6518;3376
397;5933;3934
398;6208;4717
399;6558;8326
400;6097;5824
401;6477;6337
402;5957;2935
403;6191;7759
404;6642;2314
405;6735;2143
406;6833;9091
407;6009;6859
408;6116;8812
409;6643;5248
410;6189;1711
411;6645;7255
412;6439;7462
413;6380;4591
414;6200;6760
415;6141;6751
416;6033;883
417;6536;7363
418;6300;2557
419;6405;4411
420;6503;3421
421;6740;6157
422;6034;793
423;6197;7642
424;6682;3151
425;6419;4474
426;6321;8587
427;6517;379
428;6290;8605
429;5959;2908
430;5970;5887
431;6107;2719
432;6634;1252
433;6782;1045
434;6247;631
435;6289;3538
436;6146;6706
437;5987;1954
438;6139;7732
439;6190;3664
440;6119;1783
441;6676;4132
442;6640;7174
443;6342;1567
444;6606;6274
445;6154;1774
446;6703;4204
447;6292;2611
448;6604;5284
449;6586;8317
450;6094;4807
451;6540;5311
452;6071;3817
453;6859;1054
454;6585;1333
455;6020;5833
456;6891;6031
457;6364;1531
458;6697;3196
459;6725;163
460;6671;253
461;6746;4141
462;6835;9064
463;6689;217
464;6048;2881
465;6745;5176
466;5938;964
467;6355;7579
468;6127;7768
469;6518;8398
470;5993;928
471;6318;4582
472;6520;2395
473;6778;4159
474;6315;4609
475;6536;1261
476;6565;2368
477;6749;1072
478;6824;8020
479;6912;1027
480;6721;226
481;6718;5140
482;6176;775
483;6793;9010
484;6602;6220
485;6779;6166
486;6129;4699
487;6323;5599
488;6371;2449
489;6736;5095
490;6566;2332
491;6061;3754
492;6677;4267
493;6090;2854
494;6308;3574
495;6508;4375
496;6261;586
497;6250;7633
498;6391;6508
499;6294;2584
500;6157;7723
501;6710;235
502;6204;2737
503;6685;5221
504;6413;8506
505;6919;2980
506;6204;8704
507;6036;4879
508;6922;6949
509;6656;6229
510;6591;6310
511;7022;4906
512;6578;280
513;6733;8254
514;6292;7552
515;6702;1189
516;6703;7192
517;6356;1549
518;6375;7534
519;6822;2080
520;6943;3034
521;6169;3637
522;6197;3655
523;6582;3349
524;6179;640
525;6145;6670
526;6116;6733
527;6523;3367
528;6772;3142
529;7016;2836
530;6615;7264
531;6417;4483
532;6263;5644
533;7045;5842
534;6841;7111
535;6770;7165
536;6255;6652
537;6543;343
538;6487;6445
539;6767;3088
540;6839;1009
541;6092;6823
542;6352;5554
543;6606;5302
544;6844;6103
545;6213;2728
546;6205;5716
547;6882;1018
548;7048;2863
549;6502;388
550;6849;8038
551;6605;6301
552;6622;5320
553;6199;694
554;6643;4240
555;6445;523
556;6787;1117
557;6378;2503
558;6632;7219
559;6492;5437
560;6109;4708
561;6401;433
562;6693;8182
563;6771;4123
564;6480;8416
565;6513;2305
566;6290;8614
567;7041;865
568;6401;370
569;6535;1279
570;6965;937
571;6769;136
572;6873;7003
573;6697;8191
574;6779;9082
575;6290;5608
576;6164;748
577;7062;847
578;6393;5527
579;6219;649
580;6405;7489
581;6219;5707
582;6965;1855
583;6272;1621
584;7099;829
585;6886;6013
586;6827;9028
587;6676;8236
588;6852;4060
589;7196;7750
590;6328;1576
591;6835;6040
592;6213;3628
593;7140;8776
594;7023;892
595;6506;5464
596;6892;4033
597;6855;3016
598;6344;4618
599;6230;676
600;6236;5662
601;6598;8353
602;6347;8452
603;6199;5617
604;6348;3547
605;7190;6778
606;6351;3565
607;6581;298
608;6514;4384
609;6322;8569
610;6357;2467
611;6555;7354
612;6932;3970
613;6859;8002
614;6424;6535
615;6774;2125
616;6650;8299
617;6589;2260
618;6533;5383
619;6982;2917
620;6812;6121
621;7105;4780
622;6355;496
623;6533;6382
624;6292;622
625;6246;6634
626;7017;7849
627;6448;6517
628;7197;703
629;6860;1081
630;6444;7480
631;6986;4861
632;6450;1459
633;6772;1144
634;6691;4186
635;6770;8065
636;6524;5365
637;6492;424
638;6398;1432
639;6220;3691
640;6515;1378
641;6785;1090
642;6640;6292
643;6786;7102
644;6717;8218
645;6341;3529
646;6385;514
647;6923;3898
648;6678;4150
649;7134;3772
