#Mode:;3
#Device:;intelli_og
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;15265;8659
1;22854;1036
2;17949;5869
3;17240;6652
4;16389;7462
5;19783;4114
6;19681;4240
7;17943;5950
8;19931;4024
9;20133;3763
10;17997;5896
11;19781;4060
12;22462;1423
13;19993;3853
14;17314;6571
15;18772;5203
16;20065;3835
17;16120;7795
18;17118;6787
19;16298;7579
20;18527;5329
21;15433;8470
22;21180;2719
23;15086;8803
24;17477;6463
25;21400;2485
26;22368;1540
27;21312;2602
28;17438;6508
29;17235;6697
30;21569;2260
31;19599;4393
32;17057;6823
33;23609;307
34;23376;532
35;18340;5599
36;21747;2116
37;17359;6490
38;22151;1657
39;15252;8551
40;22068;1819
41;19752;4159
42;15701;190
43;18461;5446
44;21925;1945
45;20666;3223
46;19365;4573
47;21488;2440
48;22215;1702
49;20429;3457
50;23208;658
51;22058;1747
52;16048;7858
53;18111;5815
54;17704;6175
55;18637;5176
56;14938;8875
57;18784;5140
58;22164;1720
59;22503;1333
60;21470;2359
61;19551;4348
62;18091;5824
63;14914;8983
64;22723;1171
65;18544;5347
66;21062;2890
67;20351;3565
68;17520;6454
69;15626;280
70;19702;4186
71;16376;7543
72;18143;5698
73;21756;2053
74;14790;9046
75;15370;469
76;19820;4069
77;21324;2521
78;20660;3214
79;22961;955
80;17989;5977
81;15523;8380
82;16590;7327
83;20353;3556
84;16671;7174
85;20890;2998
86;15676;8254
87;19969;3880
88;17236;6562
89;22528;1342
90;22057;1855
91;21369;2530
92;17830;6058
93;17400;6472
94;20978;2917
95;22468;1450
96;20068;3871
97;21995;1882
98;21833;2098
99;19259;4546
100;22443;1459
101;14815;9064
102;19905;4051
103;21959;1927
104;23418;487
105;17274;6580
106;21378;2539
107;19793;4087
108;22509;1432
109;16591;7273
110;20167;3799
111;21734;2188
112;16564;7246
113;18804;5095
114;22997;865
115;22028;1846
116;18674;5230
117;20733;3151
118;14585;1297
119;15828;8047
120;18054;5842
121;18916;5014
122;16915;6976
123;21700;2197
124;19750;4150
125;22494;1378
126;17610;6265
127;22983;910
128;20173;3745
129;20252;3583
130;22301;1531
131;17520;6391
132;19992;3826
133;23809;100
134;16829;7075
135;15637;244
136;17124;6724
137;22136;1783
138;21956;1990
139;22282;1639
140;13878;2044
141;16949;7012
142;19955;3961
143;19829;3997
144;21001;2926
145;19342;4483
146;14989;8902
147;15688;8182
148;18104;5734
149;17454;6436
150;15122;8776
151;20784;3043
152;18380;5536
153;19578;4330
154;18229;5689
155;16366;7507
156;21215;2683
157;17163;6661
