#Mode:;3
#Device:;k120
#Button:;18
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;18217;5698
1;16268;7669
2;18039;5851
3;16199;7705
4;22892;1009
5;22618;1324
6;19648;4249
7;16548;7336
8;18091;5797
9;17888;5995
10;21309;2575
11;19419;4474
12;21964;1909
13;18172;5752
14;18305;5590
15;18000;5896
16;24099;7759
17;15781;8038
18;19425;4546
19;18785;5059
20;23805;8065
21;18602;5203
22;23822;127
23;17613;6247
24;24665;7246
25;20830;3061
26;17675;6229
27;20601;3313
28;19974;3979
29;20237;3709
30;22595;1306
31;18985;4915
32;19091;4798
33;20561;3331
34;21557;2350
35;21560;2332
36;14871;9028
37;20714;3178
38;24020;7876
39;22662;1234
40;15469;8425
41;22607;1405
42;16758;7156
43;24534;7408
44;18953;4996
45;16992;6859
46;21468;2377
47;22786;1162
48;22300;1648
49;21865;2017
50;20099;3781
51;19884;4033
52;20001;3952
53;18615;5239
54;17107;6769
55;20891;3043
56;19240;4690
57;16826;7066
58;20256;3628
59;20606;3232
60;23780;136
61;22874;1018
62;19011;4879
63;16608;7282
64;20682;3124
65;18088;5842
66;15104;8794
67;23473;8443
68;17062;6841
69;20858;3079
70;18708;5158
71;23289;595
72;22864;955
73;15202;8749
74;23808;163
75;20877;2998
76;17176;6778
77;19439;4447
78;20030;3907
79;22671;1252
80;22114;1783
81;23016;892
82;20948;2926
83;16419;7471
84;22984;8911
85;21945;1981
86;16255;7651
87;22015;1900
88;19107;4807
89;15188;8650
90;15075;8758
91;23165;8731
92;19181;4663
93;20500;3394
94;19928;3970
95;19278;4609
96;22828;1108
97;17475;6436
98;23501;388
99;23497;361
100;19728;4159
101;23395;8488
102;14917;8893
103;22409;1396
104;19847;4006
105;20709;3250
106;19602;4294
107;17549;6337
108;18646;5248
109;15344;8551
110;23241;676
111;19445;4483
112;20142;3736
113;22136;1801
114;19152;4699
115;20701;3214
116;17276;6580
117;23154;739
118;19967;3925
119;19223;4645
120;16913;6985
121;19325;4555
122;23779;8110
123;23196;721
124;15924;8029
125;22222;1684
126;22557;1342
127;22883;1036
128;14496;1414
129;18240;5662
130;21634;2269
131;15832;8074
132;19118;4780
133;21072;2818
134;20537;3403
135;20356;3502
136;16826;7138
137;17663;6238
138;24285;7624
139;18375;5518
140;17667;6211
141;16136;7768
142;18540;5311
143;23584;334
144;15429;8497
145;17359;6571
146;19557;4330
147;24677;7210
148;16877;6949
149;16135;7804
150;18966;4969
151;15419;8506
152;19016;4888
153;15013;8938
154;24214;7687
155;22153;1765
156;17476;6409
157;15920;7912
158;24462;7444
159;15337;8560
160;16274;7642
161;25184;6724
162;15958;7894
163;20623;3322
164;14876;1063
165;23142;712
166;19373;4537
167;22288;1657
168;23631;325
169;17731;6166
170;24815;7075
171;16046;7903
172;19098;4843
173;17388;6454
174;23775;8092
175;18468;5464
176;14891;8965
177;25820;6076
178;19613;4285
179;21754;2107
180;15171;8677
181;25155;6787
182;21785;2053
183;15651;8245
184;21397;2584
185;22400;1495
186;23062;874
187;19832;4069
188;23095;856
189;17724;6184
190;19629;4267
191;22006;1855
192;21662;2260
193;18103;5806
