#Mode:;3
#Device:;rival
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;7221;6823
1;8443;415
2;8247;3385
3;7860;8245
4;7103;496
5;8269;3547
6;9899;2908
7;8220;568
8;9024;9046
9;8016;550
10;8551;6238
11;8802;3709
12;8359;2359
13;8133;3682
14;8439;6355
15;7634;2926
16;5700;6094
17;7972;8695
18;8599;6301
19;8973;766
20;8896;5581
21;8466;613
22;8048;7795
23;7688;1432
24;7404;8200
25;10760;3304
26;6185;8632
27;8717;1342
28;7794;1774
29;7748;3124
30;8027;3790
31;9006;8794
32;8267;6832
33;6502;1360
34;9399;154
35;6893;1954
36;6872;8614
37;8839;307
38;9348;1450
39;8263;3601
40;7368;3178
41;8026;4060
42;8793;7696
43;7477;424
44;7855;5680
45;7837;8119
46;7277;7255
47;7034;7489
48;5750;5023
49;9226;7930
50;8270;2260
51;7751;7372
52;8226;5707
53;9516;2629
54;9272;5833
55;8782;2719
56;9039;5860
57;9134;4726
58;9506;4078
59;7791;2737
60;7497;3439
61;7156;6391
62;7330;8515
63;9751;8668
64;9997;1819
65;7407;2224
66;8415;703
67;7660;1459
68;6563;1666
69;7720;4402
70;7750;523
71;9313;8785
72;8072;784
73;9060;8740
74;6593;4969
75;9320;2764
76;8503;3475
77;8769;3367
78;8822;6265
79;7538;4294
80;8852;5473
81;9669;2125
82;6829;6706
83;7350;4681
84;8292;1531
85;8282;1513
86;7532;6958
87;8566;3250
88;9156;5662
89;9046;1810
90;9991;4852
91;7361;4492
92;7798;3241
93;8879;5563
94;9379;8029
95;9146;1216
96;7276;8227
97;9828;2575
98;9374;2530
99;7189;5365
100;9889;4870
101;8562;4537
102;7006;2098
103;9840;6058
104;7329;8092
105;7909;829
106;7040;8731
107;9199;5635
108;7995;3142
109;6334;7516
110;7076;1315
111;6734;1126
112;7570;487
113;7414;973
114;10068;1621
115;9637;2179
116;9491;8713
117;9234;9091
118;7999;6841
119;6491;7201
120;10049;4672
121;7080;1324
122;8470;3205
123;10181;8209
124;9144;1882
125;7357;4177
126;9052;2809
127;10101;9082
128;7450;7777
129;7175;6643
130;8413;2656
131;7478;631
132;9884;1648
133;9309;136
134;8190;3448
135;8782;514
136;9957;6193
137;8097;5320
138;6909;1603
139;9365;5491
140;8441;6130
141;8223;3628
142;7445;5653
143;9888;4420
144;8240;964
145;7144;7174
146;7449;622
147;7496;7309
148;8643;3007
149;9257;8947
150;7440;2854
151;7985;3646
152;10014;4339
153;7222;7138
154;9063;8812
155;7624;8191
156;6702;2170
157;9336;5689
158;9483;8353
159;7498;1009
160;7667;1675
161;6629;1522
162;9619;5185
163;7983;3358
164;8342;3853
165;8276;7984
166;9136;2422
167;8499;6202
168;6514;4159
169;8745;5608
170;9221;5302
171;9687;5176
172;7594;100
173;7927;3916
174;7229;6607
175;7676;7003
176;8628;5230
177;9394;2818
178;10067;7624
179;9697;5446
180;6571;5842
181;8572;5311
182;6477;7615
183;8083;1045
184;9120;6778
185;9591;3097
186;8124;5977
187;8460;442
188;7912;8686
189;8101;2782
190;9558;2341
191;8088;811
192;7571;4627
193;9003;5599
194;9103;5590
195;7651;4960
196;8636;6049
197;8399;2692
198;8643;5248
199;8563;5239
200;8921;208
201;6652;3331
202;8197;3718
203;8534;8344
204;8173;6724
205;8949;8929
206;8832;8830
207;9624;2269
208;9021;8596
209;7728;883
210;9928;7705
211;7001;1207
212;5800;8083
213;7975;5878
214;7296;3592
215;7573;4330
216;8507;1153
217;7547;370
218;7488;2413
219;8304;586
220;8215;2863
221;8661;2233
222;7798;2602
223;7655;3466
224;8680;6220
225;8005;4582
226;9353;4483
227;10054;3232
228;8930;3187
229;8540;469
230;9137;8983
231;9399;8938
232;10133;5734
233;8565;3556
234;8788;5086
235;9124;8524
236;7911;676
237;9111;3565
238;10279;5536
239;9455;5428
240;8153;3637
241;7667;8173
242;9735;4393
243;9454;2620
244;7067;4024
245;8308;7444
246;8392;7678
247;10369;5779
248;8231;2827
