#Mode:;3
#Device:;sunplus
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;18195;5689
1;25456;6490
2;23638;8227
3;23142;811
4;22608;1306
5;22314;1621
6;19818;4024
7;26192;5617
8;23021;8848
9;23027;883
10;19663;4222
11;25881;6013
12;21119;2728
13;21388;2530
14;17445;6418
15;23734;8092
16;23051;820
17;23184;721
18;23448;8344
19;23218;685
20;23064;847
21;23608;298
22;22552;1369
23;17030;6859
24;22141;1540
25;16865;7021
26;20589;3322
27;21026;2854
28;25993;5950
29;22245;1648
30;22091;1810
31;22703;1171
32;22829;1072
33;23446;8371
34;23103;802
35;21519;2431
36;22603;1234
37;18298;5599
38;23166;712
39;18006;5914
40;16119;7768
41;19239;4618
42;20733;3187
43;21682;2206
44;22595;1261
45;20225;3673
46;21942;1747
47;23328;550
48;19281;4636
49;21025;2872
50;23469;433
51;18430;5383
52;23517;397
53;21963;1891
54;17494;6400
55;18772;5113
56;24566;7300
57;23813;100
58;22493;1405
59;21661;2224
60;23226;8740
61;22598;1315
62;19736;4078
63;22901;973
64;24932;6976
65;21826;2062
66;23326;8560
67;23457;361
68;21189;2665
69;19613;4294
70;22612;1324
71;17176;6706
72;24792;7165
73;23205;649
74;20366;3529
75;20951;2890
76;24208;7696
77;20033;3880
78;21929;1900
79;20905;2989
80;18050;5833
81;22303;1585
82;18645;5230
83;18340;5554
84;22820;9064
85;23793;118
86;18581;5302
87;22041;1774
88;24019;7921
89;20596;3259
90;22882;9019
91;21792;2116
92;20926;2953
93;19904;3997
94;22679;1198
95;20777;3097
96;17075;6760
97;22975;928
98;22908;982
99;19370;4537
100;19906;3988
101;22552;1351
102;19948;3979
103;23400;8506
104;20640;3250
105;23070;8767
106;24727;7138
107;22612;1297
108;23548;8353
109;18209;5671
110;19655;4240
111;20604;3286
112;20762;3124
113;23344;559
114;18822;5059
115;23868;7984
116;24127;7777
117;18993;4897
118;18725;5140
119;20678;3196
120;20157;3745
121;20440;3439
122;18279;5626
123;17587;6310
124;26189;5698
125;18385;5518
126;22156;1675
127;23285;613
128;23375;532
129;22709;1189
130;20922;3007
131;23323;8524
132;16489;7408
133;23047;8893
134;22774;1099
135;21084;2818
136;22958;946
137;21108;2746
138;23454;478
139;25095;6805
140;19856;4042
141;23343;8515
142;19650;4159
143;22988;8938
144;22538;1414
145;22124;1702
146;24492;7417
147;20587;3268
148;17891;6022
149;21020;2881
150;21727;2197
151;20944;2962
152;23838;8065
153;23954;7903
154;17932;5941
155;21784;2134
156;18238;5752
157;22351;1522
158;23672;172
159;23154;748
160;23921;7993
161;20513;3385
162;21218;2647
163;23186;8722
164;18930;4924
165;23575;325
166;25034;6877
167;20205;3628
168;25632;6256
169;17195;6724
170;18178;5725
171;18956;4834
172;20226;3583
173;17760;6139
174;22264;1657
175;19939;3961
176;20114;3763
177;19026;4861
178;19688;4204
179;20361;3538
180;19787;4069
181;24293;7633
182;18213;5644
183;20361;3565
184;20993;2899
185;25389;6463
186;18718;5158
187;20022;3790
188;21141;2827
189;21218;2737
190;17433;6391
191;23185;766
192;19413;4546
193;22225;1684
194;24653;7246
195;23328;8623
196;18396;5527
197;25304;6616
198;21819;2026
199;26007;5851
200;23448;460
201;22956;937
202;18945;4843
203;21934;1972
204;19174;4717
205;21454;2440
206;19091;4807
207;19350;4528
208;24457;7453
209;23400;8497
210;23227;8668
211;16771;7129
212;17904;5986
213;23634;271
214;19597;4285
215;19742;4123
216;24014;7912
217;18083;5824
218;22712;1144
219;19071;4816
220;22625;1180
221;16871;6985
222;21956;1882
223;23160;730
224;22038;1783
225;18920;4933
226;24079;7831
227;18905;4987
228;21245;2656
229;17342;6589
230;21725;2179
231;23910;7966
232;23441;8443
233;23229;676
234;18682;5176
235;21197;2638
236;20123;3808
237;24975;6913
238;21523;2422
239;23002;8911
240;24141;7759
241;24978;6922
242;23411;523
243;23037;8857
244;23821;8128
245;20010;3871
246;25764;6148
247;20006;3934
248;16958;6886
249;19462;4420
250;18439;5419
251;20844;3115
252;23759;145
253;21849;2035
254;21406;2512
255;18428;5491
256;21884;2008
257;24847;7075
258;20956;2935
259;19679;4168
260;19429;4483
261;20475;3457
262;20782;3070
263;21516;2413
264;20490;3403
265;25905;6004
266;25362;6562
267;16322;7579
268;18669;5266
269;17926;5959
270;20386;3475
271;22810;1126
272;25552;6337
273;23137;8758
274;25047;6850
275;18947;4879
276;22843;1081
277;23554;379
278;23294;514
279;18410;5446
280;23368;253
281;21502;2404
282;20244;3646
283;22018;1837
284;26156;5734
285;18517;5293
286;18639;5257
287;24920;6958
288;23635;235
289;20004;3898
290;23401;8452
291;17856;6049
292;20156;3691
293;24248;7651
294;24729;7201
295;17189;6688
296;24148;7705
297;24651;7183
298;22955;8875
299;23645;262
300;19159;4726
301;17188;6652
302;18863;5032
303;22177;1450
304;19842;4087
305;23394;352
306;18244;5590
307;20239;3610
308;17221;6625
309;23584;334
310;20801;3025
311;21302;2584
312;19373;4492
313;24093;7804
314;17114;6814
315;25116;6796
316;19474;4474
317;23512;388
318;23189;8731
319;25978;5968
320;17889;6058
321;18868;5023
322;19715;4213
323;23510;8335
324;23343;469
325;19780;4186
326;20517;3304
327;21978;1927
328;17612;6355
329;21116;2782
330;23818;8020
331;21032;2863
332;19602;4321
333;24230;7660
334;23203;8614
335;17838;6040
336;20819;3061
337;17910;5995
338;18544;5410
339;18671;5212
340;18755;5086
341;23581;8380
342;23456;8416
343;19730;4141
344;25337;6535
345;20234;3619
346;20182;3754
347;21821;2071
348;25602;6247
349;24095;7876
350;24022;7786
351;20972;2926
352;20915;2998
353;23958;7939
354;18521;5275
355;22938;964
356;22758;9091
357;19110;4789
358;19975;3844
359;23685;280
360;18861;5050
361;23151;640
362;16211;7750
363;23793;127
364;20433;3394
365;24393;7525
366;20313;3601
367;22440;1486
368;19522;4357
369;19589;4330
370;23875;8029
371;18834;4960
372;21412;2395
373;23084;8713
374;18521;5347
375;18275;5572
376;22861;1018
377;20103;3826
378;21803;2044
379;19337;4573
380;19908;3916
381;20622;3232
382;24425;7489
383;23047;865
384;20821;3106
385;21739;2143
386;19470;4465
387;16372;7516
388;25374;6517
389;19129;4699
390;20700;3151
391;19168;4753
392;24341;7561
393;17665;6265
394;25402;6508
395;22908;8992
396;23150;8749
397;17568;6274
398;18106;5842
399;23686;8200
400;24341;7642
401;23035;8884
402;21460;2494
403;17679;6220
404;18534;5356
405;21281;2575
406;19468;4429
407;23688;8245
408;25413;6472
409;22735;1153
410;22849;9055
411;19211;4627
412;18073;5869
413;17433;6454
414;23421;451
415;23349;8551
416;18993;4978
417;20401;3484
418;19286;4609
419;19216;4681
420;26102;5815
421;20997;2980
422;23916;7948
423;19953;3925
424;23310;8641
425;19208;4672
426;22860;1054
427;24038;7795
428;24372;7480
429;21729;2233
430;23719;109
431;18853;5041
432;22197;1666
433;18012;5896
434;18618;5329
435;22099;1756
436;24019;7867
437;17654;6238
438;20748;3142
439;22476;1441
440;19278;4600
441;20173;3727
442;21115;2773
443;21333;2557
444;18414;5482
445;25795;6067
446;18159;5743
447;19549;4339
448;17180;6751
449;24467;7426
450;23177;793
451;23736;8182
452;18695;5194
453;21056;2836
454;21298;2593
455;20327;3556
456;24522;7354
457;18883;5005
458;21388;2449
459;17203;6679
460;23596;8236
461;19332;4519
462;22201;1738
463;20608;3313
464;24819;7102
465;16540;7345
466;23072;8821
467;21071;2809
468;23342;8587
469;23267;8704
470;18658;5239
471;21808;2080
472;20474;3430
473;21281;2611
474;18597;5320
475;20634;3340
476;22376;1513
477;19965;3907
478;22772;1135
479;22855;8983
480;22433;1423
481;19587;4303
482;18949;4951
483;20831;3016
484;17868;6031
485;23423;487
486;21498;2359
487;22517;1387
488;18405;5509
489;23192;8686
490;21137;2800
491;18004;5905
