#Mode:;3
#Device:;intelli_new_noscan
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6636;5311
1;6128;5689
2;5984;5869
3;6621;2269
4;6393;5455
5;6657;4132
6;6118;7732
7;6523;370
8;6421;7435
9;5995;3853
10;6035;1747
11;5828;4024
12;6228;8596
13;6056;6832
14;6498;4339
15;6578;8317
16;6383;2512
17;6528;3322
18;5914;4906
19;6105;2746
20;5699;5176
21;5828;1063
22;6128;4735
23;5766;8119
24;6298;4546
25;6464;2395
26;6098;739
27;6484;3349
28;6353;3502
29;5756;6112
30;5714;172
31;5635;5248
32;6560;2332
33;6483;7381
34;6010;3034
35;6388;6445
36;6610;4249
37;6103;2773
38;6638;2215
39;5984;6877
40;6148;694
41;6231;7588
42;6616;7219
43;6797;6166
44;5928;5905
45;5971;1882
46;6156;3664
47;6385;3466
48;5937;5941
49;6504;4348
50;6026;5806
51;5965;3889
52;6204;3601
53;6732;136
54;6244;1540
55;5894;8884
56;6098;5734
57;6504;5347
58;6400;5473
59;6584;253
60;6505;2368
61;6550;1306
62;6468;5401
63;6747;2116
64;6228;2593
65;6320;532
66;6149;2728
67;6589;3286
68;6650;1162
69;6762;6076
70;6262;3574
71;6486;8344
72;6745;127
73;6226;1531
74;5957;6976
75;5862;1990
76;6208;6670
77;6342;4501
78;6141;2656
79;5812;5032
80;5944;919
81;6210;658
82;6732;1117
83;6722;1144
84;6730;3133
85;6004;4852
86;6761;3115
87;6150;5698
88;6132;2719
89;6004;1864
90;6743;8128
91;6396;2440
92;6202;2638
93;6528;6310
94;5919;3952
95;6018;5815
96;5882;4987
97;5877;8974
98;6090;2782
99;5991;7867
100;6625;6202
101;6773;6094
102;5906;4888
103;6771;5095
104;6178;1693
105;6280;7552
106;6029;7849
107;6836;7039
108;5902;8947
109;6235;2575
110;6580;6256
111;5976;1873
112;6187;8668
113;6273;3538
114;6488;2341
115;6660;3178
116;6597;1261
117;6597;2260
118;6809;2053
119;6210;7651
120;6625;3205
121;6167;3700
122;6280;1558
123;6133;5743
124;6038;6841
125;6190;3691
126;5999;1774
127;6853;2008
128;6468;4375
129;6396;4465
130;6524;3340
131;6365;1486
132;6216;4627
133;5977;883
134;6832;9028
135;6581;6220
136;6363;2485
137;6861;8002
138;6411;5437
139;6070;5716
140;6886;7966
141;6797;1054
142;6895;1963
143;6614;1198
144;6382;1477
145;6412;7462
146;6426;5392
147;6326;5518
148;6012;2854
149;5991;2872
150;6898;4960
151;5936;8920
152;6414;6418
153;6732;3106
154;6485;4330
155;6197;8659
156;6805;1045
157;6859;6004
158;6876;1981
