#Mode:;3
#Device:;intelli_new_scan
#Button:;272
#minDelay:;100
#maxDelay:;10000
#iterations:;1000

counter;latency;delayTime
0;6234;1639
1;5785;4123
2;6221;4699
3;5567;5347
4;6181;7732
5;5578;343
6;5810;5086
7;5421;7489
8;5682;5212
9;5624;271
10;6228;3673
11;5609;5320
12;5507;5401
13;5829;6067
14;5975;1936
15;5566;1378
16;6059;2800
17;6271;1630
18;6112;8821
19;5632;5275
20;5659;1234
21;6116;3763
22;5908;3988
23;5512;3385
24;6087;4816
25;6201;5734
26;5905;5050
27;5714;199
28;5824;3007
29;6106;8812
30;6214;3628
31;5609;4303
32;5675;262
33;5978;9001
34;5955;5932
35;6114;829
36;5405;3475
37;6157;8713
38;5496;6463
39;5752;2143
40;5991;4888
41;5704;4141
42;6081;1756
43;5540;4357
44;6281;1558
45;6129;6688
46;5709;1162
47;5510;1405
48;5690;163
49;5987;1873
50;5522;3349
51;5550;6391
52;5687;2224
53;6142;757
54;6037;820
55;5531;6373
56;5826;6031
57;6131;5770
58;6141;5752
59;6103;1801
60;6152;8659
61;5713;4168
62;6079;2818
63;6165;6697
64;5465;3439
65;5937;5977
66;6043;5869
67;5828;8092
68;5480;406
69;5574;2350
70;6248;4636
71;5927;1963
72;6351;1549
73;6412;2503
74;6265;613
75;5593;1297
76;6020;4870
77;5943;4969
78;6157;2737
79;6069;5743
80;5855;6040
81;5933;4906
82;5767;8155
83;6062;6805
84;6288;8596
85;6020;1945
86;5694;7246
87;5585;4312
88;5713;7129
89;5679;8227
90;6026;5905
91;5540;1351
92;6109;3781
93;5626;4276
94;6037;6877
95;5814;7066
96;5756;1099
97;5864;8002
98;6157;730
99;5526;1360
100;5741;2206
101;5607;3340
102;6308;7588
103;5871;2026
104;6114;3817
105;6437;5482
106;5842;2080
107;5814;3079
108;6422;4483
109;6515;424
110;5970;4942
111;5544;7372
112;5723;8191
113;5887;3016
114;6468;2422
115;5763;5149
116;6089;802
117;5543;6355
118;5842;2053
119;5635;3187
120;5784;7111
121;6179;6706
122;6465;352
123;6155;3736
124;6494;1369
125;6876;6013
126;7202;6679
127;6710;2188
